ticker,side,tier,fem,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
META,Short,T1-CONVICTION,69,583.0,593.4,546.77,611.74,629.95,591.83,23554932.0,-4.93,STOPPED,-1.0,False,2026-04-08_1311,2026-04-07_0000
PEP,Short,T2-STRONG,74,166.69,167.28,153.82,154.63,154.64,151.75,0.0,7.23,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
AXP,Short,T2-STRONG,72,307.21,309.11,279.73,316.88,322.5,314.94,770559135.0,-3.15,STOPPED,-1.0,True,2026-04-08_1311,2026-04-07_0000
DIS,Short,T2-STRONG,69,104.79,105.76,95.34,98.95,99.08,97.69,0.0,5.57,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
TXN,Short,T3-WATCH,79,201.37,202.39,189.35,208.98,209.86,206.16,999627199.0,-3.78,STOPPED,-1.0,True,2026-04-08_1311,2026-04-07_0000
MSFT,Short,T3-WATCH,74,390.19,391.79,364.41,373.98,385.0,371.41,1115666469.0,4.15,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
MCD,Short,T3-WATCH,72,324.5,326.12,294.7,307.73,308.25,303.1,498550047.0,5.17,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
TMUS,Short,T3-WATCH,71,226.5,228.48,180.33,197.45,203.31,196.2,0.0,12.83,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
MA,Short,T3-WATCH,69,516.27,519.61,464.0,507.23,511.82,505.86,710552764.0,1.75,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
CRM,Short,T3-WATCH,68,192.14,195.18,180.1,176.33,186.77,175.78,0.0,8.23,NO_FILL,0.0,False,2026-04-08_1311,2026-04-07_0000
BA,Short,T3-WATCH,67,209.0,210.82,203.5,217.83,220.85,216.0,0.0,-4.22,STOPPED,-1.0,True,2026-04-08_1311,2026-04-07_0000
PG,Short,T3-WATCH,65,162.19,163.45,158.41,144.94,145.11,141.87,2141213467.0,10.64,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
ABT,Short,T3-WATCH,60,109.5,110.1,107.7,103.65,103.83,101.31,1961249939.0,5.34,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
HD,Short,T3-WATCH,57,323.93,328.98,308.78,336.16,338.78,332.25,496039285.0,-3.78,STOPPED,-1.0,False,2026-04-08_1311,2026-04-07_0000
MU,Long,T4-LONG,75,343.0,337.84,370.02,406.73,416.0,398.88,0.0,18.58,NO_FILL,0.0,False,2026-04-08_1311,2026-04-07_0000
GEV,Long,T4-LONG,72,824.01,820.33,917.27,936.07,962.72,930.55,0.0,13.6,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
LRCX,Long,T4-LONG,71,203.01,200.7,219.56,246.98,249.19,241.49,0.0,21.66,NO_FILL,0.0,False,2026-04-08_1311,2026-04-07_0000
PLTR,Long,T4-LONG,70,138.97,137.83,153.12,140.9,156.28,139.17,0.0,1.39,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
CVX,Long,T4-LONG,69,192.69,191.79,201.99,193.15,193.17,188.6,0.0,0.24,STOPPED,-1.0,True,2026-04-08_1311,2026-04-07_0000
IBM,Long,T4-LONG,69,233.22,229.32,250.37,242.0,250.0,240.8,0.0,3.76,NO_FILL,0.0,False,2026-04-08_1311,2026-04-07_0000
GOOGL,Long,T4-LONG,68,290.41,288.08,299.92,317.48,322.08,315.02,0.0,9.32,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
XOM,Long,T4-LONG,68,152.27,151.58,165.77,156.2,156.35,150.98,1198374790.0,2.58,STOPPED,-1.0,True,2026-04-08_1311,2026-04-07_0000
GS,Long,T4-LONG,68,792.0,789.36,916.25,904.5,918.11,893.6,242779737.0,14.2,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
AMAT,Long,T4-LONG,67,326.32,324.49,350.85,385.58,389.3,377.78,0.0,18.16,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
GOOG,Long,T4-LONG,66,289.47,287.05,297.1,314.99,319.39,312.7,159796996.0,8.82,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
C,Long,T4-LONG,65,101.72,101.17,103.37,123.51,124.48,121.73,1778905617.0,21.42,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
MS,Long,T4-LONG,64,159.64,158.76,174.13,176.02,181.26,174.49,0.0,10.26,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
LLY,Long,T4-LONG,62,925.99,921.44,945.8,956.42,961.14,933.13,0.0,3.29,NO_FILL,0.0,True,2026-04-08_1311,2026-04-07_0000
JPM,Long,T4-LONG,61,288.47,284.74,297.98,307.84,311.26,305.33,0.0,6.71,NO_FILL,0.0,False,2026-04-08_1311,2026-04-07_0000
