ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
LBRT,HIGH_PRIORITY_PRE_TRIGGER,100.0,99.0,99.0,PRE_TRIGGER_COIL,21.18,daily,log_regression,AT_LOWER,0.045,9,20.59,21.1,weekly,0.38,98.94,nearest_support_gap_hi,21.1,True,False,0.38,0.38,62.79,62.79,2.03,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | overhead_gap_too_close | early_positive_momentum
KALU,HIGH_PRIORITY_PRE_TRIGGER,100.0,99.0,99.0,PRE_TRIGGER_COIL,167.57,daily,log_regression,AT_LOWER,0.177,36,156.38,163.24,weekly,2.58,100.0,nearest_support_gap_hi,165.39,True,True,1.3,1.32,19.29,19.29,5.59,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.29% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,early_positive_momentum
ACDC,EARLY_RECLAIM_TRIGGER,100.0,94.0,94.0,EARLY_RECLAIM_TRIGGER,5.38,daily,log_regression,AT_LOWER,0.265,9,4.99,5.11,weekly,5.02,100.0,nearest_support_gap_hi,5.23,True,True,2.79,2.87,52.79,52.79,7.25,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high",deep_damage_pullback | early_trigger_not_chase | early_positive_momentum
