ticker,side,pm_gap_down_pct,pm_last_drop_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_weak,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase,gap_tier,atr_14,float_m,borrow_risk
BZAI,SHORT,25.97,24.24,1.98,1.71,1.95,1.75,4672657,1341075,3.48,0.15,True,2.31,1.75,1.7675,1.715,5714,100.0,78.9431,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.3267,122.8,MEDIUM
SKK,SHORT,7.01,-8.27,8.02,5.17,5.17,6.02,3880403,451548,8.59,0.3,True,5.56,6.02,6.0802,5.8996,1661,99.99,26.5617,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,1.9081,2.44,LOW
VG,SHORT,8.91,6.3,12.97,11.86,12.97,12.2,698285,276866,2.52,0.31,True,13.02,12.2,12.322,11.956,819,99.92,20.4734,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.8552,2482.57,LOW
RXT,SHORT,3.67,0.0,2.55,2.36,2.41,2.45,290128,84262,3.44,0.47,True,2.45,2.45,2.4745,2.401,4081,99.98,8.4315,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.2213,249.22,MEDIUM
LITE,SHORT,3.09,0.42,1009.4342,963.85,964.5,990.42,396603,164848,2.41,0.58,False,994.56,990.42,1000.3242,970.6116,10,99.04,5.318,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,67.4646,71.4,LOW
