ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
VSA,168.18,71.96,11.4783,5.86,6.6,7.36,8651186,5070,1706.15,0.27,False,4.28,7.36,7.2496,7.5808,905,99.91,951.764,0.874,COLD,GENESIS,GENESIS
DXST,201.87,88.75,4.83,2.78,3.88,3.02,8671070,7345,1180.54,0.12,False,1.6,3.02,2.9747,3.1106,2207,99.98,915.2394,0.91,WEAK,GENESIS,GENESIS
CTNT,117.03,35.3,3.95,1.88,3.22,2.4625,9791254,58076,168.59,0.28,False,1.82,2.4625,2.4256,2.5364,2707,99.99,509.925,0.91,WEAK,GENESIS,GENESIS
SBFM,105.02,19.27,4.9,2.65,2.65,2.8505,9828218,140428,69.99,0.09,False,2.39,2.8505,2.8077,2.936,2338,99.97,311.0702,0.958,NEUTRAL,GENESIS,GENESIS
GMEX,103.48,13.9,2.34,1.24,1.36,1.3099,17435696,5841878,2.98,0.06,False,1.15,1.3099,1.2903,1.3492,5089,99.99,137.462,1.126,HOT,GENESIS,GENESIS
MRVL,29.03,18.51,283.14,219.978,259.0,260.05,8226851,2418324,3.4,0.63,True,219.43,260.05,256.1492,267.8515,25,97.52,76.3408,1.042,NEUTRAL,GENESIS,GENESIS
HPE,30.79,27.85,61.47,57.19,60.07,60.09,4222348,1368544,3.09,0.68,True,47.0,60.09,59.1887,61.8927,110,99.15,70.1606,0.91,WEAK,GENESIS,GENESIS
LAC,12.34,10.53,6.19,5.8859,6.19,6.09,962963,237916,4.05,0.67,True,5.51,6.09,5.9986,6.2727,1094,99.94,38.1964,1.102,STRONG,GENESIS,GENESIS
POET,12.81,8.93,15.67,14.18,14.18,15.13,2928894,1358610,2.16,0.64,True,13.89,15.13,14.9031,15.5839,440,99.86,26.8591,1.042,NEUTRAL,GENESIS,GENESIS
URG,9.36,8.19,1.87,1.82,1.87,1.85,386137,132169,2.92,0.6,True,1.71,1.85,1.8223,1.9055,3603,99.98,21.4549,1.006,NEUTRAL,GENESIS,GENESIS
ODD,5.85,-29.18,14.7972,9.74,14.6,9.9,439961,3417,128.76,0.03,False,13.98,9.9,9.7515,10.197,673,99.94,15.9108,0.874,COLD,GENESIS,GENESIS
