ticker,last,prev_high,prev_low,prev_close,pdh_state,pdl_state,opening_range_ready,opening_range_high,opening_range_low,opening_range_position,opening_range_state,day_range_position,first_pullback_after_high,first_rally_after_low,last_hour_close_strength,last_hour_volume_bias,long_score,long_class,short_score,short_class
AAOI,112.48,129.809,116.5003,123.36,BELOW_PDH,BELOW_PDL,True,126.19,113.85,0.0,BELOW_ORL,0.067,False,True,0.067,1.0,18,AVOID_LONG,90,FIRST_RALLY_SHORT_ZONE
ACN,142.1,138.11,133.5,136.96,ABOVE_PDH,ABOVE_PDL,True,142.79,140.39,0.713,OR_TOP_THIRD,0.478,True,False,0.478,2.01,80,PULLBACK_BUY_ZONE,40,NEUTRAL
AHMA,2.3,2.42,2.16,2.32,BELOW_PDH,ABOVE_PDL,True,2.3658,2.26,0.378,OR_MIDDLE,0.477,False,False,0.477,0.25,50,NEUTRAL,50,NEUTRAL
AKAM,115.39,116.575,112.3,112.73,REJECTED_PDH,ABOVE_PDL,True,118.96,113.565,0.338,OR_BOTTOM_THIRD,0.338,False,False,0.338,2.23,46,AVOID_LONG,62,NEUTRAL
ALKT,18.51,19.16,18.53,18.95,REJECTED_PDH,BELOW_PDL,True,19.24,18.87,0.0,BELOW_ORL,0.099,False,True,0.099,2.0,0,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
AMKR,64.5,73.24,69.65,69.88,BELOW_PDH,BELOW_PDL,True,67.8,62.7001,0.353,OR_MIDDLE,0.441,False,True,0.441,2.35,30,NEUTRAL,80,FIRST_RALLY_SHORT_ZONE
AMPG,6.16,6.315,5.68,5.92,REJECTED_PDH,ABOVE_PDL,True,7.16,6.48,0.0,BELOW_ORL,0.123,False,False,0.123,0.44,26,AVOID_LONG,72,AVOID_SHORT_CHASE
ANNX,6.3735,6.09,5.39,5.96,ABOVE_PDH,ABOVE_PDL,True,6.0,5.83,1.0,ABOVE_ORH,0.849,True,False,0.849,2.92,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
APLD,30.7001,35.79,33.36,33.5,BELOW_PDH,BELOW_PDL,True,33.2,30.53,0.064,OR_BOTTOM_THIRD,0.155,False,True,0.155,1.59,30,NEUTRAL,92,FIRST_RALLY_SHORT_ZONE
APLE,16.35,16.77,16.485,16.58,BELOW_PDH,BELOW_PDL,True,16.7047,16.41,0.0,BELOW_ORL,0.09,False,False,0.09,3.4,18,AVOID_LONG,84,AVOID_SHORT_CHASE
ARQT,27.7,26.17,25.25,26.07,ABOVE_PDH,ABOVE_PDL,True,26.5328,26.1,1.0,ABOVE_ORH,0.942,False,False,0.942,1.06,84,AVOID_LONG_CHASE,26,AVOID_SHORT
ASAN,7.85,7.38,7.04,7.21,ABOVE_PDH,ABOVE_PDL,True,7.66,7.31,1.0,ABOVE_ORH,1.0,False,False,1.0,1.92,84,AVOID_LONG_CHASE,26,AVOID_SHORT
ASTS,73.4,88.25,80.11,80.64,BELOW_PDH,BELOW_PDL,True,80.09,74.4204,0.0,BELOW_ORL,0.0,False,False,0.0,1.43,18,AVOID_LONG,84,AVOID_SHORT_CHASE
BB,10.83,12.075,11.15,11.38,BELOW_PDH,BELOW_PDL,True,11.3826,10.66,0.235,OR_BOTTOM_THIRD,0.202,False,False,0.202,0.7,46,NEUTRAL,62,CONTINUATION_SHORT
BCAX,30.45,29.845,28.62,29.22,ABOVE_PDH,ABOVE_PDL,True,29.85,29.0589,1.0,ABOVE_ORH,0.72,True,False,0.72,1.85,90,PULLBACK_BUY_ZONE,26,AVOID_SHORT
BMNR,14.73,16.16,14.28,15.55,BELOW_PDH,ABOVE_PDL,True,15.66,14.99,0.0,BELOW_ORL,0.0,False,False,0.0,2.01,30,AVOID_LONG,72,AVOID_SHORT_CHASE
BWIN,27.32,28.225,26.79,27.09,BELOW_PDH,ABOVE_PDL,True,27.98,27.26,0.083,OR_BOTTOM_THIRD,0.083,False,False,0.083,2.91,50,RELOAD_ZONE,62,AVOID_SHORT_CHASE
CAL,11.94,11.82,11.4,11.79,ABOVE_PDH,ABOVE_PDL,True,12.01,11.72,0.759,OR_TOP_THIRD,0.647,True,False,0.647,2.91,80,PULLBACK_BUY_ZONE,40,NEUTRAL
CAST,3.5,4.57,3.85,4.05,BELOW_PDH,BELOW_PDL,True,3.95,3.47,0.062,OR_BOTTOM_THIRD,0.167,False,True,0.167,0.71,38,NEUTRAL,80,FIRST_RALLY_SHORT_ZONE
CCTG,0.9203,1.3,0.8355,1.12,BELOW_PDH,ABOVE_PDL,True,1.0399,0.985,0.0,BELOW_ORL,0.101,False,False,0.101,0.58,38,AVOID_LONG,60,AVOID_SHORT_CHASE
CMBT,15.0,15.45,14.83,15.21,BELOW_PDH,ABOVE_PDL,True,15.36,15.11,0.0,BELOW_ORL,0.0,False,False,0.0,1.65,30,AVOID_LONG,72,AVOID_SHORT_CHASE
CMPS,12.93,14.15,12.83,12.84,BELOW_PDH,RECLAIMED_PDL,True,12.9,11.56,1.0,ABOVE_ORH,0.82,False,False,0.82,0.76,72,AVOID_LONG_CHASE,34,AVOID_SHORT
