ticker,side,setups,rth_open,last_px,rth_high,rth_low,orb_high,orb_low,vwap,gap_pct,chg_pct_full,rth_vol,rel_vol,prev_close,est_entry,stop,target,shares,score
FFIV,LONG,HOLDING-LONG,313.5,326.78,331.96,311.84,330.89,311.84,325.4017,3.2,7.57,1005593,12.11,303.79,326.78,321.8783,336.5834,20,38.7002
LITE,LONG,HOLDING-LONG,821.11,848.335,887.9,814.1885,854.6616,814.1885,851.3937,3.76,7.2,5078684,3.31,791.37,848.335,835.61,873.7851,7,12.4203
UCAR,LONG,ORB-LONG,1.8,1.925,2.0499,1.7837,1.9099,1.7837,1.9428,0.0,6.94,1480764,2.52,1.8,1.925,1.8961,1.9828,3463,1.9939
XWIN,LONG,ORB-LONG,7.52,8.0,8.15,7.44,7.8,7.44,7.8206,0.4,6.81,1750122,6.23,7.49,8.0,7.88,8.24,833,15.9642
TOMZ,LONG,ORB-LONG,0.6637,0.705,0.7252,0.6241,0.6749,0.6241,0.6939,0.42,6.67,684609,3.78,0.6609,0.705,0.6944,0.7261,9456,16.8585
AMTX,LONG,ORB-LONG,2.75,2.905,2.94,2.735,2.805,2.7437,2.8214,0.0,5.64,1023134,3.12,2.75,2.905,2.8614,2.9922,2294,11.1237
EONR,LONG,ORB-LONG,0.7245,0.765,0.7848,0.7189,0.7351,0.7189,0.7476,-0.83,4.71,2636233,3.69,0.7306,0.765,0.7535,0.788,8714,15.028
AGRO,LONG,ORB-LONG,13.9,14.39,14.44,13.88,14.3266,13.9,14.1774,1.46,5.04,1205344,6.13,13.7,14.39,14.1742,14.8217,463,2.7115
PHAT,LONG,ORB-LONG,11.28,11.925,11.94,10.95,11.28,11.1,11.3997,-0.44,5.25,1172951,5.65,11.33,11.925,11.7461,12.2828,559,32.2935
WERN,SHORT,FAILED-GAP-SHORT,38.46,36.13,38.46,35.9,38.46,35.92,36.4058,11.8,5.03,1351108,14.76,34.4,36.13,36.672,35.0461,184,121.9188
USEG,LONG,ORB-LONG,1.02,1.0897,1.11,0.9796,1.04,0.9796,1.0427,-0.97,5.8,7261521,0.58,1.03,1.0897,1.0734,1.1224,6117,2.775
SMX,LONG,ORB-LONG,1.6,1.7498,1.83,1.5,1.6285,1.54,1.6941,-3.61,5.41,2198785,1.93,1.66,1.7498,1.7236,1.8023,3809,14.3914
CEPT,LONG,ORB-LONG,11.15,11.575,11.74,11.15,11.48,11.15,11.492,0.81,4.66,1286768,13.23,11.06,11.575,11.4014,11.9223,575,10.9509
ANGX,LONG,ORB-LONG,2.39,2.53,2.54,2.39,2.51,2.39,2.4776,-1.24,4.55,1165293,3.52,2.42,2.53,2.492,2.6059,2635,2.8081
NAVN,LONG,ORB-LONG,16.13,16.815,16.87,16.04,16.43,16.04,16.5127,-0.12,4.12,1273256,3.68,16.15,16.815,16.5628,17.3195,396,8.6177
