ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
UUUU,Long,BREAKOUT,T1-STRONG_LONG,73,19.54,18.7792,21.61,19.68,2.7,0.7608,19.54,0.0,INSIDE,1,1,,,,HIGHWAY,EXCITED,,,,,,,,,MEGA,0.04,19.68,19.36,20.0,3.3,DISCOUNT,DISCOUNT,950,13,341,10.6,A,False,1.4,True,
LWLG,Long,PULLBACK,T3-LONG_WATCH,59,12.22,11.0483,14.5634,,2.0,1.1717,12.22,4.4,APPROACH,1,1,1d,11.68,11.39,HIGHWAY,EXCITED,450740707.0,1.7,2.2,2.0,56.9,34.0,8.0,146.5,HIGH,0.06,11.535,11.39,11.68,2.5,PREMIUM,MID,518,19,505,99.9,A,,,,
BTDR,Long,PULLBACK,T1-STRONG_LONG,100,11.97,10.9222,14.0656,,2.0,1.0478,11.97,3.0,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",11.61,11.26,HIGHWAY,EXCITED,306674236.0,1.3,0.9,0.0,27.7,32.0,8.0,115.44,HIGH,0.05,11.475,11.25,11.7,4.0,PREMIUM,MID,784,5,179,16.1,A,,,,
SBET,Long,BOUNCE,T1-STRONG_LONG,94,7.14,6.5087,8.4026,,2.0,0.6313,7.14,1.5,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",7.03,6.71,OPEN_ROAD,EXCITED,550706592.0,1.5,1.2,0.0,19.3,46.0,8.0,196.74,HIGH,0.04,6.905,6.7,7.11,6.1,PREMIUM,MID,446,3,279,7.4,B,,,,
INFQ,Long,PULLBACK,T1-STRONG_LONG,100,12.75,12.2511,17.46,12.925,9.4,0.4989,14.12,9.7,WAITING,2,2,"1h,30m",12.75,12.63,HIGHWAY,EXCITED,21918504.0,2.9,1.8,1.0,33.4,27.0,8.0,137.56,HIGH,0.05,12.925,12.59,13.26,5.3,PREMIUM,DISCOUNT,705,5,298,23.7,A,,,,
LUV,Long,BOUNCE,T1-STRONG_LONG,100,41.26,36.9958,49.7884,,2.0,4.2642,41.26,2.8,CLOSE,8,7,"10m,15m,1d,1h,30m,4h,5m",40.1,38.14,OPEN_ROAD,EXCITED,2075551686.0,1.2,0.8,0.0,13.7,29.0,8.0,486.2,MEGA,0.01,39.85,39.45,40.25,2.0,PREMIUM,DISCOUNT,1094,6,492,13.0,A,,,,
VNET,Long,PULLBACK,T1-STRONG_LONG,72,9.01,8.1868,10.6564,,2.0,0.8232,9.01,4.6,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",8.6,8.44,OPEN_ROAD,EXCITED,170896505.0,1.6,0.9,0.0,11.5,32.0,8.0,727.26,MEGA,0.01,8.52,8.44,8.6,1.9,PREMIUM,MID,471,5,164,2.6,C,,,,
TGB,Long,PULLBACK,T2-LONG,68,7.12,6.5669,8.2262,7.47,2.0,0.5531,7.79,8.6,WAITING,1,1,1d,7.12,6.77,OPEN_ROAD,EXCITED,164011575.0,1.5,1.0,0.0,11.8,30.0,8.0,357.93,MEGA,0.02,7.47,7.39,7.55,2.2,PREMIUM,DISCOUNT,474,13,117,3.3,C,,,,
AFRM,Long,PULLBACK,T1-STRONG_LONG,93,52.51,50.5176,71.0,,9.3,1.9924,55.82,5.9,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",52.51,52.08,HIGHWAY,EXCITED,384061767.0,1.4,1.0,0.0,17.9,29.0,8.0,279.34,MEGA,0.02,52.415,51.97,52.86,1.7,PREMIUM,MID,1939,6,378,27.2,A,,,,
SGI,Long,PULLBACK,T3-LONG_WATCH,55,76.5,71.7024,86.0952,,2.0,4.7976,81.84,6.5,APPROACH,1,1,1d,76.5,73.92,OPEN_ROAD,EXCITED,624100710.0,2.1,1.6,2.0,11.6,25.0,8.0,187.47,HIGH,0.02,79.84,79.88,79.8,-0.1,FLAT,FLAT,3368,4,473,3.2,C,,,,
