ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,last_px,high,low,volume,chg_pct,outcome,result_r,spy_regime,entry_type,n_gaps_above,gap_above_conviction,checked_at,scan_date
HCA,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,415.4,419.91,383.63,396.22,22,7.05,402.05999755859375,414.4949951171875,401.75,1534758.0,-2.09,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
TTD,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,13.8,17.76,13.11,,25,0.17,14.550000190734863,14.585000038146973,13.600000381469727,21593498.0,5.59,CLOSED_LOSS,-0.19,HOSTILE,LIMIT,5,CONVICTION,2026-09-02_1728,2026-09-02
DPC,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,41.96,44.3,38.15,,42,1.63,39.470001220703125,41.93000030517578,38.5,860056.0,-5.55,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
FLUT,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,97.7,105.48,92.82,,12,0.63,101.9800033569336,103.86000061035156,97.83000183105469,2503354.0,4.81,CLOSED_LOSS,-0.55,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
RRR,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,56.33,59.81,50.49,47.88,28,1.68,56.84000015258789,58.59000015258789,56.63999938964844,1035645.0,1.05,CLOSED_LOSS,-0.15,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
MSGS,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,383.05,386.65,365.29,353.87,27,4.93,387.04998779296875,389.20001220703125,382.3175048828125,220209.0,1.29,STOPPED,-1.0,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
SUNB,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,68.32,72.64,64.9,,23,0.79,67.11000061035156,68.00499725341797,66.44499969482422,6035693.0,0.19,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
BTC,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,34.52,37.27,29.68,,36,1.76,34.20000076293945,34.28499984741211,33.85499954223633,1635482.0,0.0,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
PSN,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,46.99,60.56,44.64,,7,0.17,45.369998931884766,46.474998474121094,45.32500076293945,1324592.0,-1.76,NO_FILL,0.0,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
VPG,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,60.45,62.12,53.43,55.61,59,4.21,61.349998474121094,61.7599983215332,59.000099182128906,274289.0,2.9,CLOSED_LOSS,-0.54,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
LII,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,378.45,384.55,359.53,,16,3.1,374.0,377.69000244140625,371.6499938964844,390681.0,-0.86,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
AMZU,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,36.22,37.85,31.48,32.27,61,2.91,36.220001220703125,36.58000183105469,35.790000915527344,1021016.0,0.72,CLOSED_LOSS,-0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
MTDR,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,60.34,64.49,53.96,,24,1.54,59.58000183105469,60.06999969482422,58.875,1306545.0,0.62,NO_FILL,0.0,HOSTILE,LIMIT,5,CONVICTION,2026-09-02_1728,2026-09-02
SBIT,SHORT,CONVICTION,96.7,BEAR_REJECTION_PENDING,37.68,42.91,35.8,,19,0.36,37.0,37.709598541259766,36.773799896240234,691510.0,-1.6,CLOSED,0.13,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
CNC,SHORT,CONVICTION,96.6,BEAR_REJECTION_PENDING,66.81,68.94,56.45,56.29,46,4.86,67.33999633789062,67.88500213623047,65.4000015258789,4825358.0,2.81,CLOSED_LOSS,-0.25,HOSTILE,LIMIT,15,VACUUM,2026-09-02_1728,2026-09-02
SCCO,SHORT,CONVICTION,96.0,BEAR_REJECTION_PENDING,203.1,209.91,192.86,180.21,14,1.5,204.25999450683594,209.13999938964844,202.0458984375,789157.0,1.12,CLOSED_LOSS,-0.17,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
RYTM,SHORT,CONVICTION,95.4,BEAR_REJECTION_PENDING,106.01,107.71,97.8,93.75,58,4.84,105.41999816894531,108.56999969482422,103.94999694824219,455588.0,0.65,STOPPED,-1.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
BBW,SHORT,CONVICTION,95.0,BEAR_REJECTION_PENDING,30.76,38.55,29.23,,12,0.2,30.1200008392334,30.34000015258789,29.15999984741211,643992.0,-0.13,NO_FILL,0.0,HOSTILE,LIMIT,19,CONVICTION,2026-09-02_1728,2026-09-02
IREN,SHORT,CONVICTION,92.6,BEAR_REJECTION_PENDING,36.82,40.73,30.79,,25,1.54,39.599998474121094,39.70989990234375,35.7599983215332,40267008.0,9.7,CLOSED_LOSS,-0.71,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
AXTI,SHORT,CONVICTION,92.3,BEAR_REJECTION_PENDING,56.86,60.49,48.51,,27,2.31,56.95000076293945,59.900001525878906,55.724998474121094,5710875.0,2.16,CLOSED_LOSS,-0.02,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
SYRE,SHORT,CONVICTION,92.1,BEAR_REJECTION_PENDING,89.15,90.81,81.57,75.53,60,4.56,87.05000305175781,90.18000030517578,85.0,1361527.0,-1.64,CLOSED,1.27,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
LULU,SHORT,CONVICTION,92.1,BEAR_REJECTION_PENDING,119.0,121.41,110.9,111.3,41,3.36,120.06999969482422,122.20999908447266,118.55000305175781,3915610.0,1.57,STOPPED,-1.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
VGNT,SHORT,CONVICTION,91.6,BEAR_REJECTION_PENDING,46.37,47.64,44.28,40.02,78,1.65,46.810001373291016,47.845001220703125,46.41999816894531,504900.0,1.34,STOPPED,-1.0,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
COPX,SHORT,CONVICTION,91.6,BEAR_REJECTION_PENDING,89.33,97.78,76.12,,11,1.56,89.9000015258789,91.27999877929688,89.05000305175781,3659771.0,1.01,CLOSED_LOSS,-0.07,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
ARKB,SHORT,CONVICTION,91.3,BEAR_REJECTION_PENDING,25.8,28.04,21.88,,44,1.75,25.6299991607666,25.700199127197266,25.385000228881836,985126.0,-0.08,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
SRPT,SHORT,CONVICTION,91.0,BEAR_REJECTION_PENDING,21.26,36.36,20.2,,6,0.07,23.209999084472656,23.614999771118164,21.329999923706055,4804089.0,9.22,CLOSED_LOSS,-0.13,HOSTILE,LIMIT,14,CONVICTION,2026-09-02_1728,2026-09-02
CDW,SHORT,CONVICTION,91.0,BEAR_REJECTION_PENDING,152.13,155.6,139.69,135.35,28,3.58,148.6699981689453,153.75999450683594,148.52999877929688,1440613.0,-1.08,CLOSED,1.0,HOSTILE,LIMIT,9,CONVICTION,2026-09-02_1728,2026-09-02
MIRM,SHORT,CONVICTION,90.7,BEAR_REJECTION_PENDING,100.31,102.75,94.95,86.0,40,2.19,99.83000183105469,100.87000274658203,97.66000366210938,495509.0,1.52,CLOSED,0.2,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
INOD,SHORT,CONVICTION,90.7,BEAR_REJECTION_PENDING,55.0,56.48,52.25,,67,1.86,54.290000915527344,54.72999954223633,52.599998474121094,863202.0,-0.6,NO_FILL,0.0,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
BITB,SHORT,CONVICTION,90.7,BEAR_REJECTION_PENDING,42.23,45.93,36.17,,27,1.64,41.95000076293945,42.06999969482422,41.54999923706055,584360.0,-0.26,NO_FILL,0.0,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
GSHD,SHORT,CONVICTION,90.5,BEAR_REJECTION_PENDING,69.0,71.07,62.57,58.91,48,3.1,68.80000305175781,70.44000244140625,67.94000244140625,180884.0,0.51,CLOSED,0.1,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
SWKS,SHORT,CONVICTION,90.3,BEAR_REJECTION_PENDING,67.02,68.54,62.11,62.12,65,3.23,71.66999816894531,73.25,66.86000061035156,7516638.0,7.61,STOPPED,-1.0,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
MANE,SHORT,CONVICTION,90.3,BEAR_REJECTION_PENDING,100.0,103.33,93.59,90.09,29,1.92,98.45999908447266,100.55000305175781,95.44270324707031,427031.0,-0.55,CLOSED,0.46,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
FNV,SHORT,CONVICTION,90.3,BEAR_REJECTION_PENDING,257.4,264.47,242.8,226.55,14,2.07,259.7099914550781,262.81500244140625,256.4700012207031,737197.0,1.68,CLOSED_LOSS,-0.33,HOSTILE,LIMIT,20,COMPRESSION,2026-09-02_1728,2026-09-02
ARES,SHORT,CONVICTION,90.0,BEAR_REJECTION_PENDING,140.0,142.37,128.95,128.09,42,4.67,138.05999755859375,141.5749969482422,137.45860290527344,1534568.0,-0.74,CLOSED,0.82,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
GNRC,SHORT,CONVICTION,89.8,BEAR_REJECTION_PENDING,182.21,185.01,175.88,,35,2.26,180.75999450683594,183.77999877929688,178.30999755859375,781890.0,-0.36,CLOSED,0.52,HOSTILE,LIMIT,20,CONVICTION,2026-09-02_1728,2026-09-02
