ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
INLF,230.49,55.16,7.37,2.66,2.67,3.46,17439004,15904,1096.49,0.17,False,2.23,3.46,3.4081,3.5638,1926,99.96,1235.1494,1.0,,GENESIS,GENESIS
ZCMD,113.61,50.34,3.14,1.5,1.72,2.21,36541477,16532,2210.29,0.43,False,1.47,2.21,2.1768,2.2763,3016,99.98,922.1678,1.0,,GENESIS,GENESIS
LICN,141.74,1.74,2.78,1.055,1.2331,1.17,13163429,1232,10677.67,0.07,False,1.15,1.17,1.1524,1.2051,5698,100.0,825.3492,1.0,,GENESIS,GENESIS
CHAI,148.19,58.77,0.9692,0.5111,0.7997,0.62,51002443,2155631,23.66,0.24,False,0.3905,0.62,0.6107,0.6386,10752,99.99,455.2117,1.0,,GENESIS,GENESIS
AEHL,65.74,9.94,1.07,0.5924,1.0,0.7098,24869425,9521,2611.95,0.25,False,0.6456,0.7098,0.6992,0.7311,9392,100.0,434.7703,1.0,,GENESIS,GENESIS
CPHI,56.8,-13.26,12.7004,5.15,9.75,7.026,4354036,426745,10.2,0.25,False,8.1,7.026,6.9206,7.2368,948,99.91,141.2435,1.0,,GENESIS,GENESIS
SMCI,17.61,12.59,29.99,28.41,29.5,28.7101,10429586,702019,14.86,0.19,False,25.5,28.7101,28.2794,29.5714,232,99.91,44.9298,1.0,,GENESIS,GENESIS
T,5.93,4.76,23.58,22.24,22.38,23.32,6272412,147901,42.41,0.81,True,22.26,23.32,22.9702,24.0196,285,99.69,36.765,1.0,,GENESIS,GENESIS
JOBY,8.36,1.7,8.3,7.58,7.62,7.79,1703422,483698,3.52,0.29,False,7.66,7.79,7.6731,8.0237,855,99.91,14.9416,1.0,,GENESIS,GENESIS
HPE,4.52,1.82,48.83,46.72,48.05,47.57,515075,73432,7.01,0.4,False,46.72,47.57,46.8565,48.9971,140,99.9,12.0202,1.0,,GENESIS,GENESIS
