ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
ON,16.2,3,Short#2;Analyst#5;Consumption#143,"LONG,NA,SHORT",SHORT,92.0,2,50.0,0.6,6.4,9.6,1.0,
NIVF,15.4,3,Short#1;Momentum#8;Consumption#130,"LONG,SHORT",SHORT,70.0,1,46.3,3.8,9.0,12.8,1.0,
AAOI,13.6,2,Consumption#1;Analyst#5,"LONG,NA",LONG,100.0,1,3.0,7.0,0.0,9.7,1.0,
SDOT,13.3,2,Momentum#1;Consumption#185,LONG,LONG,100.0,1,93.0,9.5,0.0,9.5,1.0,
IVF,9.9,2,Momentum#2;Consumption#102,LONG,LONG,100.0,2,52.0,7.1,0.0,7.1,1.0,
ABSI,9.4,2,Consumption#3;Analyst#5,"LONG,NA",LONG,100.0,3,4.0,4.0,0.0,6.7,1.0,
ACN,8.7,2,Consumption#4;Analyst#5,"LONG,NA",LONG,100.0,4,4.5,3.5,0.0,6.2,1.0,
TII,8.0,2,Momentum#3;Consumption#201,LONG,LONG,100.0,3,102.0,5.7,0.0,5.7,1.0,
ILLR,7.3,2,Momentum#4;Consumption#95,LONG,LONG,100.0,4,49.5,5.2,0.0,5.2,1.0,
SCAG,6.8,3,Short#3;Momentum#6;Consumption#184,"LONG,SHORT",SHORT,55.0,3,64.3,4.2,5.2,9.4,1.0,
AMAT,6.5,2,Analyst#5;Consumption#13,"LONG,NA",LONG,100.0,5,9.0,1.9,0.0,4.6,1.0,
SHPH,6.3,2,Momentum#5;Consumption#189,LONG,LONG,100.0,5,97.0,4.5,0.0,4.5,1.0,
AMD,6.3,2,Analyst#5;Consumption#15,"LONG,NA",LONG,100.0,5,10.0,1.8,0.0,4.5,1.0,
PBK,6.1,3,Short#4;Momentum#7;Consumption#151,"LONG,SHORT",SHORT,53.0,4,54.0,4.0,4.5,8.5,1.0,
APLD,6.0,2,Analyst#5;Consumption#19,"LONG,NA",LONG,100.0,5,12.0,1.6,0.0,4.3,1.0,
ARM,5.9,2,Analyst#5;Consumption#20,"LONG,NA",LONG,100.0,5,12.5,1.6,0.0,4.2,1.0,
AVTR,5.6,2,Analyst#5;Consumption#27,"LONG,NA",LONG,100.0,5,16.0,1.3,0.0,4.0,1.0,
BB,5.5,2,Analyst#5;Consumption#32,"LONG,NA",LONG,100.0,5,18.5,1.2,0.0,3.9,1.0,
BE,5.4,2,Analyst#5;Consumption#34,"LONG,NA",LONG,100.0,5,19.5,1.2,0.0,3.9,1.0,
BLZE,5.4,2,Analyst#5;Consumption#35,"LONG,NA",LONG,100.0,5,20.0,1.2,0.0,3.9,1.0,
BSX,5.4,2,Analyst#5;Consumption#37,"LONG,NA",LONG,100.0,5,21.0,1.2,0.0,3.8,1.0,
BTDR,5.3,2,Analyst#5;Consumption#38,"LONG,NA",LONG,100.0,5,21.5,1.1,0.0,3.8,1.0,
CHWY,5.2,2,Analyst#5;Consumption#44,"LONG,NA",LONG,100.0,5,24.5,1.1,0.0,3.7,1.0,
CIFR,5.2,2,Analyst#5;Consumption#45,"LONG,NA",LONG,100.0,5,25.0,1.0,0.0,3.7,1.0,
CLF,5.2,2,Analyst#5;Consumption#46,"LONG,NA",LONG,100.0,5,25.5,1.0,0.0,3.7,1.0,
CLSK,5.2,2,Analyst#5;Consumption#47,"LONG,NA",LONG,100.0,5,26.0,1.0,0.0,3.7,1.0,
COIN,5.1,2,Analyst#5;Consumption#51,"LONG,NA",LONG,100.0,5,28.0,1.0,0.0,3.7,1.0,
CORZ,5.1,2,Analyst#5;Consumption#53,"LONG,NA",LONG,100.0,5,29.0,1.0,0.0,3.6,1.0,
CPNG,5.1,2,Analyst#5;Consumption#54,"LONG,NA",LONG,100.0,5,29.5,1.0,0.0,3.6,1.0,
CRDO,5.1,2,Analyst#5;Consumption#56,"LONG,NA",LONG,100.0,5,30.5,0.9,0.0,3.6,1.0,
CRM,5.0,2,Analyst#5;Consumption#58,"LONG,NA",LONG,100.0,5,31.5,0.9,0.0,3.6,1.0,
CRWV,5.0,2,Analyst#5;Consumption#61,"LONG,NA",LONG,100.0,5,33.0,0.9,0.0,3.6,1.0,
CTSH,5.0,2,Analyst#5;Consumption#62,"LONG,NA",LONG,100.0,5,33.5,0.9,0.0,3.6,1.0,
DELL,5.0,2,Analyst#5;Consumption#65,"LONG,NA",LONG,100.0,5,35.0,0.9,0.0,3.6,1.0,
DFTX,5.0,2,Analyst#5;Consumption#66,"LONG,NA",LONG,100.0,5,35.5,0.9,0.0,3.5,1.0,
DKNG,5.0,2,Analyst#5;Consumption#67,"LONG,NA",LONG,100.0,5,36.0,0.9,0.0,3.5,1.0,
DOW,4.9,2,Analyst#5;Consumption#69,"LONG,NA",LONG,100.0,5,37.0,0.8,0.0,3.5,1.0,
FCEL,4.9,2,Analyst#5;Consumption#73,"LONG,NA",LONG,100.0,5,39.0,0.8,0.0,3.5,1.0,
FIG,4.9,2,Analyst#5;Consumption#75,"LONG,NA",LONG,100.0,5,40.0,0.8,0.0,3.5,1.0,
FOXA,4.9,2,Analyst#5;Consumption#78,"LONG,NA",LONG,100.0,5,41.5,0.8,0.0,3.5,1.0,
FRMI,4.9,2,Analyst#5;Consumption#79,"LONG,NA",LONG,100.0,5,42.0,0.8,0.0,3.5,1.0,
GLW,4.8,2,Analyst#5;Consumption#82,"LONG,NA",LONG,100.0,5,43.5,0.8,0.0,3.5,1.0,
HIMS,4.8,2,Analyst#5;Consumption#87,"LONG,NA",LONG,100.0,5,46.0,0.8,0.0,3.4,1.0,
INFY,4.8,2,Analyst#5;Consumption#97,"LONG,NA",LONG,100.0,5,51.0,0.7,0.0,3.4,1.0,
IREN,4.7,2,Analyst#5;Consumption#101,"LONG,NA",LONG,100.0,5,53.0,0.7,0.0,3.4,1.0,
JBLU,4.7,2,Analyst#5;Consumption#103,"LONG,NA",LONG,100.0,5,54.0,0.7,0.0,3.4,1.0,
KEEL,4.7,2,Analyst#5;Consumption#105,"LONG,NA",LONG,100.0,5,55.0,0.7,0.0,3.4,1.0,
KLAC,4.7,2,Analyst#5;Consumption#107,"LONG,NA",LONG,100.0,5,56.0,0.7,0.0,3.4,1.0,
LRCX,4.7,2,Analyst#5;Consumption#110,"LONG,NA",LONG,100.0,5,57.5,0.7,0.0,3.4,1.0,
MARA,4.7,2,Analyst#5;Consumption#112,"LONG,NA",LONG,100.0,5,58.5,0.7,0.0,3.3,1.0,
MOS,4.7,2,Analyst#5;Consumption#116,"LONG,NA",LONG,100.0,5,60.5,0.6,0.0,3.3,1.0,
MRVL,4.7,2,Analyst#5;Consumption#119,"LONG,NA",LONG,100.0,5,62.0,0.6,0.0,3.3,1.0,
MSFT,4.7,2,Analyst#5;Consumption#120,"LONG,NA",LONG,100.0,5,62.5,0.6,0.0,3.3,1.0,
MU,4.6,2,Analyst#5;Consumption#123,"LONG,NA",LONG,100.0,5,64.0,0.6,0.0,3.3,1.0,
NKE,4.6,2,Analyst#5;Consumption#131,"LONG,NA",LONG,100.0,5,68.0,0.6,0.0,3.3,1.0,
NOK,4.6,2,Analyst#5;Consumption#134,"LONG,NA",LONG,100.0,5,69.5,0.6,0.0,3.3,1.0,
NOW,4.6,2,Analyst#5;Consumption#135,"LONG,NA",LONG,100.0,5,70.0,0.6,0.0,3.3,1.0,
NU,4.6,2,Analyst#5;Consumption#136,"LONG,NA",LONG,100.0,5,70.5,0.6,0.0,3.3,1.0,
OKLO,4.6,2,Analyst#5;Consumption#142,"LONG,NA",LONG,100.0,5,73.5,0.6,0.0,3.3,1.0,
PINS,4.5,2,Analyst#5;Consumption#153,"LONG,NA",LONG,100.0,5,79.0,0.6,0.0,3.2,1.0,
PLTR,4.5,2,Analyst#5;Consumption#157,"LONG,NA",LONG,100.0,5,81.0,0.6,0.0,3.2,1.0,
QBTS,4.5,2,Analyst#5;Consumption#164,"LONG,NA",LONG,100.0,5,84.5,0.5,0.0,3.2,1.0,
RIOT,4.5,2,Analyst#5;Consumption#175,"LONG,NA",LONG,100.0,5,90.0,0.5,0.0,3.2,1.0,
RKLB,4.5,2,Analyst#5;Consumption#177,"LONG,NA",LONG,100.0,5,91.0,0.5,0.0,3.2,1.0,
RKT,4.5,2,Analyst#5;Consumption#178,"LONG,NA",LONG,100.0,5,91.5,0.5,0.0,3.2,1.0,
RXT,4.5,2,Analyst#5;Consumption#180,"LONG,NA",LONG,100.0,5,92.5,0.5,0.0,3.2,1.0,
SNDK,4.5,2,Analyst#5;Consumption#196,"LONG,NA",LONG,100.0,5,100.5,0.5,0.0,3.2,1.0,
TE,4.5,2,Analyst#5;Consumption#198,"LONG,NA",LONG,100.0,5,101.5,0.5,0.0,3.2,1.0,
TER,4.4,2,Analyst#5;Consumption#200,"LONG,NA",LONG,100.0,5,102.5,0.5,0.0,3.2,1.0,
TSHA,4.4,2,Analyst#5;Consumption#204,"LONG,NA",LONG,100.0,5,104.5,0.5,0.0,3.2,1.0,
VG,4.4,2,Analyst#5;Consumption#212,"LONG,NA",LONG,100.0,5,108.5,0.5,0.0,3.2,1.0,
