date,picks,scored,wins,stops,closes,no_data,wr,pnl_day,pnl_cumulative
2026-04-01,71,71,25,34,12,0,35.2,42375.0,42375.0
2026-04-02,0,0,0,0,0,0,0.0,-39000.0,3375.0
2026-04-02,62,36,5,27,4,26,8.1,-1073.0,2302.0
2026-04-06,6,0,0,0,0,6,0.0,0.0,2302.0
2026-04-07,24,18,0,12,6,6,0.0,-1162.0,1140.0
2026-04-08,16,14,0,6,8,2,0.0,-879.0,261.0
2026-04-09,5,3,0,3,0,2,0.0,-300.0,-39.0
2026-04-10,1,0,0,0,0,1,0.0,0.0,-39.0
2026-04-13,11,6,0,6,0,5,0.0,-600.0,-639.0
2026-04-14,35,8,0,0,8,27,0.0,-487.0,-1126.0
2026-04-15,79,39,0,6,33,40,0.0,19.0,-1107.0
2026-04-16,71,18,0,0,18,53,0.0,-234.0,-1341.0
2026-04-17,77,26,0,7,19,51,0.0,-793.0,-2134.0
2026-04-20,84,51,1,5,45,33,1.2,668.0,-1466.0
2026-04-21,73,41,2,9,30,32,2.7,-530.0,-1996.0
2026-04-22,57,25,0,3,22,32,0.0,-346.0,-2342.0
2026-04-23,87,49,0,0,49,38,0.0,-3039.0,-5381.0
2026-04-24,35,30,1,5,24,5,2.9,-156.0,-5537.0
2026-04-27,36,25,1,5,19,11,2.8,-249.0,-5786.0
2026-04-28,11,10,0,1,9,1,0.0,-85.0,-5871.0
2026-04-29,8,3,0,2,1,5,0.0,-227.0,-6098.0
2026-04-30,13,7,0,1,6,6,0.0,-132.0,-6230.0
2026-05-01,15,10,0,2,8,5,0.0,-135.0,-6365.0
2026-05-04,9,6,0,0,6,3,0.0,-112.0,-6477.0
2026-05-05,18,10,1,3,6,8,5.6,-202.0,-6679.0
2026-05-06,14,8,0,1,7,6,0.0,-55.0,-6734.0
2026-05-07,12,8,1,2,5,4,8.3,-150.0,-6884.0
2026-05-08,15,8,1,3,4,7,6.7,-57.0,-6941.0
2026-05-11,20,16,1,5,10,4,5.0,-440.0,-7381.0
2026-05-13,14,12,8,0,4,2,57.1,725.0,-6656.0
2026-05-14,18,16,10,1,5,2,55.6,1028.0,-5628.0
2026-05-17,17,17,12,1,4,0,70.6,749.0,-4879.0
2026-05-18,18,18,7,7,4,0,38.9,38.0,-4841.0
2026-05-19,15,15,8,2,5,0,53.3,348.0,-4493.0
2026-05-20,9,8,5,1,2,1,55.6,343.0,-4150.0
2026-05-21,14,13,5,4,4,1,35.7,364.0,-3786.0
2026-05-26,25,22,14,5,3,3,56.0,1257.0,-2529.0
2026-05-27,22,21,16,3,2,1,72.7,1906.0,-623.0
2026-05-28,20,19,12,3,4,1,60.0,1521.0,898.0
2026-05-29,24,23,17,6,0,1,70.8,1734.0,2632.0
2026-06-01,20,18,11,7,0,2,55.0,521.0,3153.0
2026-06-02,30,28,20,8,0,2,66.7,1505.0,4658.0
2026-06-03,14,12,9,3,0,2,64.3,1052.0,5710.0
2026-06-04,16,15,9,6,0,1,56.2,267.0,5977.0
2026-06-05,18,18,15,3,0,0,83.3,1533.0,7510.0
2026-06-08,18,18,14,4,0,0,77.8,1374.0,8884.0
2026-06-09,16,16,13,3,0,0,81.2,1226.0,10110.0
2026-06-10,12,12,8,4,0,0,66.7,754.0,10864.0
2026-06-11,11,11,7,3,1,0,63.6,589.0,11453.0
2026-06-15,10,8,4,4,0,2,40.0,-51.0,11402.0
2026-06-16,27,25,18,7,0,2,66.7,1831.0,13233.0
2026-06-17,26,26,19,7,0,0,73.1,1306.0,14539.0
2026-06-18,21,18,13,5,0,3,61.9,1213.0,15752.0
2026-06-22,22,21,19,2,0,1,86.4,2528.0,18280.0
2026-06-23,12,12,10,2,0,0,83.3,1360.0,19640.0
2026-06-29,4,4,4,0,0,0,100.0,481.0,20121.0
2026-06-30,5,5,3,2,0,0,60.0,160.0,20281.0
2026-07-01,8,8,6,2,0,0,75.0,516.0,20797.0
2026-07-02,12,12,11,1,0,0,91.7,1387.0,22184.0
2026-07-03,12,12,11,1,0,0,91.7,1387.0,23571.0
2026-07-06,12,10,10,0,0,2,83.3,1305.0,24876.0
2026-07-07,12,11,10,1,0,1,83.3,1163.0,26039.0
2026-07-08,3,2,1,1,0,1,33.3,145.0,26184.0
2026-07-09,5,5,5,0,0,0,100.0,396.0,26580.0
2026-07-10,38,38,32,6,0,0,84.2,3871.0,30451.0
2026-07-13,1,1,0,1,0,0,0.0,-100.0,30351.0
2026-07-14,1,1,0,1,0,0,0.0,-100.0,30251.0
2026-07-15,1,1,0,1,0,0,0.0,-100.0,30151.0
2026-07-16,1,1,1,0,0,0,100.0,92.0,30243.0
2026-07-17,1,1,0,1,0,0,0.0,-100.0,30143.0
2026-07-20,5,5,4,1,0,0,80.0,113.0,30256.0
2026-07-21,10,9,8,1,0,1,80.0,1125.0,31381.0
2026-07-22,1,1,1,0,0,0,100.0,150.0,31531.0
2026-07-23,2,1,0,1,0,1,0.0,-12.0,31519.0
