ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
LIFE,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,32.07,1h,log_regression,AT_LOWER,0.311,11,22.83,27.33,daily,14.78,100.0,nearest_support_gap_hi,31.42,True,True,2.03,2.07,11.29,11.29,3.34,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 11.29% from recent high | just-triggered reclaim, still near shelf | room back to recent high",early_trigger_not_chase
GCT,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,52.07,1h,log_regression,MID,0.35,30,46.45,48.0,daily,7.82,98.41,nearest_support_gap_hi,51.91,True,True,0.31,0.31,8.07,8.07,2.11,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.07% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,overhead_gap_too_close
BMNR,EARLY_STRUCTURAL_MATCH,100.0,88.0,88.0,TOO_EARLY_OR_LOOSE,22.06,weekly,log_regression,AT_LOWER,0.301,10,4.46,15.0,weekly,32.0,100.0,nearest_support_gap_hi,21.7,True,True,1.63,1.66,9.29,9.29,2.67,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 9.29% from recent high | room back to recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
VOR,EARLY_STRUCTURAL_MATCH,99.9,83.0,83.0,TOO_EARLY_OR_LOOSE,23.0,1h,log_regression,AT_LOWER,0.281,19,14.93,15.04,daily,34.61,99.23,nearest_support_gap_hi,22.9,True,True,0.43,0.44,6.7,6.7,3.04,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 6.7% from recent high,too_early_or_loose_for_trigger
MARA,EARLY_RECLAIM_TRIGGER,86.4,81.0,81.0,EARLY_RECLAIM_TRIGGER,10.12,daily,log_regression,AT_LOWER,0.039,1,9.82,9.9,15m,2.17,53.66,nearest_support_gap_hi,9.9,True,True,2.17,2.22,62.35,62.35,2.67,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | some bullish shelf support | just-triggered reclaim, still near shelf | room back to recent high",deep_damage_pullback | early_trigger_not_chase | early_positive_momentum
PARR,EARLY_STRUCTURAL_MATCH,100.0,80.0,80.0,TOO_EARLY_OR_LOOSE,74.65,daily,log_regression,MID,0.52,34,48.87,49.82,weekly,33.26,99.54,nearest_support_gap_hi,73.03,True,True,2.17,2.22,17.51,17.51,2.81,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 17.51% from recent high | room back to recent high,too_early_or_loose_for_trigger
DSGN,EARLY_STRUCTURAL_MATCH,100.0,80.0,80.0,TOO_EARLY_OR_LOOSE,15.94,daily,log_regression,MID,0.554,14,10.97,11.09,weekly,30.43,100.0,nearest_support_gap_hi,15.5,True,True,2.76,2.84,8.22,8.22,,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.22% from recent high | room back to recent high,too_early_or_loose_for_trigger | early_positive_momentum
EMBC,EARLY_STRUCTURAL_MATCH,86.2,71.0,71.0,TOO_EARLY_OR_LOOSE,5.32,1h,log_regression,MID,0.513,17,3.52,4.14,daily,22.18,99.02,nearest_support_gap_hi,5.14,True,True,3.38,3.5,86.09,86.09,,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback | too_early_or_loose_for_trigger
PURR,EARLY_STRUCTURAL_MATCH,86.3,62.0,62.0,TOO_EARLY_OR_LOOSE,10.19,daily,log_regression,AT_UPPER,0.769,6,6.77,7.26,weekly,28.75,100.0,upper,11.37,True,False,-11.58,-10.38,14.03,14.03,8.54,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 14.03% from recent high | room back to recent high,mid_high_channel_location | too_early_or_loose_for_trigger | recent_move_already_hot
CGEM,EARLY_STRUCTURAL_MATCH,75.9,60.0,60.0,TOO_EARLY_OR_LOOSE,22.05,daily,log_regression,MID,0.65,24,15.03,15.27,weekly,30.75,100.0,nearest_support_gap_hi,21.48,True,True,2.59,2.65,4.17,4.17,2.04,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | coiled/controlled short-term momentum,mid_high_channel_location | shallow_pullback | too_early_or_loose_for_trigger | overhead_gap_too_close
