ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
WYY,112.37,36.1,37.42,18.99,18.99,23.98,3057835,1845,1656.69,0.27,False,17.62,23.98,23.6203,24.6994,278,100.0,728.6253,1.0,,GENESIS,GENESIS
FCUV,87.17,35.75,8.2731,4.53,4.55,6.0,13418601,31313,428.52,0.39,False,4.42,6.0,5.91,6.18,1111,99.99,549.4531,1.0,,GENESIS,GENESIS
NEXR,76.85,34.31,0.9948,0.61,0.6395,0.7555,83002729,102130,812.71,0.38,False,0.5625,0.7555,0.7442,0.7782,8824,100.0,519.6702,1.0,,GENESIS,GENESIS
PRQR,54.7,-1.66,2.8,1.6753,2.0991,1.78,1406480,3183,441.79,0.09,False,1.81,1.78,1.7533,1.8334,3745,99.99,230.0253,1.0,,GENESIS,GENESIS
MASK,31.5,0.5,2.63,1.94,1.99,2.01,2040201,54362,37.53,0.1,False,2.0,2.01,1.9798,2.0703,3316,99.98,87.626,1.0,,GENESIS,GENESIS
SAGT,51.24,20.66,1.83,1.13,1.27,1.46,12246814,5876688,2.08,0.47,False,1.21,1.46,1.4381,1.5038,4566,100.0,86.3246,1.0,,GENESIS,GENESIS
PBK,47.75,-0.87,1.1,0.72,0.7442,0.738,29136108,3079949,9.46,0.05,False,0.7445,0.738,0.7269,0.7601,9033,100.0,84.8683,1.0,,GENESIS,GENESIS
BB,14.15,12.76,9.84,9.03,9.12,9.72,5462722,555956,9.83,0.85,True,8.62,9.72,9.5742,10.0116,685,99.87,62.8519,1.0,,GENESIS,GENESIS
WEN,20.23,7.51,9.45,8.3476,9.0,8.45,12733191,6353776,2.0,0.09,False,7.86,8.45,8.3232,8.7035,788,99.88,20.331,1.0,,GENESIS,GENESIS
COMP,3.0,0.28,10.97,10.512,10.67,10.68,296900,11400,26.04,0.37,False,10.65,10.68,10.5198,11.0004,624,99.96,11.0946,1.0,,GENESIS,GENESIS
