ticker,side,tier,fem,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
META,Short,T1-CONVICTION,69,583.0,593.4,546.77,605.0,605.5,599.2,257133.0,-3.77,STOPPED,-1.0,False,2026-04-08_0516,2026-04-07_0000
PEP,Short,T2-STRONG,74,166.69,167.28,153.82,154.04,0.0,0.0,190559623.0,7.59,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
AXP,Short,T2-STRONG,72,307.21,309.11,279.73,317.0,0.0,0.0,53580640.0,-3.19,PRE_UP,-3.19,True,2026-04-08_0516,2026-04-07_0000
DIS,Short,T2-STRONG,69,104.79,105.76,95.34,98.12,0.0,0.0,677151055.0,6.37,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
TXN,Short,T3-WATCH,79,201.37,202.39,189.35,207.85,0.0,0.0,322313934.0,-3.22,PRE_UP,-3.22,True,2026-04-08_0516,2026-04-07_0000
MSFT,Short,T3-WATCH,74,390.19,391.79,364.41,384.91,0.0,0.0,1254397667.0,1.35,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
MCD,Short,T3-WATCH,72,324.5,326.12,294.7,308.6,0.0,0.0,390211881.0,4.9,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
TMUS,Short,T3-WATCH,71,226.5,228.48,180.33,203.31,0.0,0.0,365295569.0,10.24,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
MA,Short,T3-WATCH,69,516.27,519.61,464.0,508.25,0.0,0.0,166704126.0,1.55,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
CRM,Short,T3-WATCH,68,192.14,195.18,180.1,187.37,0.0,0.0,599466229.0,2.48,NO_FILL,0.0,False,2026-04-08_0516,2026-04-07_0000
BA,Short,T3-WATCH,67,209.0,210.82,203.5,218.38,0.0,0.0,106145240.0,-4.49,PRE_UP,-4.49,True,2026-04-08_0516,2026-04-07_0000
PG,Short,T3-WATCH,65,162.19,163.45,158.41,143.31,0.0,0.0,768105182.0,11.64,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
ABT,Short,T3-WATCH,60,109.5,110.1,107.7,103.2,0.0,0.0,68051100.0,5.75,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
HD,Short,T3-WATCH,57,323.93,328.98,308.78,329.0,0.0,0.0,996895031.0,-1.57,PRE_UP,-1.0,False,2026-04-08_0516,2026-04-07_0000
MU,Long,T4-LONG,75,343.0,337.84,370.02,413.1,0.0,0.0,978465585.0,20.44,NO_FILL,0.0,False,2026-04-08_0516,2026-04-07_0000
GEV,Long,T4-LONG,72,824.01,820.33,917.27,967.7,0.0,0.0,1416407278.0,17.44,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
LRCX,Long,T4-LONG,71,203.01,200.7,219.56,239.77,0.0,0.0,1544465682.0,18.11,NO_FILL,0.0,False,2026-04-08_0516,2026-04-07_0000
PLTR,Long,T4-LONG,70,138.97,137.83,153.12,155.72,0.0,0.0,1242453112.0,12.05,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
CVX,Long,T4-LONG,69,192.69,191.79,201.99,191.87,0.0,0.0,1948754912.0,-0.43,PRE_DOWN,-0.43,True,2026-04-08_0516,2026-04-07_0000
IBM,Long,T4-LONG,69,233.22,229.32,250.37,251.0,0.0,0.0,563003077.0,7.62,NO_FILL,0.0,False,2026-04-08_0516,2026-04-07_0000
GOOGL,Long,T4-LONG,68,290.41,288.08,299.92,318.65,0.0,0.0,1654304086.0,9.72,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
XOM,Long,T4-LONG,68,152.27,151.58,165.77,153.73,0.0,0.0,35753488.0,0.96,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
GS,Long,T4-LONG,68,792.0,789.36,916.25,898.5,0.0,0.0,652992333.0,13.45,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
AMAT,Long,T4-LONG,67,326.32,324.49,350.85,378.8,0.0,0.0,1100116978.0,16.08,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
GOOG,Long,T4-LONG,66,289.47,287.05,297.1,316.76,0.0,0.0,235173213.0,9.43,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
C,Long,T4-LONG,65,101.72,101.17,103.37,121.5,0.0,0.0,369029752.0,19.45,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
MS,Long,T4-LONG,64,159.64,158.76,174.13,175.1,0.0,0.0,326338718.0,9.68,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
LLY,Long,T4-LONG,62,925.99,921.44,945.8,946.8,0.0,0.0,437942819.0,2.25,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
JPM,Long,T4-LONG,61,288.47,284.74,297.98,305.37,0.0,0.0,1046110357.0,5.86,NO_FILL,0.0,False,2026-04-08_0516,2026-04-07_0000
MRK,Long,T4-LONG,60,118.77,118.15,120.63,120.9,0.0,0.0,113376408.0,1.79,NO_FILL,0.0,True,2026-04-08_0516,2026-04-07_0000
INTC,Long,T4-LONG,58,44.96,44.23,47.15,55.65,0.0,0.0,1061067694.0,23.78,NO_FILL,0.0,False,2026-04-08_0516,2026-04-07_0000
TMO,Long,T4-LONG,57,487.75,480.05,514.38,509.99,0.0,0.0,47300682.0,4.56,NO_FILL,0.0,False,2026-04-08_0516,2026-04-07_0000
VZ,Long,T4-LONG,53,48.54,48.16,49.68,48.0,0.0,0.0,0.0,-1.11,PRE_DOWN,-1.08,True,2026-04-08_0516,2026-04-07_0000
BABA,Short,T5-LOW,62,127.05,129.56,113.2,128.23,0.0,0.0,0.0,-0.93,PRE_UP,-0.47,False,2026-04-08_0516,2026-04-07_0000
