date,ticker,gap_pct,open,prev_close,volume,stop,tgt,shares,outcome,exit,pnl,pct
2026-04-28,ABCL,-3.12,4.03000020980835,4.16,10031598,4.090450212955474,3.909100203514099,1654,STOP,4.090450212955474,-99.98430520534421,-1.4999999999999858
2026-04-02,ABSI,-4.13,3.0199999809265137,3.15,4676300,3.065299980640411,2.9293999814987184,2207,STOP,3.065299980640411,-99.9770993685716,-1.4999999999999907
2026-04-20,ABSI,-3.49,3.490000009536743,3.58,5775000,3.542350009679794,3.3853000092506407,1910,STOP,3.542350009679794,-99.98850027322746,-1.4999999999999964
2026-04-28,ABSI,-3.51,4.679999828338623,4.85,5977792,4.750199825763702,4.539599833488464,1424,STOP,4.750199825763702,-99.96479633331263,-1.4999999999999947
2026-04-06,ADVB,-3.52,4.390100002288818,4.55,3757000,4.45595150232315,4.258397002220153,1518,CLOSE,4.300099849700928,136.62023162841797,2.050070671305169
2026-04-23,AGPU,-22.74,6.730000019073486,8.75,3874200,6.830950019359588,6.528100018501282,990,STOP,6.830950019359588,-99.94050028324088,-1.4999999999999942
2026-04-27,AGPU,-6.33,6.199999809265137,6.64,1027500,6.292999806404113,6.013999814987183,1075,TARGET,6.013999814987183,199.94999384880055,2.9999999999999982
2026-04-08,AIB,-3.05,1.590000033378601,1.64,2806400,1.6138500338792798,1.542300032377243,4192,STOP,1.6138500338792798,-99.97920209884535,-1.4999999999999838
2026-04-09,AIB,-6.52,1.7200000286102295,1.84,1438700,1.7458000290393827,1.6684000277519226,3875,TARGET,1.6684000277519226,199.95000332593904,2.999999999999998
2026-03-31,AIIO,-5.81,0.07729999721050262,1.72,1885765,0.07845949716866016,0.07498099729418754,86244,STOP,0.07845949716866016,-99.99991439133835,-1.499999999999993
2026-04-06,AIIO,-22.86,1.0800000429153442,1.4,1294200,1.0962000435590742,1.047600041627884,6172,STOP,1.0962000435590742,-99.98640397310126,-1.4999999999999802
2026-03-30,AIXI,-8.59,0.11699999868869781,0.128,2214900,0.11875499866902826,0.11348999872803688,56980,TARGET,0.11348999872803688,199.99979775846032,3.0000000000000044
2026-04-02,AIXI,-5.1,0.09000000357627869,0.098,271666800,0.09135000362992286,0.08730000346899032,74074,STOP,0.09135000362992286,-99.99990397363872,-1.4999999999999956
2026-04-08,AIXI,-14.87,1.659999966621399,1.95,156910500,1.6848999661207198,1.610199967622757,4016,TARGET,1.610199967622757,199.99679597854612,2.9999999999999996
2026-04-09,AIXI,-27.97,1.0299999713897705,1.43,81580300,1.0454499709606169,0.9990999722480773,6472,STOP,1.0454499709606169,-99.99239722251765,-1.4999999999999811
2026-04-14,AIXI,-17.69,1.0700000524520874,1.3,27628500,1.0860500532388686,1.0379000508785248,6230,STOP,1.0860500532388686,-99.9915049016469,-1.49999999999999
2026-04-15,AIXI,-12.31,0.9401999711990356,1.08,32952100,0.9543029707670211,0.9119939720630645,7090,STOP,0.9543029707670211,-99.99026693701678,-1.49999999999999
2026-04-16,AIXI,-15.79,0.9638000130653381,1.14,10959500,0.9782570132613181,0.934886012673378,6917,STOP,0.9782570132613181,-99.99907035559333,-1.4999999999999876
2026-04-17,AIXI,-11.58,0.8310999870300293,0.95,19512300,0.8435664868354796,0.8061669874191284,8021,TARGET,0.8061669874191284,199.98758987903608,3.0000000000000018
2026-04-20,AIXI,-3.33,0.84170001745224,0.871,10381700,0.8543255177140235,0.8164490169286728,7920,STOP,0.8543255177140235,-99.99396207332572,-1.4999999999999942
2026-04-21,AIXI,-4.11,0.8159999847412109,0.851,7148600,0.828239984512329,0.7915199851989746,8169,TARGET,0.7915199851989746,199.97711626052867,3.0000000000000018
2026-04-22,AIXI,-5.9,0.7850000262260437,0.83,20223600,0.7967750266194343,0.7614500254392623,8492,STOP,0.7967750266194343,-99.99330334067326,-1.4999999999999971
2026-04-24,AIXI,-29.63,0.7595999836921692,1.08,17150900,0.7709939834475517,0.7368119841814041,8776,TARGET,0.7368119841814041,199.98748370647402,2.999999999999996
2026-04-27,AIXI,-8.42,0.7020999789237976,0.76,12303000,0.7126314786076545,0.6810369795560837,9495,TARGET,0.6810369795560837,199.99317899644387,3.0000000000000018
2026-04-28,AIXI,-4.97,0.6499999761581421,0.684,6624236,0.6597499758005142,0.6304999768733978,10256,STOP,0.6597499758005142,-99.99599633216835,-1.4999999999999967
2026-04-21,ALP,-10.94,0.2849999964237213,0.32,2380900,0.2892749963700771,0.27644999653100966,23391,STOP,0.2892749963700771,-99.99652374520788,-1.4999999999999836
2026-04-23,ALP,-9.57,0.20720000565052032,0.23,16307300,0.2103080057352781,0.2009840054810047,32175,TARGET,0.2009840054810047,199.99980545416517,3.0000000000000067
