ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr
OI,Long,PULLBACK,T2-LONG,78,6.72,6.1886,7.7828,,2.0,0.5314,7.18,6.4,APPROACH,5,5,"10m,15m,1d,30m,5m",6.72,6.38,OPEN_ROAD,EXCITED,3.12,83551388,1.3,0.9,0,0,14.3,29,8,150.31,HIGH,0.03,6.6,6.38,6.82,6.9,PREMIUM,MID,312,1,144,2.1,D,True,0.34,1.56,N/A,,0.5,0.5,1.0,0.0,1.0,0.5,1.1,HOSTILE,6.38,6.72,6.7872,522,188,167,7.33,2.0,1.66,3330.36,1263.36,1133.46,10:30,6.1886,7.7828,PULLBACK_LIMIT,,,
CNQ,Long,BOUNCE,T1-STRONG_LONG,100,51.4,47.7919,58.6162,,2.0,3.6081,51.4,0.4,CLOSE,7,4,"1d,1h,30m,4h",51.18,49.27,HIGHWAY,EXCITED,1.04,709294547,0.6,0.7,0,0,6.8,55,8,2014.56,MEGA,0.0,51.105,51.03,51.18,0.3,FLAT,FLAT,3133,8,1285,99.9,A,False,1.1592428571428566,3.11,N/A,,0.5,0.5,0.0,1.0,0.0,0.5,0.7,HOSTILE,49.27,51.4,51.914,67,27,24,6.32,2.0,1.63,3301.09,1387.8,1245.94,10:30,47.7919,58.6162,PULLBACK_LIMIT,,,
