ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
GETY,339.6,129.71,2.66,0.76,1.0,1.39,81643289,14084,5796.55,0.33,False,0.6051,1.39,1.3691,1.4317,4796,100.0,2418.2625,0.886,WEAK,GENESIS,GENESIS
TNON,137.8,80.2,0.8323,0.5305,0.7062,0.6307,71465558,5370,13307.8,0.33,False,0.35,0.6307,0.6212,0.6496,10570,100.0,1282.8093,1.066,NEUTRAL,GENESIS,GENESIS
CRMT,102.08,49.57,4.85,2.37,2.57,3.5896,33152004,50678,654.17,0.49,False,2.4,3.5896,3.5358,3.6973,1857,99.99,771.2806,1.018,NEUTRAL,GENESIS,GENESIS
SAGT,145.45,57.58,2.43,1.52,1.79,1.56,26978469,12074,2234.28,0.04,False,0.99,1.56,1.5366,1.6068,4273,99.99,734.7675,1.066,NEUTRAL,GENESIS,GENESIS
SKYQ,62.39,42.74,1.9,1.1702,1.18,1.67,60034358,103028,582.7,0.68,True,1.17,1.67,1.6449,1.7201,3992,100.0,561.0039,1.03,NEUTRAL,GENESIS,GENESIS
ECX,47.17,0.94,1.56,1.06,1.07,1.07,23595453,1315,17936.49,0.02,False,1.06,1.07,1.0539,1.1021,6230,99.99,269.5389,1.018,NEUTRAL,GENESIS,GENESIS
CDT,120.59,35.29,2.25,1.1,1.22,1.38,39900969,16932780,2.36,0.24,False,1.02,1.38,1.3593,1.4214,4830,99.98,191.4775,1.15,HOT,GENESIS,GENESIS
LFS,42.45,10.39,3.02,2.22,2.95,2.3403,2596202,20203,128.5,0.15,False,2.12,2.3403,2.3052,2.4105,2848,99.98,154.8931,0.958,NEUTRAL,GENESIS,GENESIS
KEEL,12.72,10.49,7.09,6.31,6.42,6.95,3616849,1041211,3.47,0.82,True,6.29,6.95,6.8457,7.1585,959,99.98,39.2924,1.042,NEUTRAL,GENESIS,GENESIS
VSH,10.32,6.89,71.6,67.02,67.02,69.37,256929,128188,2.0,0.51,True,64.9,69.37,68.3295,71.4511,96,99.89,20.1777,1.138,HOT,GENESIS,GENESIS
AMC,7.42,3.52,3.04,2.79,2.8,2.9297,2548543,885123,2.88,0.56,True,2.83,2.9297,2.8858,3.0176,2275,99.98,15.4868,0.958,NEUTRAL,GENESIS,GENESIS
BTBT,4.15,3.69,2.26,2.16,2.18,2.25,827462,353388,2.34,0.9,True,2.17,2.25,2.2163,2.3175,2962,99.97,11.4558,1.066,NEUTRAL,GENESIS,GENESIS
BFLY,3.03,-1.4,9.17,8.53,8.89,8.775,646828,301618,2.14,0.38,False,8.9,8.775,8.6434,9.0383,759,99.9,5.0331,1.066,NEUTRAL,GENESIS,GENESIS
