ticker,stage,stage_pct,conviction,av20_volume,today_vol_pct_of_avg,n_overhead_remaining,fresh_bull_5m_below,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rejection_dt,rejection_gap_top,rejection_gap_bot,rejection_gap_ticks,rejection_price,bounce_dt,bounce_price,bounce_gap_top,bounce_vol_ratio,n_bearish_total,n_bearish_consumed,last_consumed_dt,last_consumed_top,fresh_bull_5m_count,snapshot_price,target,stop,rr,entry_ready,all_bearish_consumed,pattern_status
XNDU,ALL_EATEN,100,6,4573347,379.1,10,0,5,7.8,False,3.2,2026-04-27 09:30:00,29.96,29.5,46,27.97,2026-05-04 06:45:00,12.63,10.3859,3.79,7,7,2026-05-01 04:30:00,29.4282,0,30.49,29.5,29.4282,,True,True,ENTRY_READY
XNDU,ALL_EATEN,100,6,4573347,379.1,20,0,5,7.8,False,4.8,2026-04-28 07:30:00,28.075,27.83,25,26.75,2026-05-04 06:45:00,12.63,10.3859,3.79,2,2,2026-04-30 08:45:00,27.75,0,28.35,27.83,27.75,,True,True,ENTRY_READY
XNDU,ALL_EATEN,100,6,4573347,379.1,20,0,5,7.8,False,4.8,2026-04-29 09:15:00,28.2,27.7936,41,27.78,2026-05-04 06:45:00,12.63,10.3859,3.79,2,2,2026-04-30 08:45:00,27.75,0,28.35,27.7936,27.75,,True,True,ENTRY_READY
XNDU,EATING_7/11,81,6,4573347,379.1,10,0,5,7.8,False,3.2,2026-04-24 10:00:00,32.04,31.57,47,31.395,2026-05-04 06:45:00,12.63,10.3859,3.79,11,7,2026-05-01 04:30:00,29.4282,0,30.49,31.57,29.4282,1.02,False,False,EATING
SMMT,ALL_EATEN,100,3,4345183,20.6,18,0,2,3.4,False,4.7,2026-04-28 12:45:00,22.0,21.7533,25,21.75,2026-05-01 04:00:00,18.47,18.87,4.05,3,3,2026-04-30 10:15:00,21.57,0,21.99,21.7533,21.57,,True,True,ENTRY_READY
SMMT,ALL_EATEN,100,3,4345183,20.6,24,0,2,3.4,False,5.0,2026-04-15 12:00:00,21.5,21.2,30,21.1817,2026-05-01 04:00:00,18.47,18.87,4.05,1,1,2026-04-30 05:30:00,20.8227,0,20.95,21.2,20.8227,1.96,True,True,ENTRY_READY
SMMT,ALL_EATEN,100,3,4345183,20.6,24,0,2,3.4,False,5.0,2026-04-29 09:30:00,21.43,21.12,31,21.02,2026-05-01 04:00:00,18.47,18.87,4.05,1,1,2026-04-30 05:30:00,20.8227,0,20.95,21.12,20.8227,1.34,True,True,ENTRY_READY
MRK,ALL_EATEN,100,1,7325532,6.5,11,0,3,1.1,False,4.2,2026-04-20 04:00:00,119.11,118.6157,49,118.54,2026-04-30 04:00:00,110.1,116.27,1.77,6,6,2026-04-30 07:00:00,114.25,0,115.0,118.6157,114.25,4.82,True,True,ENTRY_READY
MRK,ALL_EATEN,100,1,7325532,6.5,11,0,3,1.1,False,4.2,2026-04-24 10:45:00,112.7,112.06,64,111.805,2026-04-30 04:00:00,110.1,110.5,1.77,2,2,2026-04-30 07:00:00,111.64,0,115.0,112.06,111.64,,True,True,ENTRY_READY
SMMT,EATING_5/6,91,3,4345183,20.6,16,0,2,3.4,False,4.5,2026-04-27 09:15:00,22.6658,22.36,31,22.12,2026-05-01 04:00:00,18.47,18.87,4.05,6,5,2026-04-30 11:30:00,22.14,0,22.185,22.36,22.14,3.89,False,False,EATING
TMUS,ALL_EATEN,100,0,5260338,2.5,12,0,0,-1.6,False,4.6,2026-04-24 10:30:00,193.39,192.31,108,191.915,2026-04-29 06:00:00,190.54,191.0,1.62,1,1,2026-04-29 08:30:00,191.0,0,191.5,192.31,191.0,1.62,True,True,ENTRY_READY
SMMT,EATING_7/9,88,3,4345183,20.6,16,0,2,3.4,False,4.5,2026-04-24 09:15:00,23.0,22.6,40,22.34,2026-05-01 04:00:00,18.47,18.87,4.05,9,7,2026-04-30 11:30:00,22.14,0,22.185,22.6,22.14,9.22,False,False,EATING
SMMT,EATING_7/16,71,3,4345183,20.6,16,0,2,3.4,False,4.5,2026-04-23 09:45:00,23.98,23.77,21,23.7,2026-05-01 04:00:00,18.47,18.87,4.05,16,7,2026-04-30 11:30:00,22.14,0,22.185,23.77,22.14,35.22,False,False,EATING
SMMT,EATING_7/18,69,3,4345183,20.6,16,0,2,3.4,False,4.5,2026-04-22 10:45:00,24.4,24.19,21,24.1497,2026-05-01 04:00:00,18.47,18.87,4.05,18,7,2026-04-30 11:30:00,22.14,0,22.185,24.19,22.14,44.56,False,False,EATING
SMMT,EATING_7/21,66,3,4345183,20.6,16,0,2,3.4,False,4.5,2026-04-21 04:15:00,25.3493,25.08,27,25.07,2026-05-01 04:00:00,18.47,18.87,4.05,21,7,2026-04-30 11:30:00,22.14,0,22.185,25.08,22.14,64.33,False,False,EATING
XNDU,BOUNCED_CLEAN,50,6,4573347,379.1,31,0,5,7.8,False,0.0,2026-05-04 08:15:00,12.72,12.4,32,12.37,2026-05-04 09:15:00,13.25,12.06,3.79,0,0,,,0,13.25,12.4,11.68,,False,False,BOUNCED
SMMT,BOUNCED_CLEAN,50,3,4345183,20.6,43,0,2,3.4,False,2.7,2026-05-01 06:30:00,18.18,17.96,22,17.9,2026-05-01 07:30:00,17.12,17.02,4.05,0,0,,,0,17.12,17.96,16.92,4.2,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,2,681201,8.8,19,0,5,1.6,False,4.3,2026-04-13 07:15:00,1740.01,1731.0,901,1725.4982,2026-04-30 06:45:00,1685.0,1700.0,2.2,0,0,,,0,1685.0,1731.0,1682.5,18.4,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,2,681201,8.8,19,0,5,1.6,False,4.3,2026-04-16 08:00:00,1758.76,1747.9964,1076,1743.99,2026-04-30 06:45:00,1685.0,1700.0,2.2,0,0,,,0,1685.0,1747.9964,1682.5,25.2,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,2,681201,8.8,18,0,5,1.6,False,4.5,2026-04-15 08:30:00,1795.0,1781.97,1303,1768.0,2026-04-30 04:30:00,1698.97,1755.69,2.2,0,0,,,0,1698.97,1781.97,1680.0,4.38,False,False,BOUNCED
KLAC,BOUNCED_CLEAN,50,2,681201,8.8,18,0,5,1.6,False,4.5,2026-04-29 09:30:00,1819.0,1810.0,900,1805.21,2026-04-30 04:30:00,1698.97,1795.0,2.2,0,0,,,0,1698.97,1810.0,1680.0,5.85,False,False,BOUNCED
FORM,BOUNCED_CLEAN,50,1,1749269,14.4,21,0,1,-1.2,False,3.7,2026-04-29 10:30:00,138.48,137.08,140,136.88,2026-04-30 10:30:00,134.54,134.1,2.15,0,0,,,0,134.54,137.08,132.52,1.26,False,False,BOUNCED
SMMT,BOUNCED_WAITING,50,3,4345183,20.6,43,0,2,3.4,False,2.7,2026-04-30 16:30:00,19.39,19.1809,21,17.0,2026-05-01 07:30:00,17.12,16.94,4.05,1,0,,,0,17.12,19.1809,16.92,10.3,False,False,BOUNCED
