ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
MASK,73.91,34.78,2.4,1.5,1.65,1.86,9915148,6971,1422.26,0.4,False,1.38,1.86,1.8321,1.9158,3584,99.99,592.3284,1.078,STRONG,GENESIS,GENESIS
PUSA,108.99,15.26,7.67,3.91,4.39,4.23,22333277,19617,1138.43,0.09,False,3.67,4.23,4.1665,4.3569,1576,100.0,527.9367,1.03,NEUTRAL,GENESIS,GENESIS
ATPC,163.51,117.89,7.51,4.6,4.95,6.21,22667149,4248724,5.34,0.55,True,2.85,6.21,6.1168,6.3963,1073,99.95,441.2186,0.958,NEUTRAL,GENESIS,GENESIS
WGRX,108.23,25.95,6.58,3.13,3.21,3.98,7036551,140639,50.03,0.25,False,3.16,3.98,3.9203,4.0994,1675,100.0,380.1726,0.958,NEUTRAL,GENESIS,GENESIS
UMAC,51.78,28.25,28.58,22.0,22.0,24.15,3351763,81446,41.15,0.33,False,18.83,24.15,23.7877,24.8745,276,99.98,217.6905,1.078,STRONG,GENESIS,GENESIS
LNKS,45.65,5.8,2.01,1.43,1.9,1.46,2755945,9646,285.71,0.05,False,1.38,1.46,1.4381,1.5038,4566,100.0,170.6387,1.018,NEUTRAL,GENESIS,GENESIS
CRSR,29.23,27.29,12.69,11.06,12.14,12.5002,840859,65500,12.84,0.88,True,9.82,12.5002,12.3127,12.8752,533,99.94,146.2288,1.018,NEUTRAL,GENESIS,GENESIS
UAVS,31.13,13.96,1.39,1.125,1.14,1.208,6485028,66775,97.12,0.31,False,1.06,1.208,1.1899,1.2442,5518,99.99,143.7057,1.018,NEUTRAL,GENESIS,GENESIS
DLTR,14.53,14.32,109.8,95.87,95.87,109.5976,726724,5088,142.81,0.99,True,95.87,109.5976,107.9536,112.8855,60,98.64,132.5343,1.03,NEUTRAL,GENESIS,GENESIS
RCAT,18.46,15.93,12.64,11.52,12.25,12.37,3428440,479511,7.15,0.76,True,10.67,12.37,12.1844,12.7411,538,99.83,74.3452,1.078,STRONG,GENESIS,GENESIS
ZENA,18.88,12.24,1.7,1.53,1.59,1.605,1907194,157059,12.14,0.44,False,1.43,1.605,1.5809,1.6532,4153,99.98,66.986,1.078,STRONG,GENESIS,GENESIS
PDYN,10.64,9.18,8.32,7.69,7.69,8.21,348894,48316,7.22,0.83,True,7.52,8.21,8.0869,8.4563,812,100.0,45.2498,1.078,STRONG,GENESIS,GENESIS
ONDS,10.93,7.22,11.98,11.25,11.34,11.5798,10034645,1828786,5.49,0.45,False,10.8,11.5798,11.4061,11.9272,575,99.88,30.2944,1.078,STRONG,GENESIS,GENESIS
BATL,21.92,7.53,1.78,1.5,1.74,1.5699,1165545,476929,2.44,0.25,False,1.46,1.5699,1.5464,1.617,4246,99.99,26.4456,0.85,COLD,GENESIS,GENESIS
