ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
FOX,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,47.09,44.74,52.03,54.0,42,2.1,FAVORABLE,47.09,MARKET,5,CONVICTION,2026-06-22,2026-06-22T05:43:32.603671
SFM,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,80.25,76.24,88.75,90.57,24,2.12,FAVORABLE,80.25,MARKET,5,CONVICTION,2026-06-22,2026-06-22T05:44:03.901137
ROKU,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,138.0,131.1,144.9,,14,1.0,FAVORABLE,138.0,MARKET,5,CONVICTION,2026-06-22,2026-06-22T05:48:50.655845
ARXS,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,43.64,40.63,45.82,,33,0.73,FAVORABLE,43.64,MARKET,3,MINOR,2026-06-22,2026-06-22T05:50:38.204547
LEU,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,188.5,179.07,204.86,211.11,10,1.74,FAVORABLE,188.5,MARKET,5,CONVICTION,2026-06-22,2026-06-22T05:51:50.216601
IRON,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,70.79,67.51,76.24,,30,1.66,FAVORABLE,70.79,MARKET,5,MINOR,2026-06-22,2026-06-22T05:52:28.933296
SPCX,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,177.4,160.15,186.27,,5,0.51,FAVORABLE,177.4,MARKET,5,CONVICTION,2026-06-22,2026-06-22T05:53:55.159423
BHE,LONG,CONVICTION,99.6,BULL_BOUNCE_PENDING,92.17,89.48,96.78,,37,1.71,FAVORABLE,92.17,MARKET,5,MINOR,2026-06-22,2026-06-22T05:52:42.048209
CHKP,LONG,CONVICTION,99.4,BULL_BOUNCE_PENDING,122.33,114.36,138.01,140.62,12,1.97,FAVORABLE,122.33,MARKET,5,COMPRESSION,2026-06-22,2026-06-22T05:45:55.767122
QS,LONG,CONVICTION,99.2,BULL_BOUNCE_PENDING,8.06,7.65,9.03,9.0,248,2.42,FAVORABLE,8.0563,MARKET,5,MINOR,2026-06-22,2026-06-22T05:48:22.867527
CBOE,LONG,CONVICTION,98.1,BULL_BOUNCE_PENDING,250.25,233.13,282.85,,5,1.9,FAVORABLE,250.25,MARKET,5,COMPRESSION,2026-06-22,2026-06-22T05:44:57.968525
TOELF,LONG,CONVICTION,97.5,BULL_BOUNCE_PENDING,495.43,468.96,520.2,,3,0.94,FAVORABLE,495.432,MARKET,0,NONE,2026-06-22,2026-06-22T05:53:30.973154
XE,LONG,CONVICTION,96.5,BULL_BOUNCE_PENDING,21.46,20.39,23.82,24.18,93,2.2,FAVORABLE,21.46,MARKET,5,MINOR,2026-06-22,2026-06-22T05:47:17.357773
OKTA,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,117.6,111.72,135.06,134.0,17,2.97,FAVORABLE,117.6,MARKET,5,CONVICTION,2026-06-22,2026-06-22T05:49:55.393442
CSTL,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,21.12,20.06,24.01,,94,2.74,FAVORABLE,21.12,MARKET,4,CONVICTION,2026-06-22,2026-06-22T05:53:09.138038
MYRG,LONG,CONVICTION,95.9,BULL_BOUNCE_PENDING,461.1,444.85,484.16,,6,1.42,FAVORABLE,461.1,MARKET,5,VACUUM,2026-06-22,2026-06-22T05:53:16.209771
FTNT,LONG,CONVICTION,95.7,BULL_BOUNCE_PENDING,144.82,138.01,152.06,,14,1.06,FAVORABLE,144.82,MARKET,5,VACUUM,2026-06-22,2026-06-22T05:49:09.137285
ORCL,LONG,CONVICTION,95.5,BULL_BOUNCE_PENDING,181.75,169.79,201.26,,8,1.63,FAVORABLE,181.75,MARKET,5,CONVICTION,2026-06-22,2026-06-22T05:47:45.158913
BJRI,LONG,CONVICTION,95.4,BULL_BOUNCE_PENDING,54.55,52.14,57.28,,41,1.13,FAVORABLE,54.55,MARKET,4,MINOR,2026-06-22,2026-06-22T05:53:00.392980
NVT,LONG,CONVICTION,95.0,BULL_BOUNCE_PENDING,178.11,170.09,187.02,,12,1.11,FAVORABLE,178.11,MARKET,0,NONE,2026-06-22,2026-06-22T05:50:54.879212
SFTBY,LONG,CONVICTION,94.9,BULL_BOUNCE_PENDING,23.41,21.49,26.55,,52,1.63,FAVORABLE,23.41,MARKET,5,CONVICTION,2026-06-22,2026-06-22T05:49:59.786120
GLW,LONG,CONVICTION,94.7,BULL_BOUNCE_PENDING,199.06,189.11,209.01,,10,1.0,FAVORABLE,199.06,MARKET,5,MINOR,2026-06-22,2026-06-22T05:48:57.797079
RGTI,LONG,CONVICTION,94.4,BULL_BOUNCE_PENDING,20.91,19.86,22.5,23.81,95,1.52,FAVORABLE,20.91,MARKET,5,COMPRESSION,2026-06-22,2026-06-22T05:47:17.443299
QNC,LONG,CONVICTION,94.0,BULL_BOUNCE_PENDING,3.2,2.99,3.36,,474,0.76,FAVORABLE,3.199,MARKET,5,MINOR,2026-06-22,2026-06-22T05:48:34.194654
CIEN,LONG,CONVICTION,93.7,BULL_BOUNCE_PENDING,428.0,394.22,449.4,,2,0.63,FAVORABLE,428.0,MARKET,5,VACUUM,2026-06-22,2026-06-22T05:48:04.419783
WBI,LONG,CONVICTION,93.4,BULL_BOUNCE_PENDING,33.3,31.63,34.96,,60,1.0,FAVORABLE,33.3,MARKET,4,MINOR,2026-06-22,2026-06-22T05:49:27.485601
HNRG,LONG,CONVICTION,93.3,BULL_BOUNCE_PENDING,19.26,17.58,20.22,,59,0.57,FAVORABLE,19.2615,MARKET,1,MINOR,2026-06-22,2026-06-22T05:52:25.497240
TLN,LONG,CONVICTION,92.8,BULL_BOUNCE_PENDING,435.5,407.76,457.28,,3,0.78,FAVORABLE,435.5,MARKET,5,MINOR,2026-06-22,2026-06-22T05:51:56.760230
NHP,LONG,CONVICTION,92.0,BULL_BOUNCE_PENDING,14.37,13.42,15.09,,105,0.76,FAVORABLE,14.37,MARKET,1,MINOR,2026-06-22,2026-06-22T05:50:42.928233
ZD,LONG,CONVICTION,92.0,BULL_BOUNCE_PENDING,45.9,43.6,51.78,,43,2.56,FAVORABLE,45.9,MARKET,5,MINOR,2026-06-22,2026-06-22T05:52:23.857437
CIFR,LONG,CONVICTION,91.6,BULL_BOUNCE_PENDING,29.1,26.22,30.56,,34,0.5,FAVORABLE,29.1003,MARKET,5,MINOR,2026-06-22,2026-06-22T05:48:43.225940
MTZ,LONG,CONVICTION,91.1,BULL_BOUNCE_CONFIRMED,387.59,367.5,422.3,440.0,4,1.73,FAVORABLE,387.59,LIMIT,5,COMPRESSION,2026-06-22,2026-06-22T05:52:24.096524
RMIX,LONG,CONVICTION,91.0,BULL_BOUNCE_PENDING,24.84,23.13,26.08,,58,0.73,FAVORABLE,24.84,MARKET,0,NONE,2026-06-22,2026-06-22T05:51:06.841393
