ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
YYGH,Long,BOUNCE,T3-LONG_WATCH,71,1.47,1.39,1.63,,2.0,0.08,1.47,1.4,CLOSE,1,1,1m,1.45,1.44,OPEN_ROAD,EXCITED,9.97,32075,0.5,0.4,0,1,62.9,61,8,2.14,NANO,1.57,1.44,1.32,1.56,18.2,MID,MID,6,2,6,4.1,D,True,0.24109285714285714,0.33,N/A,
MBGL,Long,BOUNCE,T1-STRONG_LONG,100,20.46,19.2351,22.9098,20.555,2.0,1.2249,20.46,1.4,CLOSE,3,3,"1h,30m,4h",20.17,19.83,OPEN_ROAD,EXCITED,1.28,66391893,0.8,0.8,0,0,6.1,13,8,294.73,MEGA,0.01,20.555,20.38,20.73,1.7,DISCOUNT,DISCOUNT,100,2,89,3.2,C,False,0.749414285714285,1.63,N/A,
BTE,Long,BOUNCE,T3-LONG_WATCH,100,4.95,4.656,5.538,,2.0,0.294,4.95,1.2,CLOSE,2,2,"1d,4h",4.89,4.8,HIGHWAY,EXCITED,1.71,122904466,1.8,1.4,0,0,9.2,49,8,696.21,MEGA,0.04,5.065,5.07,5.06,-0.2,FLAT,FLAT,227,10,88,99.9,A,True,0.16380714285714287,1.79,N/A,
GPRO,Long,PULLBACK,T1-STRONG_LONG,100,1.279,1.225,1.49,,3.9,0.054,1.39,8.0,WAITING,3,3,"15m,30m,4h",1.279,1.275,HIGHWAY,EXCITED,2.85,0,2.7,4.9,1436963,4,213.7,41,8,137.65,HIGH,1.3,1.735,1.69,1.78,5.3,DISCOUNT,DISCOUNT,269,9,38,7.2,B,True,0.17828571428571433,0.3,N/A,
CNH,Long,PULLBACK,T3-LONG_WATCH,81,12.824,12.1929,14.0862,,2.0,0.6311,13.84,7.3,WAITING,2,2,"1h,4h",12.824,12.57,HIGHWAY,EXCITED,2.22,527968041,1.6,1.7,0,2,22.5,24,8,1233.31,MEGA,0.03,13.68,13.65,13.71,0.4,FLAT,FLAT,351,6,139,99.9,A,True,0.5700642857142856,1.11,N/A,
RF,Long,BOUNCE,T2-LONG,88,30.44,28.4113,34.4974,,2.0,2.0287,30.44,1.2,CLOSE,5,3,"1h,30m,4h",30.065,29.29,OPEN_ROAD,EXCITED,0.84,121257222,0.9,0.9,0,0,5.1,19,8,847.98,MEGA,0.01,29.9475,29.93,29.965,0.1,FLAT,FLAT,261,4,217,3.9,C,False,0.5930499999999989,3.42,N/A,
KEY,Long,BOUNCE,T1-STRONG_LONG,100,22.12,20.5737,25.2126,,2.0,1.5463,22.12,2.8,CLOSE,3,3,"1h,30m,4h",21.5,21.21,HIGHWAY,EXCITED,1.13,127288989,1.1,1.1,0,0,5.2,16,8,1062.6,MEGA,0.01,21.85,21.8,21.9,0.5,FLAT,FLAT,202,5,148,99.9,A,False,0.4315071428571426,3.58,N/A,
BMY,Long,BOUNCE,T1-STRONG_LONG,100,68.09,64.9124,74.4452,,2.0,3.1776,68.09,0.0,CLOSE,2,2,"1d,4h",68.08,66.92,HIGHWAY,EXCITED,0.99,349433003,0.8,0.8,0,0,3.5,38,8,2039.55,MEGA,0.0,67.87,67.66,68.08,0.6,PREMIUM,DISCOUNT,2176,11,899,99.9,A,False,1.4988357142857143,2.12,N/A,
COMP,Long,PULLBACK,T1-STRONG_LONG,100,10.415,10.0201,11.56,10.71,2.9,0.3949,11.06,5.8,APPROACH,3,3,"1d,1h,4h",10.415,10.33,HIGHWAY,EXCITED,1.26,65434588,1.5,1.4,0,0,11.1,50,8,736.03,MEGA,0.02,10.71,10.59,10.83,2.3,PREMIUM,DISCOUNT,572,8,176,4.5,B,True,0.5521142857142861,0.72,N/A,
FNB,Long,BOUNCE,T1-STRONG_LONG,100,18.47,17.3339,20.7422,,2.0,1.1361,18.47,0.5,CLOSE,10,7,"10m,15m,1d,1h,30m,4h,5m",18.38,17.87,OPEN_ROAD,EXCITED,1.02,84620732,1.4,1.2,0,0,4.7,23,8,346.67,MEGA,0.01,18.33,18.28,18.38,0.5,PREMIUM,DISCOUNT,262,2,104,3.5,C,True,0.3277857142857142,3.47,N/A,
CTSH,Long,BOUNCE,T1-STRONG_LONG,100,64.64,61.498,70.924,,2.0,3.142,64.64,0.2,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",64.51,63.4,HIGHWAY,EXCITED,0.99,752334790,0.6,0.7,0,0,4.3,42,8,449.16,MEGA,0.01,63.955,63.4,64.51,1.8,PREMIUM,MID,3449,11,1969,9.2,A,False,2.0535714285714284,1.53,N/A,
NVDA,Long,BOUNCE,T1-STRONG_LONG,100,228.45,217.6777,249.9946,,2.0,10.7723,228.45,1.1,CLOSE,3,3,"15m,1d,30m",226.02,224.41,HIGHWAY,EXCITED,2.33,30423751902,1.1,1.1,1711743,0,7.1,31,8,23127.32,MEGA,0.01,225.215,224.41,226.02,0.7,PREMIUM,MID,9066,6,1426,99.9,A,False,7.387128571428572,1.46,N/A,
FHB,Long,BOUNCE,T3-LONG_WATCH,70,26.0,24.5604,28.8792,,2.0,1.4396,26.0,1.6,CLOSE,2,2,"1h,4h",25.58,25.32,OPEN_ROAD,EXCITED,1.09,14303146,1.0,1.0,0,0,3.5,17,8,120.38,HIGH,0.01,25.77,25.75,25.79,0.2,FLAT,FLAT,73,3,66,5.8,C,False,0.4617857142857145,3.12,N/A,
WDAY,Long,BOUNCE,T1-STRONG_LONG,100,206.92,194.8439,236.4,,2.4,12.0761,206.92,0.9,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",204.99,200.87,HIGHWAY,EXCITED,2.67,1642867358,0.6,0.6,0,0,11.9,34,8,194.33,HIGH,0.02,202.93,200.87,204.99,2.1,PREMIUM,MID,10141,9,6165,14.2,A,False,8.57979285714286,1.41,N/A,
UBXG,Long,BOUNCE,T2-LONG,100,5.03,4.4621,8.7965,5.2,6.6,0.5679,5.03,3.0,CLOSE,1,1,4h,4.88,4.6014,HIGHWAY,EXCITED,1.32,9400005,0.2,0.6,0,1,195.8,9,3,0.59,NANO,0.46,5.2,5.04,5.36,6.3,DISCOUNT,DISCOUNT,40,2,1,74.9,C,True,,,N/A,
