ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
CSGP,Long,BOUNCE,T2-LONG,86,30.26,28.615,33.55,,2.0,1.645,30.26,0.9,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",29.975,29.5,HIGHWAY,EXCITED,2.21,168725977.0,1.1,1.4,0.0,1.0,12.5,28.0,8.0,402.82,MEGA,0.02,29.475,29.22,29.73,1.7,PREMIUM,PREMIUM,239,1,239,5.1,D,,,,False,1.590714285714285,1.03,N/A,
EXPO,Long,BOUNCE,T1-STRONG_LONG,100,57.35,54.1939,63.6622,,2.0,3.1561,57.35,0.7,CLOSE,8,6,"10m,15m,1h,30m,4h,5m",56.95,55.87,OPEN_ROAD,EXCITED,0.8,23289258.0,1.0,1.5,0.0,1.0,8.2,23.0,8.0,47.93,MED,0.01,56.425,55.87,56.98,2.0,PREMIUM,MID,1087,2,239,6.5,C,,,,False,2.211064285714286,1.43,N/A,
GETY,Long,BREAKOUT,T2-LONG,100,1.15,0.3819,2.6862,,2.0,0.7681,0.93,0.0,INSIDE,4,4,,,,OPEN_ROAD,EXCITED,85.01,,,,,,,,,,HIGH,0.12,1.14,1.15,1.13,-1.7,DISCOUNT,DISCOUNT,1,1,0,2.2,D,False,1.7,True,False,0.1489,5.16,N/A,
HLNE,Long,BOUNCE,T2-LONG,79,75.63,73.1574,80.5752,79.0,2.0,2.4726,75.63,0.0,CLOSE,1,1,1m,75.62,75.42,OPEN_ROAD,EXCITED,1.92,71440.0,0.8,0.9,0.0,0.0,17.5,37.0,8.0,41.17,MED,0.02,79.0,79.51,78.49,-1.3,DISCOUNT,DISCOUNT,20,1,0,2.1,D,,,,False,4.463914285714288,0.55,N/A,
HTFL,Long,BOUNCE,T1-STRONG_LONG,100,34.48,32.8248,37.7904,,2.0,1.6552,34.48,1.3,CLOSE,3,3,"10m,15m,4h",34.035,33.84,HIGHWAY,WAITING,0.66,4464712.0,1.1,1.3,0.0,0.0,9.6,35.0,8.0,66.26,HIGH,0.02,33.595,33.84,33.35,-1.4,PREMIUM,PREMIUM,1208,8,405,99.9,A,,,,False,1.9081500000000005,0.87,N/A,
LBRDK,Long,PULLBACK,T2-LONG,63,30.86,28.518,35.544,,2.0,2.342,30.86,3.3,APPROACH,3,3,"1d,1h,4h",29.84,29.4,OPEN_ROAD,EXCITED,1.16,98795815.0,0.8,0.9,0.0,0.0,17.3,28.0,8.0,130.74,HIGH,0.01,29.62,29.4,29.84,1.5,PREMIUM,MID,122,1,90,5.6,D,,,,False,1.6085714285714283,1.46,N/A,
OLED,Long,BREAKOUT,T2-LONG,60,86.6475,82.062,95.8185,90.52,2.0,4.5855,85.6,0.0,INSIDE,1,1,,,,OPEN_ROAD,EXCITED,0.8,,,,,,,,,,MED,0.01,90.52,91.21,89.83,-1.5,DISCOUNT,DISCOUNT,0,0,0,4.0,D,False,0.8,True,False,4.056778571428569,1.13,N/A,
PEGA,Long,BOUNCE,T3-LONG_WATCH,50,29.84,28.7508,32.0184,,2.0,1.0892,29.84,0.2,CLOSE,1,1,1d,29.78,29.64,HIGHWAY,EXCITED,1.75,51381947.0,1.7,1.6,0.0,0.0,16.1,37.0,8.0,88.81,HIGH,0.04,29.58,29.38,29.78,1.4,PREMIUM,PREMIUM,14,1,14,7.0,D,,,,False,1.5451214285714283,0.7,N/A,
PPC,Long,BOUNCE,T2-LONG,93,27.72,25.8311,31.4978,,2.0,1.8889,27.72,1.7,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",27.25,26.63,OPEN_ROAD,EXCITED,1.0,67735547.0,1.3,1.4,0.0,0.0,10.9,50.0,8.0,42.23,MED,0.05,26.94,26.63,27.25,2.3,PREMIUM,MID,272,1,77,3.4,D,,,,False,1.0898571428571435,1.73,N/A,
RHI,Long,BOUNCE,T2-LONG,78,29.33,28.2367,31.5166,29.37,2.0,1.0933,29.33,0.1,CLOSE,1,1,1h,29.31,29.11,OPEN_ROAD,EXCITED,0.92,5713434.0,1.2,1.5,0.0,1.0,15.0,23.0,8.0,90.29,HIGH,0.03,29.37,29.11,29.63,1.8,MID,DISCOUNT,446,3,314,2.8,C,,,,False,1.3974357142857146,0.78,N/A,
