ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,primitives_json,reasons,notes,timestamp
PUMP,BULL_BOUNCE_PENDING,LONG,89.2,16.06,15.64,17.13,18.16,237,2.54,FAVORABLE,4.64,16.39,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 10.2, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_hot"": 8.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $15.96 (15m 25tk MINOR gap) | only 2.6% below current — close pullback | OBV rising — accumulation underneath | hot volume 4.6x avg | breakout volume surge — real demand active | SPY FAVORABLE,LIMIT BUY @ $16.06 (2% pullback cap; anchor at $15.96 too far). Stop $15.64. Anchor: 15m 25tk.,2026-05-05T05:29:30
KOPN,BULL_BOUNCE_PENDING,LONG,69.0,4.49,4.36,4.78,4.85,749,2.17,FAVORABLE,1.98,4.5647,"{""structural_anchor_below"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $4.49 (5m 3tk MINOR gap) | only 1.6% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $4.49 on pullback (1.6% below current $4.56). Stop $4.36. Anchor: 5m 3tk.,2026-05-05T05:29:37
KOPN,BULL_BOUNCE_CONFIRMED,LONG,67.0,4.56,4.34,4.79,,449,1.03,FAVORABLE,1.98,4.5647,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""anchor_high_genesis_rank"": 1.0, ""multiple_touches"": 12.0, ""obv_rising"": 8.0, ""vol_normal+"": 4.0, ""regime_favorable"": 5.0, ""no_prior_staircase"": -3.0}",ASC channel detected on 5m (score 72) | recovered 2.6% from recent low $4.45 | bounce at 1m 9tk @ $4.44 (MINOR) | 4 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | no prior distinct rejection — stop below current anchor,"Channel: 5m ASC, rails $4.47-$4.55. Recent low $4.45 → now $4.56 (+2.6%)",2026-05-05T05:29:37
ASAN,BULL_BOUNCE,LONG,74.0,7.27,6.81,8.2,,216,2.01,FAVORABLE,1.52,7.27,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""multiple_touches"": 16.0, ""obv_rising"": 6.0, ""rel_vol_normal+"": 3.0, ""regime_favorable"": 5.0}",ASC channel detected on 5m (score 90) | price at lower rail ($7.29) | anchor: 5m 11tk @ $7.31 | 5 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE,"Channel: 5m ASC, rails $7.29-$7.37",2026-05-05T05:29:45
ASAN,BULL_BOUNCE_PENDING,LONG,69.0,7.24,7.1,7.9,8.2,722,4.77,FAVORABLE,1.52,7.27,"{""structural_anchor_below"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $7.24 (5m 8tk MINOR gap) | only 0.4% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $7.24 on pullback (0.4% below current $7.27). Stop $7.1. Anchor: 5m 8tk.,2026-05-05T05:29:45
NWL,BULL_BOUNCE_PENDING,LONG,83.0,4.45,4.06,4.67,,256,0.57,FAVORABLE,1.9,4.4938,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $4.45 (daily 38tk COMPRESSION gap) | only 1.0% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $4.45 on pullback (1.0% below current $4.49). Stop $4.06. Anchor: daily 38tk.,2026-05-05T05:29:47
SBET,BULL_BOUNCE_CONFIRMED,LONG,70.0,7.7,7.18,8.85,,190,2.19,FAVORABLE,1.27,7.7,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 16.0, ""vol_normal+"": 4.0, ""regime_favorable"": 5.0, ""rejection_staircase"": 5.0}",ASC channel detected on 15m (score 84) | recovered 2.3% from recent low $7.53 | bounce at 15m 11tk @ $7.62 (MINOR) | 5 prior bull-rail touches | SPY FAVORABLE | staircase: 1 prior distinct rejection(s) below — prev = 5m 8tk @ $7.25,"Channel: 15m ASC, rails $7.56-$7.72. Recent low $7.53 → now $7.70 (+2.3%)",2026-05-05T05:29:55
WDC,BULL_BOUNCE_CONFIRMED,LONG,70.0,453.0,436.81,475.65,,6,1.4,FAVORABLE,1.36,453.0,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""multiple_touches"": 16.0, ""obv_rising"": 8.0, ""vol_normal+"": 4.0, ""regime_favorable"": 5.0, ""no_prior_staircase"": -3.0}",ASC channel detected on 15m (score 90) | recovered 3.6% from recent low $437.11 | bounce at 5m 706tk @ $442.53 (VACUUM) | 6 prior bull-rail touches | OBV rising — accumulation underneath | SPY FAVORABLE | no prior distinct rejection — stop below current anchor,"Channel: 15m ASC, rails $439.00-$442.75. Recent low $437.11 → now $453.00 (+3.6%)",2026-05-05T05:29:59
WDC,BULL_BOUNCE_PENDING,LONG,65.0,452.92,445.71,475.57,,13,3.14,FAVORABLE,1.36,453.0,"{""structural_anchor_below"": 14.0, ""near_pullback"": 8.0, ""obv_rising"": 8.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $452.92 (5m 43tk MINOR gap) | only 0.0% below current — close pullback | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $452.92 on pullback (0.0% below current $453.00). Stop $445.71. Anchor: 5m 43tk.,2026-05-05T05:29:59
KVYO,BULL_BOUNCE_PENDING,LONG,84.1,22.08,19.99,23.18,,47,0.53,FAVORABLE,1.96,22.53,"{""structural_anchor_below"": 14.0, ""medium_anchor"": 6.0, ""high_genesis_rank"": 13.1, ""moderate_pullback"": 4.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""regime_favorable"": 5.0}",PENDING: wait for pullback to $21.00 (daily 92tk COMPRESSION gap) | OBV rising — accumulation underneath | SPY FAVORABLE,LIMIT BUY @ $22.08 (2% pullback cap; anchor at $21.00 too far). Stop $19.99. Anchor: daily 92tk.,2026-05-05T05:30:06
