ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
INTC,Long,PULLBACK,T2-LONG,50,97.06,92.1888,106.8024,103.4975,2.0,4.8712,102.62,5.4,APPROACH,1,1,1d,97.06,95.04,OPEN_ROAD,EXCITED,1.09,25609420300.0,0.7,0.9,1301241.0,0.0,19.3,58.0,8.0,4583.06,MEGA,0.02,103.4975,105.45,101.545,-3.7,DISCOUNT,DISCOUNT,6368,16,2434,3.3,C,,,,False,8.053564285714286,0.6,N/A,,0.5,0.5,1.0,0.0,1.0,0.5,1.1,HOSTILE,95.04,97.06,98.0306,35,20,17,4.13,2.0,1.5,3326.4,1941.2,1666.52,10:30,92.1888,106.8024,PULLBACK_LIMIT,,,,MID,LIMIT
CNH,Long,BOUNCE,T2-LONG,67,10.7,10.0395,12.021,,2.0,0.6605,10.7,1.3,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",10.565,10.35,OPEN_ROAD,EXCITED,1.05,96622573.0,0.8,0.8,0.0,0.0,6.7,22.0,8.0,1235.49,MEGA,0.01,10.4,10.35,10.45,1.0,PREMIUM,PREMIUM,268,1,96,4.0,D,,,,True,0.3634785714285714,1.82,N/A,,0.5,0.5,0.0,1.0,0.0,0.5,0.7,HOSTILE,10.35,10.7,10.807,322,151,130,5.38,2.0,1.58,3332.7,1615.7,1404.91,10:30,10.0395,12.021,PULLBACK_LIMIT,,,,MID,LIMIT
