ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
META,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,608.41,630.31,560.0,549.98,4,2.21,HOSTILE,596.78,LIMIT,20,CONVICTION,2026-07-28,2026-07-28T04:29:06.541632
ISRG,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,365.02,395.97,346.77,,3,0.59,HOSTILE,362.97,LIMIT,20,CONVICTION,2026-07-28,2026-07-28T04:26:05.447471
KR,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,59.18,62.13,52.38,,33,2.31,HOSTILE,58.02,LIMIT,20,COMPRESSION,2026-07-28,2026-07-28T04:26:55.343522
WDAY,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,149.71,163.73,126.98,,7,1.62,HOSTILE,149.14,LIMIT,20,CONVICTION,2026-07-28,2026-07-28T04:29:43.098663
SAIL,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,15.66,17.78,14.88,,47,0.37,HOSTILE,15.5,LIMIT,17,CONVICTION,2026-07-28,2026-07-28T04:29:59.200672
AMZN,SHORT,CONVICTION,96.0,BEAR_REJECTION_PENDING,236.26,246.07,205.59,209.79,10,3.13,HOSTILE,232.01,LIMIT,20,CONVICTION,2026-07-28,2026-07-28T04:27:28.042547
DIS,SHORT,CONVICTION,94.3,BEAR_REJECTION_PENDING,98.83,111.92,93.89,,7,0.38,HOSTILE,96.89,LIMIT,20,CONVICTION,2026-07-28,2026-07-28T04:25:23.170355
IBM,SHORT,CONVICTION,93.0,BEAR_REJECTION_PENDING,221.54,291.68,210.47,,1,0.16,HOSTILE,217.2,LIMIT,17,CONVICTION,2026-07-28,2026-07-28T04:26:06.156467
ADBE,SHORT,CONVICTION,93.0,BEAR_REJECTION_PENDING,242.97,246.22,206.66,230.39,30,11.19,HOSTILE,240.42,LIMIT,18,CONVICTION,2026-07-28,2026-07-28T04:27:32.898551
C,SHORT,CONVICTION,92.2,BEAR_REJECTION_PENDING,135.9,141.41,115.8,121.95,18,3.65,HOSTILE,133.24,LIMIT,18,CONVICTION,2026-07-28,2026-07-28T04:25:00.507331
BAX,SHORT,CONVICTION,91.0,BEAR_REJECTION_PENDING,23.75,28.19,22.57,,22,0.27,HOSTILE,23.44,LIMIT,5,COMPRESSION,2026-07-28,2026-07-28T04:23:59.975254
FANG,SHORT,CONVICTION,90.8,BEAR_REJECTION_PENDING,197.08,205.7,183.89,176.27,11,1.53,HOSTILE,196.9618,LIMIT,20,CONVICTION,2026-07-28,2026-07-28T04:31:06.298723
TECK,SHORT,CONVICTION,89.8,BEAR_REJECTION_PENDING,59.62,63.64,52.9,,24,1.67,HOSTILE,59.16,LIMIT,20,CONVICTION,2026-07-28,2026-07-28T04:26:25.855487
