ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff
QUBT,Long,PULLBACK,T1-STRONG_LONG,100,2.0,7.54,7.0713,8.4774,7.0,HIGH,199.54,0.1,2.7,1.0,23.4,2.2,C,110,,0.6639,0.343,0.815,0.824,0.88,7.29,7.54,7.6154,457,213,183,5.43,2.0,1.58,7.0713,8.4774,10:30
FCEL,Long,PULLBACK,T1-STRONG_LONG,96,2.0,7.3,6.6542,8.5916,3.2,HIGH,52.81,0.05,3.1,1.0,22.2,4.9,B,154,,0.6593,0.343,0.407,0.593,0.639,6.86,7.3,7.373,485,154,139,8.41,2.0,1.7,6.6542,8.5916,10:30
NNE,Long,BOUNCE,T1-STRONG_LONG,93,2.0,23.52,21.243,28.074,2.2,MED,40.04,0.05,1.3,0.0,23.1,6.5,B,715,,0.6426,0.343,0.222,0.463,0.639,21.9,23.52,23.7552,152,43,39,9.4,2.0,1.72,21.243,28.074,10:30
PGY,Long,BOUNCE,T1-STRONG_LONG,94,2.0,13.01,12.125,14.78,2.4,HIGH,62.71,0.04,1.3,0.0,18.0,10.5,A,194,,0.6407,0.343,0.241,0.556,0.537,12.5,13.01,13.1401,266,112,98,6.08,2.0,1.62,12.125,14.78,10:30
CRWV,Long,BOUNCE,T1-STRONG_LONG,86,2.0,117.2,106.9619,137.6762,2.0,MEGA,264.16,0.11,1.5,2.0,40.4,5.2,B,3764,,0.637,0.343,0.204,0.278,0.917,110.27,117.2,118.372,30,9,8,8.28,2.0,1.69,106.9619,137.6762,10:30
CVNA,Long,BOUNCE,T1-STRONG_LONG,100,2.0,374.21,348.9963,425.21,2.5,HIGH,139.99,0.02,1.6,0.0,21.4,13.6,A,968,,0.6213,0.343,0.278,0.824,0.287,359.79,374.21,377.9521,9,3,3,6.06,2.02,1.63,348.9963,425.21,10:30
CLS,Long,BOUNCE,T1-STRONG_LONG,100,2.0,384.35,354.4962,444.0576,2.5,HIGH,113.64,0.02,1.8,0.0,28.8,99.9,A,6957,,0.6213,0.343,0.278,0.824,0.287,365.46,384.35,388.1935,9,3,2,7.17,2.0,1.66,354.4962,444.0576,10:30
SBET,Long,BOUNCE,T1-STRONG_LONG,94,2.0,7.14,6.5087,8.4026,1.5,HIGH,196.74,0.04,1.5,0.0,19.3,7.4,B,279,,0.6046,0.343,0.12,0.556,0.537,6.71,7.14,7.2114,496,158,142,8.41,2.0,1.7,6.5087,8.4026,10:30
TVTX,Long,PULLBACK,T1-STRONG_LONG,100,2.0,42.13,26.15,74.09,4.5,HIGH,91.22,0.09,6.6,1.0,53.1,99.9,A,1834,,0.5889,0.343,0.546,0.824,0.852,30.85,42.13,42.5513,21,6,6,9.2,2.0,1.92,26.15,74.09,10:30
BTDR,Long,PULLBACK,T1-STRONG_LONG,100,2.0,11.97,10.9222,14.0656,3.0,HIGH,115.44,0.05,1.3,0.0,27.7,16.1,A,179,,0.5843,0.343,0.389,0.824,0.639,11.26,11.97,12.0897,296,95,85,8.31,2.0,1.69,10.9222,14.0656,10:30
AMKR,Long,BOUNCE,T1-STRONG_LONG,100,2.0,61.32,58.685,66.59,0.1,HIGH,133.95,0.01,1.1,0.0,22.5,99.9,A,1511,,0.5713,0.343,0.0,0.824,0.12,60.5,61.32,61.9332,55,37,30,3.36,2.0,1.43,58.685,66.59,10:30
IMSR,Long,BOUNCE,T1-STRONG_LONG,100,2.0,7.05,6.4117,8.3266,1.8,HIGH,56.66,0.03,1.5,0.0,22.7,3.7,C,54,,0.5574,0.343,0.157,0.824,0.426,6.61,7.05,7.1205,504,156,141,8.66,2.0,1.7,6.4117,8.3266,10:30
PLUG,Long,BOUNCE,T1-STRONG_LONG,100,2.0,2.94,2.7063,3.4074,1.5,MEGA,1330.45,0.06,1.3,0.0,16.2,15.0,A,67,,0.4852,0.343,0.12,0.824,0.731,2.79,2.94,2.9694,1194,427,380,7.38,2.0,1.66,2.7063,3.4074,10:30
WGRX,Long,BOUNCE,T2-LONG,100,2.0,0.1441,0.0724,0.2875,1.9,HIGH,51.11,0.84,4.6,2.0,66.0,11.0,D,0,,0.4546,0.343,0.185,0.824,0.981,0.1224,0.1441,0.1641,2000,1394,1090,3.3,2.0,1.35,0.0724,0.2875,10:30
GSAT,Long,BOUNCE,T1-STRONG_LONG,100,2.0,79.91,70.515,98.7,1.8,HIGH,51.45,0.15,7.0,1.0,12.6,99.9,A,5189,,0.45,0.343,0.157,0.824,0.963,73.16,79.91,80.7091,37,10,9,9.66,2.0,1.76,70.515,98.7,10:30
NBIS,Long,BOUNCE,T1-STRONG_LONG,100,2.0,161.94,149.9232,185.9736,0.5,MEGA,209.08,0.07,1.2,0.0,39.2,99.9,A,2130,,0.438,0.343,0.019,0.824,0.815,154.56,161.94,163.5594,21,8,7,6.77,2.0,1.64,149.9232,185.9736,10:30
OKLO,Long,BOUNCE,T1-STRONG_LONG,100,2.0,58.58,51.885,71.97,0.8,HIGH,123.73,0.1,2.1,1.0,30.0,12.8,A,1071,,0.4306,0.343,0.037,0.824,0.88,53.96,58.58,59.1658,48,14,13,8.68,2.0,1.76,51.885,71.97,10:30
