ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news,_sector_pct,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_pr_sec,_score,regime,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_L1_notional,_L2_notional,_L3_notional,_cutoff,_stop_px,_t1_px,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
SMR,Long,BOUNCE,T2-LONG,48,10.1,9.4317,11.4366,10.33,2.0,0.6683,10.1,2.8,CLOSE,1,1,4h,9.815,9.7234,OPEN_ROAD,EXCITED,1.16,88694340.0,0.3,0.7,1066408.0,0.0,20.8,24.0,8.0,339.32,MEGA,0.04,10.33,10.21,10.45,2.4,DISCOUNT,DISCOUNT,51,1,22,3.5,D,,,,True,1.0574285714285714,0.63,N/A,,0.5,0.5,0.633,0.0,0.8,0.5,1.03,HOSTILE,9.7234,10.1,10.201,342,149,129,5.87,2.0,1.61,3325.4,1504.9,1315.93,10:30,9.4317,11.4366,PULLBACK_LIMIT,,,,MID,LIMIT
TEX,Long,PULLBACK,T1-STRONG_LONG,100,69.17,64.8154,77.8792,70.74,2.0,4.3546,74.385,7.0,WAITING,5,4,"15m,1d,1h,4h",69.17,66.82,HIGHWAY,EXCITED,1.07,152530338.0,0.2,1.2,0.0,0.0,14.3,60.0,8.0,112.73,HIGH,0.0,70.74,70.1,71.38,1.8,PREMIUM,DISCOUNT,6113,11,3569,99.9,A,,,,False,3.375714285714286,1.29,N/A,,0.5,0.5,0.867,0.767,0.133,0.5,1.0033,HOSTILE,66.82,69.17,69.8617,49,22,19,5.52,2.0,1.59,3274.18,1521.74,1327.37,10:30,64.8154,77.8792,PULLBACK_LIMIT,,,,MID,LIMIT
TREX,Long,PULLBACK,T1-STRONG_LONG,100,46.12,43.9798,50.4004,49.145,2.0,2.1402,49.32,6.5,APPROACH,4,4,"10m,15m,1d,30m",46.12,45.34,HIGHWAY,EXCITED,3.56,104716540.0,0.1,0.8,0.0,0.0,11.1,51.0,8.0,103.24,HIGH,0.0,49.145,48.88,49.41,1.1,PREMIUM,DISCOUNT,2533,8,1664,99.9,A,,,,False,2.397128571428571,0.89,N/A,,0.5,0.5,0.8,0.767,0.133,0.5,0.9833,HOSTILE,45.34,46.12,46.5812,73,46,38,3.72,2.0,1.47,3309.82,2121.52,1770.09,10:30,43.9798,50.4004,PULLBACK_LIMIT,,,,MID,LIMIT
PPC,Long,BOUNCE,T2-LONG,74,27.02,25.8311,29.3978,27.485,2.0,1.1889,27.02,0.5,CLOSE,2,2,"1h,4h",26.89,26.63,OPEN_ROAD,EXCITED,0.72,10803283.0,0.2,0.8,0.0,1.0,7.2,49.0,8.0,42.23,MED,0.01,27.485,27.56,27.41,-0.5,DISCOUNT,DISCOUNT,52,1,52,6.1,D,,,,False,1.0078928571428578,1.18,N/A,,0.5,0.5,0.233,0.133,0.467,0.5,0.9367,HOSTILE,26.63,27.02,27.2902,125,84,68,3.46,2.0,1.44,3328.75,2269.68,1855.73,10:30,25.8311,29.3978,PULLBACK_LIMIT,,,,MID,LIMIT
MRVI,Long,PULLBACK,T1-STRONG_LONG,100,5.53,5.2089,6.1722,,2.0,0.3211,5.995,7.8,WAITING,6,6,"10m,15m,1d,1h,30m,4h",5.53,5.37,HIGHWAY,EXCITED,2.6,34581484.0,0.6,0.7,0.0,1.0,24.2,49.0,8.0,101.63,HIGH,0.02,5.765,5.76,5.77,0.2,FLAT,FLAT,336,13,210,99.9,A,,,,True,0.28316428571428576,1.13,N/A,,0.5,0.5,1.0,0.767,0.7,0.5,0.93,HOSTILE,5.37,5.53,5.5853,620,311,265,4.98,2.0,1.56,3329.4,1719.83,1480.1,10:30,5.2089,6.1722,PULLBACK_LIMIT,,,,MID,LIMIT
EFX,Long,BOUNCE,T2-LONG,91,155.92,147.9541,171.8518,,2.0,7.9659,155.92,0.4,CLOSE,3,3,"1h,1m,4h",155.23,152.53,OPEN_ROAD,EXCITED,1.48,161006258.0,0.1,0.7,0.0,1.0,6.9,15.0,8.0,118.56,HIGH,0.0,157.725,157.61,157.84,0.1,FLAT,FLAT,735,1,38,5.2,D,,,,False,6.395607142857143,1.25,N/A,,0.5,0.5,0.1,0.333,0.133,0.5,0.9033,HOSTILE,152.53,155.92,157.4792,21,12,10,4.22,2.0,1.51,3203.13,1871.04,1574.79,10:30,147.9541,171.8518,PULLBACK_LIMIT,,,,MID,LIMIT
IMMX,Long,PULLBACK,T1-STRONG_LONG,100,10.1,9.118,12.064,,2.0,0.982,10.1,3.3,APPROACH,2,2,"1h,4h",9.77,9.4,OPEN_ROAD,EXCITED,1.21,36079446.0,0.2,0.8,0.0,1.0,21.7,32.0,8.0,43.4,MED,0.01,10.0,10.04,9.96,-0.8,PREMIUM,DISCOUNT,296,11,128,99.9,A,,,,True,0.7346428571428572,1.34,N/A,,0.5,0.5,0.733,0.767,0.467,0.5,0.8967,HOSTILE,9.4,10.1,10.201,354,101,92,9.45,2.0,1.72,3327.6,1020.1,938.49,10:30,9.118,12.064,PULLBACK_LIMIT,,,,MID,LIMIT
BB,Long,PULLBACK,T1-STRONG_LONG,100,9.52,8.2017,12.1567,,2.0,1.3183,10.265,7.3,WAITING,6,6,"10m,15m,1d,1m,30m,5m",9.52,8.6411,HIGHWAY,EXCITED,10.37,4223646036.0,1.0,0.8,5462722.0,0.0,29.9,38.0,8.0,586.22,MEGA,0.07,9.17,8.62,9.72,12.8,PREMIUM,MID,1072,18,683,99.9,A,,,,True,0.8214214285714286,1.6,N/A,,0.5,0.5,0.933,0.767,0.867,0.5,0.8767,HOSTILE,8.6411,9.52,9.6152,227,75,70,8.0,2.0,1.8,1961.53,714.0,673.06,10:30,8.2017,12.1567,PULLBACK_LIMIT,,,,MID,LIMIT
PODD,Long,BOUNCE,T1-STRONG_LONG,98,153.44,144.4136,171.4928,,2.0,9.0264,153.44,0.4,CLOSE,5,4,"1h,1m,4h,5m",152.89,148.88,OPEN_ROAD,EXCITED,1.55,92817476.0,0.2,0.8,0.0,0.0,11.1,43.0,8.0,68.99,HIGH,0.0,148.53,148.88,148.18,-0.5,FLAT,FLAT,3712,2,3545,5.3,C,,,,False,6.4468285714285685,1.4,N/A,,0.5,0.5,0.1,0.467,0.133,0.5,0.8633,HOSTILE,148.88,153.44,154.9744,22,11,9,5.06,2.0,1.56,3275.36,1687.84,1394.77,10:30,144.4136,171.4928,PULLBACK_LIMIT,,,,MID,LIMIT
INTC,Long,BOUNCE,T1-STRONG_LONG,100,129.27,121.444,144.922,135.69,2.0,7.826,129.27,1.1,CLOSE,1,1,1d,127.9,125.2,HIGHWAY,EXCITED,1.83,63154770018.0,0.5,0.8,3439295.0,0.0,12.8,65.0,8.0,5016.55,MEGA,0.01,135.69,131.65,139.73,6.1,DISCOUNT,DISCOUNT,17499,26,4252,99.9,A,,,,False,11.387,0.69,N/A,,0.5,0.5,0.467,0.767,0.467,0.5,0.8167,HOSTILE,125.2,129.27,130.5627,26,12,10,5.25,2.0,1.57,3255.2,1551.24,1305.63,10:30,121.444,144.922,PULLBACK_LIMIT,,,,MID,LIMIT
WIX,Long,BOUNCE,T1-STRONG_LONG,100,43.12,40.4684,48.4232,,2.0,2.6516,43.12,0.6,CLOSE,5,3,"1h,1m,4h",42.88,41.72,OPEN_ROAD,EXCITED,1.31,8763795.0,0.2,0.6,0.0,0.0,8.3,46.0,8.0,29.48,MED,0.01,42.445,42.6,42.29,-0.7,PREMIUM,DISCOUNT,137,2,98,2.9,C,,,,False,2.8712142857142857,0.92,N/A,,0.5,0.5,0.333,0.767,0.467,0.5,0.7767,HOSTILE,41.72,43.12,43.5512,79,37,32,5.36,2.0,1.58,3295.88,1595.44,1393.64,10:30,40.4684,48.4232,PULLBACK_LIMIT,,,,MID,LIMIT
SRRK,Long,BOUNCE,T1-STRONG_LONG,100,53.38,47.22,65.7,,2.0,6.16,53.38,0.5,CLOSE,14,7,"10m,15m,1h,1m,30m,4h,5m",53.13,49.19,HIGHWAY,EXCITED,1.51,177678703.0,0.4,1.3,0.0,1.0,16.3,50.0,8.0,91.8,HIGH,0.01,52.3275,52.33,52.325,-0.0,FLAT,FLAT,3069,5,1332,99.9,A,,,,False,2.2182071428571426,2.78,N/A,,0.5,0.5,0.233,0.767,0.467,0.5,0.7467,HOSTILE,49.19,53.38,53.9138,50,16,14,8.38,2.0,1.76,2459.5,854.08,754.79,10:30,47.22,65.7,PULLBACK_LIMIT,,,,MID,LIMIT
SOFI,Long,BOUNCE,T2-LONG,95,17.43,16.6258,19.0384,,2.0,0.8042,17.43,0.2,CLOSE,2,2,"1d,1h",17.4,17.14,OPEN_ROAD,EXCITED,1.59,1239545881.0,0.3,0.9,1221303.0,0.0,10.2,17.0,8.0,1262.92,MEGA,0.02,17.355,17.31,17.4,0.5,PREMIUM,DISCOUNT,313,2,107,3.7,C,,,,True,1.0026071428571428,0.8,N/A,,0.5,0.5,0.0,0.4,0.7,0.5,0.74,HOSTILE,17.14,17.43,17.6043,194,124,102,3.69,2.0,1.47,3325.16,2161.32,1795.64,10:30,16.6258,19.0384,PULLBACK_LIMIT,,,,MID,LIMIT
