ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
NBIS,EARLY_STRUCTURAL_MATCH,92.8,89.0,89.0,TOO_EARLY_OR_LOOSE,161.5256,daily,log_regression,AT_LOWER,0.217,7,117.4,125.0,daily,22.61,95.5,nearest_support_gap_hi,154.65,True,True,4.26,4.45,85.64,85.64,6.5,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback | too_early_or_loose_for_trigger
IMNM,EARLY_STRUCTURAL_MATCH,97.1,79.0,79.0,TOO_EARLY_OR_LOOSE,23.61,daily,log_regression,AT_LOWER,0.256,23,18.74,19.02,weekly,19.44,99.22,nearest_support_gap_hi,22.6592,True,True,4.03,4.2,5.89,5.89,2.37,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 5.89% from recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger | overhead_gap_too_close
WAY,EARLY_STRUCTURAL_MATCH,100.0,74.0,74.0,TOO_EARLY_OR_LOOSE,24.45,1h,log_regression,MID,0.517,29,22.51,23.15,weekly,5.32,98.55,nearest_support_gap_hi,23.69,True,True,3.11,3.21,11.13,11.13,3.19,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 11.13% from recent high | room back to recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
