ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
MASK,Long,T2-LONG,100,BOUNCE,2.42,2.035,3.19,2.48,2.78,2.1,2508585,2.48,WINNING,0.16,False,2026-05-07_1401,2026-05-07_0550
INTC,Long,T3-LONG_WATCH,61,BOUNCE,113.01,104.9055,129.219,109.62,114.51,109.15,119710955,-3.0,LOSING,-0.42,False,2026-05-07_1401,2026-05-07_0550
IOVA,Long,T3-LONG_WATCH,44,BOUNCE,4.09,3.8606,4.585,3.55,4.075,3.46,40865544,-13.2,STOPPED,-1.0,False,2026-05-07_1401,2026-05-07_0550
FNMA,Long,T2-LONG,49,BOUNCE,8.25,7.7794,9.1912,8.0,8.39,7.97,3565456,-3.03,LOSING,-0.53,False,2026-05-07_1401,2026-05-07_0550
FMCC,Long,T2-LONG,58,PULLBACK,6.69,6.4505,7.4,7.14,7.58,7.1,3436439,6.73,NO_FILL,0.0,False,2026-05-07_1401,2026-05-07_0550
SABR,Long,T1-STRONG_LONG,92,BOUNCE,1.83,1.7073,2.0754,2.07,2.215,1.92,18671670,13.11,NO_FILL,0.0,False,2026-05-07_1401,2026-05-07_0550
TVTX,Long,T1-STRONG_LONG,90,PULLBACK,42.52,40.8564,45.8472,42.66,45.968,42.1755,10616025,0.33,TARGET_HIT,2.0,False,2026-05-07_1401,2026-05-07_0550
ESTA,Long,T2-LONG,99,PULLBACK,69.9,66.4838,76.7324,72.03,74.0,70.945,552827,3.05,NO_FILL,0.0,False,2026-05-07_1401,2026-05-07_0550
ASBP,Long,T2-LONG,87,BOUNCE,0.186,0.135,0.288,0.155,0.235,0.1218,160211390,-16.67,STOPPED,-1.0,False,2026-05-07_1401,2026-05-07_0550
HGV,Long,T1-STRONG_LONG,100,PULLBACK,45.79,43.9895,49.391,48.62,48.84,48.2,700894,6.18,NO_FILL,0.0,False,2026-05-07_1401,2026-05-07_0550
PLUG,Long,T1-STRONG_LONG,85,PULLBACK,3.31,3.0361,3.8578,3.13,3.28,3.06,77658037,-5.44,LOSING,-0.66,False,2026-05-07_1401,2026-05-07_0550
WSC,Long,T1-STRONG_LONG,100,PULLBACK,23.4,21.2236,27.7528,23.3,23.66,22.885,2781064,-0.43,LOSING,-0.05,False,2026-05-07_1401,2026-05-07_0550
