ticker,last,prev_high,prev_low,prev_close,pdh_state,pdl_state,opening_range_ready,opening_range_high,opening_range_low,opening_range_position,opening_range_state,day_range_position,first_pullback_after_high,first_rally_after_low,last_hour_close_strength,last_hour_volume_bias,long_score,long_class,short_score,short_class
ABEO,6.98,7.345,6.97,7.29,REJECTED_PDH,RECLAIMED_PDL,True,7.36,7.195,0.0,BELOW_ORL,0.263,False,True,0.263,2.01,30,AVOID_LONG,82,FIRST_RALLY_SHORT_ZONE
ABSI,8.12,10.37,9.69,9.76,BELOW_PDH,BELOW_PDL,True,9.61,8.825,0.0,BELOW_ORL,0.013,False,False,0.013,2.08,18,AVOID_LONG,84,AVOID_SHORT_CHASE
ACRS,5.37,5.69,5.31,5.6,BELOW_PDH,RECLAIMED_PDL,True,5.64,5.46,0.0,BELOW_ORL,0.27,False,True,0.27,1.65,42,AVOID_LONG,70,FIRST_RALLY_SHORT_ZONE
AHMA,1.7491,1.8471,1.7607,1.79,BELOW_PDH,BELOW_PDL,True,1.81,1.71,0.391,OR_MIDDLE,0.391,False,False,,,38,NEUTRAL,62,CONTINUATION_SHORT
ALHC,20.03,21.155,20.29,20.93,REJECTED_PDH,BELOW_PDL,True,21.54,20.415,0.0,BELOW_ORL,0.032,False,False,0.032,3.86,6,AVOID_LONG,96,AVOID_SHORT_CHASE
AMKR,62.2354,72.4,64.33,67.64,BELOW_PDH,BELOW_PDL,True,66.5,63.56,0.0,BELOW_ORL,0.008,False,False,0.008,1.88,18,AVOID_LONG,84,AVOID_SHORT_CHASE
AMPG,6.45,7.648,6.4,6.61,BELOW_PDH,RECLAIMED_PDL,True,6.62,6.27,0.514,OR_MIDDLE,0.541,False,False,0.541,0.82,62,NEUTRAL,42,AVOID_SHORT
ASTS,54.1837,70.38,64.59,66.31,BELOW_PDH,BELOW_PDL,True,61.5,57.0,0.0,BELOW_ORL,0.104,False,True,0.104,1.07,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
AUPH,16.0,16.12,15.58,16.1,REJECTED_PDH,ABOVE_PDL,True,16.135,15.75,0.649,OR_MIDDLE,0.649,False,False,0.649,2.92,38,AVOID_LONG,62,NEUTRAL
BAND,69.99,77.57,70.59,70.97,BELOW_PDH,BELOW_PDL,True,71.215,66.65,0.732,OR_TOP_THIRD,0.732,False,False,0.732,1.83,38,NEUTRAL,68,CONTINUATION_SHORT
BDC,101.21,105.69,99.55,101.53,BELOW_PDH,ABOVE_PDL,True,102.27,99.61,0.602,OR_MIDDLE,0.602,False,False,0.602,2.89,50,NEUTRAL,50,NEUTRAL
BIYA,4.6,3.6799,3.1,3.32,ABOVE_PDH,RECLAIMED_PDL,True,3.43,3.3,1.0,ABOVE_ORH,1.0,False,False,1.0,1.73,96,AVOID_LONG_CHASE,18,AVOID_SHORT
CAL,12.38,12.01,11.285,11.72,ABOVE_PDH,ABOVE_PDL,True,12.35,11.81,1.0,ABOVE_ORH,0.891,True,False,0.891,2.44,100,PULLBACK_BUY_ZONE,18,AVOID_SHORT
CC,17.0041,19.2199,18.09,18.51,BELOW_PDH,BELOW_PDL,True,18.6254,18.11,0.0,BELOW_ORL,0.0,False,False,0.0,3.72,18,AVOID_LONG,84,AVOID_SHORT_CHASE
CCTG,0.7651,0.8899,0.83,0.8462,BELOW_PDH,BELOW_PDL,True,0.83,0.7501,0.188,OR_BOTTOM_THIRD,0.188,False,False,0.188,0.86,46,NEUTRAL,62,CONTINUATION_SHORT
CMPS,12.3705,13.4189,12.67,13.31,REJECTED_PDH,BELOW_PDL,True,14.5999,12.82,0.0,BELOW_ORL,0.049,False,True,0.049,0.82,6,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
CNH,10.64,10.63,10.36,10.57,ABOVE_PDH,ABOVE_PDL,True,10.755,10.51,0.531,OR_MIDDLE,0.517,True,False,0.517,2.83,80,PULLBACK_BUY_ZONE,34,NEUTRAL
CNM,45.78,45.24,44.32,44.66,ABOVE_PDH,RECLAIMED_PDL,True,45.945,44.254,0.902,OR_TOP_THIRD,0.794,True,False,0.794,3.11,100,PULLBACK_BUY_ZONE,24,AVOID_SHORT
COMP,12.32,12.745,11.995,12.65,REJECTED_PDH,ABOVE_PDL,True,12.78,12.505,0.0,BELOW_ORL,0.406,False,False,0.406,3.0,26,AVOID_LONG,72,CONTINUATION_SHORT
CORT,89.72,90.45,86.14,89.57,REJECTED_PDH,ABOVE_PDL,True,91.8,88.855,0.294,OR_BOTTOM_THIRD,0.229,False,False,0.229,2.54,38,AVOID_LONG,74,NEUTRAL
CRE,3.22,3.5203,3.12,3.41,BELOW_PDH,ABOVE_PDL,True,3.4,3.28,0.0,BELOW_ORL,0.31,False,False,,,38,AVOID_LONG,60,CONTINUATION_SHORT
CRSR,9.3,9.83,9.1,9.48,BELOW_PDH,RECLAIMED_PDL,True,9.46,9.24,0.273,OR_BOTTOM_THIRD,0.417,False,False,0.417,1.67,70,RELOAD_ZONE,42,AVOID_SHORT
CRVO,3.05,3.21,2.88,3.07,BELOW_PDH,ABOVE_PDL,True,3.2,3.0247,0.144,OR_BOTTOM_THIRD,0.25,False,False,0.25,1.12,50,RELOAD_ZONE,62,NEUTRAL
CTM,0.6173,0.669,0.628,0.6345,BELOW_PDH,BELOW_PDL,True,0.64,0.6224,0.0,BELOW_ORL,0.092,False,False,0.092,0.44,26,AVOID_LONG,72,AVOID_SHORT_CHASE
CTSH,44.35,43.9,42.9,43.18,ABOVE_PDH,RECLAIMED_PDL,True,44.335,42.71,1.0,ABOVE_ORH,0.794,True,False,0.794,2.4,100,PULLBACK_BUY_ZONE,10,AVOID_SHORT
CTSO,0.3601,0.401,0.3889,0.3889,BELOW_PDH,BELOW_PDL,True,0.3899,0.38,0.0,BELOW_ORL,0.003,False,False,,,26,AVOID_LONG,72,AVOID_SHORT_CHASE
DDOG,261.2,276.7,261.225,264.46,BELOW_PDH,BELOW_PDL,True,266.91,254.54,0.538,OR_MIDDLE,0.538,False,False,0.538,2.21,38,NEUTRAL,62,CONTINUATION_SHORT
DOCN,118.5,129.99,112.32,119.65,BELOW_PDH,ABOVE_PDL,True,121.8,114.17,0.567,OR_MIDDLE,0.419,False,False,0.419,2.4,50,NEUTRAL,50,NEUTRAL
DOX,52.91,53.41,51.44,51.56,BELOW_PDH,RECLAIMED_PDL,True,52.36,51.07,1.0,ABOVE_ORH,0.803,False,False,0.803,3.98,84,CONTINUATION_LONG,26,AVOID_SHORT
DXST,3.18,2.155,2.0,2.08,ABOVE_PDH,ABOVE_PDL,True,2.98,2.49,1.0,ABOVE_ORH,0.993,False,False,0.993,0.98,72,AVOID_LONG_CHASE,34,AVOID_SHORT
DYN,22.75,24.005,23.2,23.99,BELOW_PDH,BELOW_PDL,True,23.84,22.84,0.0,BELOW_ORL,0.574,False,False,0.574,1.83,26,AVOID_LONG,72,CONTINUATION_SHORT
EDHL,4.41,3.625,3.49,3.53,ABOVE_PDH,ABOVE_PDL,True,4.3099,3.52,1.0,ABOVE_ORH,0.398,False,False,0.398,0.4,72,CONTINUATION_LONG,34,AVOID_SHORT
ESAB,91.81,88.37,86.27,87.17,ABOVE_PDH,ABOVE_PDL,True,90.99,86.43,1.0,ABOVE_ORH,0.947,False,False,0.947,2.81,84,AVOID_LONG_CHASE,26,AVOID_SHORT
ETOR,37.314,39.218,38.01,38.53,BELOW_PDH,BELOW_PDL,True,38.25,37.5,0.0,BELOW_ORL,0.0,False,False,0.0,2.48,18,AVOID_LONG,84,AVOID_SHORT_CHASE
F,14.1699,14.375,13.97,14.18,BELOW_PDH,ABOVE_PDL,True,14.265,14.0,0.641,OR_MIDDLE,0.641,False,False,0.641,1.14,50,NEUTRAL,50,NEUTRAL
FCEL,17.29,22.63,19.0,20.25,BELOW_PDH,BELOW_PDL,True,19.68,18.22,0.0,BELOW_ORL,0.146,False,True,0.146,1.41,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
FIGR,30.0,31.3,29.04,30.93,REJECTED_PDH,ABOVE_PDL,True,30.6,29.6,0.4,OR_MIDDLE,0.217,False,False,0.217,1.82,30,AVOID_LONG,74,NEUTRAL
FN,460.16,495.305,470.145,486.65,BELOW_PDH,BELOW_PDL,True,480.67,464.58,0.0,BELOW_ORL,0.132,False,True,0.132,2.91,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
FROG,85.9,93.915,88.7,91.28,BELOW_PDH,BELOW_PDL,True,91.98,86.25,0.0,BELOW_ORL,0.01,False,False,0.01,2.79,18,AVOID_LONG,84,AVOID_SHORT_CHASE
FTHM,0.9202,0.98,0.921,0.9634,BELOW_PDH,BELOW_PDL,True,0.9601,0.9484,0.0,BELOW_ORL,0.146,False,True,,,18,AVOID_LONG,90,FIRST_RALLY_SHORT_ZONE
GDHG,1.42,1.56,1.34,1.34,BELOW_PDH,RECLAIMED_PDL,True,1.43,1.3101,0.917,OR_TOP_THIRD,0.786,False,False,,,62,NEUTRAL,48,AVOID_SHORT
GH,154.1,164.98,160.69,162.96,BELOW_PDH,BELOW_PDL,True,164.85,159.7,0.0,BELOW_ORL,0.0,False,False,0.0,3.36,18,AVOID_LONG,84,AVOID_SHORT_CHASE
GLUE,22.8,23.755,22.562,23.41,BELOW_PDH,ABOVE_PDL,True,23.505,22.72,0.102,OR_BOTTOM_THIRD,0.157,False,False,0.157,1.19,50,RELOAD_ZONE,62,AVOID_SHORT_CHASE
GNIS,0.0019,0.0027,0.0017,0.002,BELOW_PDH,ABOVE_PDL,True,0.002,0.0019,0.0,BELOW_ORL,0.5,False,False,,,38,AVOID_LONG,60,CONTINUATION_SHORT
HITI,2.1308,2.21,2.15,2.17,BELOW_PDH,BELOW_PDL,True,2.175,2.105,0.369,OR_MIDDLE,0.369,False,False,0.369,0.58,38,NEUTRAL,62,CONTINUATION_SHORT
HL,14.5299,15.705,14.8,15.46,BELOW_PDH,BELOW_PDL,True,15.05,14.8301,0.0,BELOW_ORL,0.224,False,True,0.224,1.53,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
HUBC,1.16,1.27,1.175,1.27,BELOW_PDH,BELOW_PDL,True,1.25,1.19,0.0,BELOW_ORL,0.217,False,True,0.217,1.34,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
INHD,,,,,BELOW_PDH,ABOVE_PDL,False,,,,OPENING_RANGE_PENDING,,False,False,,,50,NEUTRAL,50,NEUTRAL
INTC,95.18,109.61,99.2,102.99,BELOW_PDH,BELOW_PDL,True,101.88,98.28,0.0,BELOW_ORL,0.0,False,False,0.0,1.64,18,AVOID_LONG,84,AVOID_SHORT_CHASE
IOVA,4.67,4.8,3.76,4.74,REJECTED_PDH,ABOVE_PDL,True,5.13,4.602,0.129,OR_BOTTOM_THIRD,0.129,False,False,0.129,1.23,38,AVOID_LONG,74,AVOID_SHORT_CHASE
IP,37.38,37.555,36.635,36.74,REJECTED_PDH,ABOVE_PDL,True,37.765,36.72,0.632,OR_MIDDLE,0.55,True,False,0.55,3.02,56,PULLBACK_BUY_ZONE,54,NEUTRAL
IT,142.89,138.54,133.61,133.76,ABOVE_PDH,ABOVE_PDL,True,138.19,135.21,1.0,ABOVE_ORH,0.997,False,False,0.997,1.92,84,AVOID_LONG_CHASE,26,AVOID_SHORT
IVDA,0.2553,0.2979,0.275,0.2909,BELOW_PDH,BELOW_PDL,True,0.29,0.2689,0.0,BELOW_ORL,0.062,False,True,0.062,0.62,18,AVOID_LONG,90,FIRST_RALLY_SHORT_ZONE
JRSH,4.6512,4.67,4.44,4.49,REJECTED_PDH,ABOVE_PDL,True,4.6325,4.51,1.0,ABOVE_ORH,0.523,True,False,0.523,3.09,66,PULLBACK_BUY_ZONE,46,AVOID_SHORT
KEEL,3.88,4.6,4.17,4.35,BELOW_PDH,BELOW_PDL,True,4.21,4.0,0.0,BELOW_ORL,0.083,False,True,0.083,1.08,10,AVOID_LONG,100,FIRST_RALLY_SHORT_ZONE
KURA,10.89,11.365,11.0,11.33,BELOW_PDH,BELOW_PDL,True,11.245,10.9,0.0,BELOW_ORL,0.26,False,True,0.26,1.92,18,AVOID_LONG,90,FIRST_RALLY_SHORT_ZONE
