ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,scan_date,asof
POET,LONG,CONVICTION,76.7,BULL_BOUNCE_PENDING,14.93,14.15,16.92,,129,2.58,FAVORABLE,15.1201,LIMIT,2026-05-22,2026-05-22T07:00:34.781782
NOK,LONG,CONVICTION,76.1,BULL_BOUNCE_PENDING,14.81,14.11,15.55,,142,1.05,FAVORABLE,15.115,LIMIT,2026-05-22,2026-05-22T06:59:54.230965
SHAZ,LONG,CONVICTION,76.1,BULL_BOUNCE_PENDING,64.78,62.86,68.01,,52,1.69,FAVORABLE,64.81,LIMIT,2026-05-22,2026-05-22T07:16:24.660285
SY,LONG,CONVICTION,75.8,BULL_BOUNCE_PENDING,2.22,2.11,2.42,2.55,904,1.81,FAVORABLE,2.255,LIMIT,2026-05-22,2026-05-22T07:23:42.505369
HCWB,LONG,CONVICTION,75.7,BULL_BOUNCE_PENDING,3.41,2.57,3.58,,119,0.2,FAVORABLE,3.475,LIMIT,2026-05-22,2026-05-22T06:59:16.627227
MARA,SHORT,CONVICTION,75.5,DOUBLE_REJECTION_SHORT,13.68,13.87,12.63,11.82,518,5.39,FAVORABLE,13.675,LIMIT,2026-05-22,2026-05-22T07:01:27.469223
CMPS,LONG,CONVICTION,75.3,BULL_BOUNCE_PENDING,12.17,11.53,12.78,,156,0.95,FAVORABLE,11.95,STOP,2026-05-22,2026-05-22T07:10:01.163032
QUCY,LONG,CONVICTION,75.2,BULL_BOUNCE_PENDING,3.72,3.44,4.15,,360,1.55,FAVORABLE,3.625,STOP,2026-05-22,2026-05-22T07:22:15.288959
BLDP,SHORT,CONVICTION,75.0,DOUBLE_REJECTION_SHORT,5.49,5.58,5.11,4.78,1097,4.12,FAVORABLE,5.485,LIMIT,2026-05-22,2026-05-22T07:05:48.319645
HAE,LONG,CONVICTION,74.0,CHANNEL_GAP_BREAKOUT_LONG,65.19,63.36,71.02,73.73,54,3.18,FAVORABLE,65.19,LIMIT,2026-05-22,2026-05-22T07:14:33.853350
SWMR,SHORT,CONVICTION,74.0,DOUBLE_REJECTION_SHORT,37.9,38.35,36.16,33.25,219,3.83,FAVORABLE,37.9,LIMIT,2026-05-22,2026-05-22T07:16:00.146896
SAFX,SHORT,CONVICTION,74.0,DOUBLE_REJECTION_SHORT,0.48,0.48,0.46,0.42,23559,3.06,FAVORABLE,0.476,LIMIT,2026-05-22,2026-05-22T07:20:19.459647
RGTI,LONG,CONVICTION,73.5,BULL_BOUNCE_PENDING,24.79,21.93,26.03,,34,0.43,FAVORABLE,25.3,LIMIT,2026-05-22,2026-05-22T06:59:46.127813
SIDU,LONG,CONVICTION,72.7,BULL_BOUNCE_PENDING,4.32,3.99,4.86,,305,1.65,FAVORABLE,4.405,LIMIT,2026-05-22,2026-05-22T07:20:44.035925
OUST,LONG,CONVICTION,72.3,CHANNEL_GAP_BREAKOUT_LONG,36.63,35.3,38.46,,75,1.38,FAVORABLE,36.63,LIMIT,2026-05-22,2026-05-22T07:21:32.421510
VCIG,LONG,CONVICTION,72.0,BULL_BOUNCE_PENDING,0.96,0.85,1.01,,929,0.45,FAVORABLE,0.853,STOP,2026-05-22,2026-05-22T07:21:24.826445
ABVX,LONG,CONVICTION,71.7,BULL_BOUNCE_PENDING,118.93,113.16,133.05,133.05,17,2.45,FAVORABLE,121.36,LIMIT,2026-05-22,2026-05-22T07:13:38.462964
CYRX,LONG,CONVICTION,71.7,BULL_BOUNCE_PENDING,14.29,13.08,15.0,,82,0.59,FAVORABLE,14.03,STOP,2026-05-22,2026-05-22T07:14:40.708615
MXL,LONG,CONVICTION,70.8,BULL_BOUNCE_PENDING,97.95,93.28,105.0,,21,1.51,FAVORABLE,94.53,STOP,2026-05-22,2026-05-22T07:22:49.421307
ARQQ,LONG,CONVICTION,70.5,BULL_BOUNCE_PENDING,17.35,16.95,20.02,18.31,249,6.64,FAVORABLE,17.4999,LIMIT,2026-05-22,2026-05-22T07:13:12.585418
