ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AIR,149.02,BASING,0.0,0,15,15,152.09,150.13,197,45m,0.74,15 bear-built-above · rel-vol 1.0x · regime CHOP,False,15,149.02,146.7847,152.09,44,2.06,1.37,False
AKAM,115.36,BASING,0.0,0,19,19,122.97,121.49,149,daily,5.31,42 bear-built-above · rel-vol 0.9x · regime CHOP,False,19,115.36,113.6296,122.97,57,6.6,4.4,False
ALAB,305.28,BASING,0.0,0,13,13,338.32,337.6,72,30m,10.59,9 bear-built-above · rel-vol 1.1x · regime CHOP,False,13,305.28,300.7008,338.32,21,10.82,7.22,False
ALB,132.3,BASING,0.0,0,18,18,141.05,137.16,390,daily,3.67,48 bear-built-above · rel-vol 0.6x · regime CHOP,False,18,132.3,130.3155,141.05,50,6.61,4.41,False
ALC,72.0,BASING,0.0,0,17,17,88.85,82.32,654,daily,14.33,42 bear-built-above · rel-vol 0.7x · regime CHOP,False,17,72.0,70.92,88.85,92,23.4,15.6,False
ALHC,13.05,BASING,0.0,0,20,20,14.85,14.55,30,weekly,11.49,24 bear-built-above · rel-vol 0.6x · regime CHOP,False,20,13.05,12.8543,14.85,510,13.79,9.2,False
ALM,15.55,BASING,0.0,0,20,20,16.2,15.78,42,daily,1.48,30 bear-built-above · rel-vol 0.9x · regime CHOP,False,20,15.55,15.3168,16.2,428,4.18,2.79,False
ALMR,32.93,BASING,0.0,0,11,11,33.28,33.1,18,45m,0.52,9 bear-built-above · rel-vol 1.2x · regime CHOP,False,11,32.93,32.4361,33.28,202,1.06,0.71,False
ALOY,13.31,BASING,0.0,0,20,20,13.855,13.5,36,daily,1.43,25 bear-built-above · rel-vol 0.5x · regime CHOP,False,22,13.31,13.1104,13.855,500,4.09,2.73,False
ALTO,4.1779,BASING,0.0,0,20,20,4.39,4.3,9,weekly,2.92,18 bear-built-above · rel-vol 0.7x · regime CHOP,False,20,4.1779,4.1152,4.39,1595,5.08,3.38,False
AMAT,517.0,BASING,0.0,0,18,18,602.5,582.01,2050,weekly,12.57,29 bear-built-above · rel-vol 1.1x · regime CHOP,False,18,517.0,509.245,602.5,12,16.54,11.03,False
AMBP,5.08,BASING,0.0,0,20,20,5.28,5.23,5,daily,2.95,29 bear-built-above · rel-vol 0.7x · regime CHOP,False,23,5.08,5.0038,5.28,1312,3.94,2.62,False
AMC,2.35,BASING,0.0,0,20,20,2.59,2.56,3,weekly,8.94,25 bear-built-above · rel-vol 0.5x · regime CHOP,False,22,2.35,2.3148,2.59,2836,10.21,6.81,False
AMCX,11.94,BASING,0.0,0,20,20,12.36,12.2,17,1h,2.18,29 bear-built-above · rel-vol 0.4x · regime CHOP,False,20,11.94,11.7609,12.36,558,3.52,2.35,False
AMD,485.0,BASING,0.0,0,20,20,506.0,487.56,1844,daily,0.53,30 bear-built-above · rel-vol 0.8x · regime CHOP,False,22,485.0,477.725,506.0,13,4.33,2.89,False
AMDL,52.42,BASING,0.0,0,18,18,56.97,52.72,425,daily,0.57,19 bear-built-above · rel-vol 0.7x · regime CHOP,False,18,52.42,51.6337,56.97,127,8.68,5.79,False
AMKR,55.39,BASING,0.0,0,18,18,59.78,57.485,230,daily,3.78,22 bear-built-above · rel-vol 0.9x · regime CHOP,False,18,55.39,54.5592,59.78,120,7.93,5.28,False
AMLX,35.41,BASING,0.0,0,6,6,35.75,35.5618,19,30m,0.43,6 bear-built-above · rel-vol 7.8x · regime CHOP,False,6,35.41,34.8788,35.75,188,0.96,0.64,False
AMN,34.45,BASING,0.0,0,15,15,40.92,36.25,468,daily,5.22,14 bear-built-above · rel-vol 0.5x · regime CHOP,False,15,34.45,33.9333,40.92,193,18.78,12.52,False
AMPG,3.56,BASING,0.0,0,17,17,3.7,3.578,13,daily,0.51,27 bear-built-above · rel-vol 1.0x · regime CHOP,False,17,3.56,3.5066,3.7,1872,3.93,2.62,False
AMRX,18.19,BASING,0.0,0,20,20,19.14,19.01,13,30m,4.51,15 bear-built-above · rel-vol 1.1x · regime CHOP,False,20,18.19,17.9171,19.14,366,5.22,3.48,False
AMZN,260.36,BASING,0.0,0,18,18,274.48,274.01,48,weekly,5.24,34 bear-built-above · rel-vol 0.7x · regime CHOP,False,20,260.36,256.4546,274.48,25,5.42,3.62,False
ANET,193.91,BASING,0.0,0,18,18,201.16,196.0,516,daily,1.08,24 bear-built-above · rel-vol 1.1x · regime CHOP,False,20,193.91,191.0014,201.16,34,3.74,2.49,False
ANF,104.0,BASING,0.0,0,20,20,123.75,104.13,1963,weekly,0.12,54 bear-built-above · rel-vol 1.2x · regime CHOP,False,21,104.0,102.44,123.75,64,18.99,12.66,False
ANNX,5.18,BASING,0.0,0,15,15,5.29,5.28,1,weekly,1.93,7 bear-built-above · rel-vol 0.9x · regime CHOP,False,15,5.18,5.1023,5.29,1287,2.12,1.42,False
APA,42.38,BASING,0.0,0,2,2,42.98,42.96,2,1h,1.37,rel-vol 1.0x · regime CHOP,False,3,42.38,41.7443,42.98,157,1.42,0.94,False
APLD,28.67,BASING,0.0,0,17,17,31.18,29.985,120,daily,4.59,27 bear-built-above · rel-vol 0.9x · regime CHOP,False,18,28.67,28.24,31.18,232,8.75,5.84,False
APLE,16.07,BASING,0.0,0,14,14,16.3,16.2487,6,1h,1.11,11 bear-built-above · rel-vol 0.7x · regime CHOP,False,14,16.07,15.829,16.3,414,1.43,0.95,False
APO,134.0,BASING,0.0,0,20,20,145.82,143.88,194,weekly,7.37,32 bear-built-above · rel-vol 0.8x · regime CHOP,False,22,134.0,131.99,145.82,49,8.82,5.88,False
APP,307.45,BASING,0.0,0,20,20,417.8,338.45,7936,daily,10.08,36 bear-built-above · rel-vol 0.7x · regime CHOP,False,20,307.45,302.8382,417.8,21,35.89,23.93,False
APPF,203.95,BASING,0.0,0,13,13,230.37,228.75,163,weekly,12.16,10 bear-built-above · rel-vol 0.6x · regime CHOP,True,16,203.95,200.8907,230.37,32,12.95,8.64,False
APPN,35.713,BASING,0.0,0,12,12,38.07,37.94,14,daily,6.24,8 bear-built-above · rel-vol 0.7x · regime CHOP,False,13,35.713,35.1773,38.07,186,6.6,4.4,False
APTV,48.75,BASING,0.0,0,20,20,57.0,50.45,655,daily,3.49,19 bear-built-above · rel-vol 0.7x · regime CHOP,False,20,48.75,48.0187,57.0,136,16.92,11.28,False
AR,36.77,BASING,0.0,0,20,20,40.66,39.17,149,daily,6.53,18 bear-built-above · rel-vol 0.7x · regime CHOP,False,21,36.77,36.2185,40.66,181,10.58,7.05,False
ARCB,138.81,BASING,0.0,0,20,20,154.3,154.06,25,weekly,10.99,64 bear-built-above · rel-vol 0.5x · regime CHOP,False,20,138.81,136.7278,154.3,48,11.16,7.44,False
ARDT,10.93,BASING,0.0,0,20,20,11.55,11.385,17,daily,4.16,34 bear-built-above · rel-vol 0.6x · regime CHOP,False,21,10.93,10.766,11.55,609,5.67,3.78,False
ARE,45.84,BASING,0.0,0,18,18,49.74,49.12,63,weekly,7.16,46 bear-built-above · rel-vol 1.2x · regime CHOP,False,18,45.84,45.1524,49.74,145,8.51,5.67,False
AREC,2.68,BASING,0.0,0,19,19,3.1,3.02,9,daily,12.69,21 bear-built-above · rel-vol 0.9x · regime CHOP,False,19,2.68,2.6398,3.1,2487,15.67,10.45,False
ARES,140.31,BASING,0.0,0,20,20,155.89,154.59,130,weekly,10.18,39 bear-built-above · rel-vol 0.6x · regime CHOP,False,22,140.31,138.2054,155.89,47,11.1,7.4,False
ARGX,973.4544,BASING,0.0,0,18,18,997.19,996.09,111,1h,2.33,18 bear-built-above · rel-vol 1.1x · regime CHOP,True,23,973.4544,958.8526,997.19,6,2.44,1.63,False
ARI,6.94,BASING,0.0,0,10,10,10.54,7.02,352,daily,1.15,3 bear-built-above · rel-vol 1.2x · regime CHOP,False,10,6.94,6.8359,10.54,960,51.87,34.58,False
ARIS,17.57,BASING,0.0,0,20,20,19.72,18.76,96,daily,6.77,20 bear-built-above · rel-vol 0.7x · regime CHOP,False,21,17.57,17.3065,19.72,379,12.24,8.16,False
ARKG,43.08,BASING,0.0,0,20,20,44.32,44.14,18,daily,2.46,22 bear-built-above · rel-vol 0.8x · regime CHOP,False,20,43.08,42.4338,44.32,154,2.88,1.92,False
ARQT,26.576,BASING,0.0,0,20,20,26.86,26.67,19,weekly,0.35,rel-vol 1.3x · regime CHOP,False,21,26.576,26.1774,26.86,250,1.07,0.71,False
ARRY,4.82,BASING,0.0,0,15,15,4.98,4.91,8,daily,1.87,29 bear-built-above · rel-vol 0.8x · regime CHOP,False,15,4.82,4.7477,4.98,1383,3.32,2.21,False
ARTW,3.0301,BASING,0.0,0,11,11,3.3966,3.39,1,10m,11.88,9 bear-built-above · rel-vol 0.0x · regime CHOP,False,11,3.0301,2.9846,3.3966,2200,12.1,8.06,False
ASAN,9.2,BASING,0.0,0,11,11,9.91,9.71,20,daily,5.54,9 bear-built-above · rel-vol 0.7x · regime CHOP,False,15,9.2,9.062,9.91,724,7.72,5.14,False
ASH,73.63,BASING,0.0,0,20,20,87.38,80.7,668,daily,9.6,32 bear-built-above · rel-vol 0.6x · regime CHOP,False,21,73.63,72.5255,87.38,90,18.67,12.45,False
ASM,6.8,BASING,0.0,0,20,20,7.66,7.28,38,daily,7.06,21 bear-built-above · rel-vol 1.1x · regime CHOP,False,23,6.8,6.698,7.66,980,12.65,8.43,False
ASPN,5.58,BASING,0.0,0,20,20,5.85,5.8,5,weekly,3.94,41 bear-built-above · rel-vol 0.5x · regime CHOP,False,20,5.58,5.4963,5.85,1194,4.84,3.23,False
ASST,13.0,BASING,0.0,0,11,11,14.81,14.2,62,daily,9.23,2 bear-built-above · rel-vol 1.4x · regime CHOP,True,11,13.0,12.805,14.81,512,13.92,9.28,False
ASTL,4.08,BASING,0.0,0,13,13,4.16,4.1,7,daily,0.49,6 bear-built-above · rel-vol 2.0x · regime CHOP,False,13,4.08,4.0188,4.16,1633,1.96,1.31,False
ASTS,66.5,BASING,0.0,0,18,18,70.62,67.625,300,daily,1.69,30 bear-built-above · rel-vol 0.8x · regime CHOP,False,18,66.5,65.5025,70.62,100,6.2,4.13,False
ASTX,13.25,BASING,0.0,0,20,20,15.2,14.96,24,weekly,12.91,41 bear-built-above · rel-vol 0.8x · regime CHOP,False,20,13.25,13.0512,15.2,503,14.72,9.81,False
ATAI,7.29,BASING,0,0,0,0,,,,,0,rel-vol 1.2x · regime CHOP,True,0,7.29,7.1806,8.019,914,10.0,6.67,False
