ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
MASK,Long,BOUNCE,T2-LONG,100,2.42,2.035,3.19,,2.0,0.385,2.42,2.9,CLOSE,2,2,"1h,4h",2.35,2.14,OPEN_ROAD,EXCITED,74706478,2.8,6.4,1011331,3,119.2,58,8,0.43,NANO,23.27,2.345,2.09,2.6,24.4,MID,DISCOUNT,361,10,52,2.1,C,True,0.25312142857142855,1.52,N/A,
INTC,Long,BOUNCE,T3-LONG_WATCH,61,113.01,104.9055,129.219,,2.0,8.1045,113.01,1.8,CLOSE,1,1,1d,110.975,108.15,HIGHWAY,EXCITED,55971913789,1.1,1.1,2716615,0,24.0,57,8,5016.85,MEGA,0.03,109.5625,108.15,110.975,2.6,PREMIUM,MID,10264,23,7210,99.9,A,False,6.5460642857142854,1.24,N/A,
IOVA,Long,BOUNCE,T3-LONG_WATCH,44,4.09,3.8606,4.585,,2.2,0.2294,4.09,2.4,CLOSE,1,1,1d,3.99,3.98,HIGHWAY,EXCITED,18350287,1.1,1.2,2848733,0,25.8,25,8,353.45,MEGA,0.05,3.985,3.98,3.99,0.3,FLAT,FLAT,197,8,55,12.1,B,True,0.21785714285714294,1.05,N/A,
FNMA,Long,BOUNCE,T2-LONG,49,8.25,7.7794,9.1912,,2.0,0.4706,8.25,2.5,CLOSE,1,1,5m,8.04,8.02,OPEN_ROAD,EXCITED,180738,1.0,1.2,0,0,17.3,20,8,233.7,MEGA,0.02,8.085,8.06,8.11,0.6,PREMIUM,DISCOUNT,275,7,242,3.4,C,True,0.5689285714285715,0.83,N/A,
FMCC,Long,PULLBACK,T2-LONG,58,6.69,6.4505,7.4,7.125,3.0,0.2395,7.42,9.8,WAITING,1,1,1d,6.69,6.65,HIGHWAY,EXCITED,16681860,1.3,1.4,0,0,21.3,24,8,650.07,MEGA,0.01,7.125,7.1,7.15,0.7,PREMIUM,DISCOUNT,297,5,247,3.4,C,True,0.5363928571428573,0.45,N/A,
SABR,Long,BOUNCE,T1-STRONG_LONG,92,1.83,1.7073,2.0754,,2.0,0.1227,1.83,2.5,CLOSE,3,3,"15m,1m,4h",1.785,1.7601,OPEN_ROAD,EXCITED,0,1.5,1.1,2742522,0,10.3,31,8,280.77,MEGA,0.02,1.79,1.76,1.82,3.4,PREMIUM,DISCOUNT,91,11,39,2.7,C,True,0.12030714285714283,1.02,N/A,
WEAV,Long,PULLBACK,T3-LONG_WATCH,57,6.01,5.5775,6.875,,2.0,0.4325,6.01,3.2,APPROACH,2,2,"1h,4h",5.82,5.75,OPEN_ROAD,EXCITED,9397576,1.3,1.4,0,1,34.5,24,8,68.92,HIGH,0.03,6.095,6.11,6.08,-0.5,FLAT,FLAT,126,6,74,3.5,C,True,0.3632071428571428,1.19,N/A,
ESTA,Long,PULLBACK,T2-LONG,99,69.9,66.4838,76.7324,,2.0,3.4162,74.54,6.2,APPROACH,3,3,"10m,30m,5m",69.9,68.54,HIGHWAY,EXCITED,7937602,3.9,2.2,0,1,21.1,38,8,19.28,MED,0.11,67.705,70.99,64.42,-9.3,PREMIUM,PREMIUM,3146,8,1390,2.6,C,False,4.152678571428571,0.82,N/A,
ASBP,Long,BOUNCE,T2-LONG,87,0.186,0.135,0.288,0.195,2.0,0.051,0.186,0.2,CLOSE,1,1,5m,0.1856,0.185,OPEN_ROAD,EXCITED,0,0.1,0.1,91049284,0,29.2,69,8,4.39,NANO,0.93,0.195,0.2,0.19,-5.0,DISCOUNT,DISCOUNT,0,1,0,2.2,D,False,0.045271428571428574,1.13,N/A,
HGV,Long,PULLBACK,T1-STRONG_LONG,100,45.79,43.9895,49.391,47.24,2.0,1.8005,48.61,5.8,APPROACH,4,3,"1h,30m,4h",45.79,45.35,HIGHWAY,EXCITED,3400634,1.2,1.0,0,1,9.5,37,8,43.03,MED,0.02,47.24,46.48,48.0,3.3,PREMIUM,DISCOUNT,2390,6,1230,99.9,A,False,2.183928571428571,0.82,N/A,
PLUG,Long,PULLBACK,T1-STRONG_LONG,85,3.31,3.0361,3.8578,,2.0,0.2739,3.31,4.5,APPROACH,4,4,"1d,1h,30m,4h",3.16,3.13,HIGHWAY,EXCITED,276012571,0.8,0.8,1141107,0,12.5,39,8,1330.52,MEGA,0.04,3.325,3.32,3.33,0.3,FLAT,FLAT,174,15,61,99.9,B,True,0.24464285714285716,1.12,N/A,
WSC,Long,PULLBACK,T1-STRONG_LONG,100,23.4,21.2236,27.7528,,2.0,2.1764,23.4,4.6,APPROACH,3,3,"1h,30m,4h",22.33,21.88,OPEN_ROAD,EXCITED,38318781,1.1,0.9,0,0,8.4,45,8,175.45,HIGH,0.02,22.965,22.84,23.09,1.1,PREMIUM,DISCOUNT,1151,9,703,13.8,A,False,1.0325000000000002,2.11,N/A,
