ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
RMAX,Long,T1-STRONG_LONG,100,PULLBACK,7.27,7.0034,8.57,10.01,10.3,9.52,0.0,37.69,NO_FILL,0.0,False,2026-04-27_1540,2026-04-27_0509
OGN,Long,T1-STRONG_LONG,100,PULLBACK,10.55,7.64,16.37,13.17,13.24,13.15,0.0,24.83,NO_FILL,0.0,False,2026-04-27_1540,2026-04-27_0509
ELPW,Long,T3-LONG_WATCH,91,PULLBACK,3.62,3.3853,4.0894,4.26,4.89,3.91,0.0,17.68,NO_FILL,0.0,False,2026-04-27_1540,2026-04-27_0509
QCOM,Long,T1-STRONG_LONG,100,BOUNCE,148.85,128.37,189.81,150.6,161.0,147.05,289745870.0,1.18,WINNING,0.09,False,2026-04-27_1540,2026-04-27_0509
NOK,Long,T1-STRONG_LONG,100,BOUNCE,10.46,9.5739,12.2322,10.87,11.29,10.69,1345444880.0,3.92,NO_FILL,0.0,False,2026-04-27_1540,2026-04-27_0509
SMX,Long,T2-LONG,78,PULLBACK,2.08,1.9206,2.3988,1.64,2.209,1.55,727599302.0,-21.15,STOPPED,-1.0,False,2026-04-27_1540,2026-04-27_0509
INTC,Long,T1-STRONG_LONG,100,BOUNCE,82.54,59.25,129.12,84.79,87.1,82.61,0.0,2.73,NO_FILL,0.0,False,2026-04-27_1540,2026-04-27_0509
ALP,Long,T3-LONG_WATCH,60,PULLBACK,0.2045,0.1539,0.3057,0.227,0.2327,0.2033,0.0,11.0,WINNING,0.44,False,2026-04-27_1540,2026-04-27_0509
LIDR,Long,T1-STRONG_LONG,100,BREAKOUT,2.19,1.4553,3.6594,2.15,2.28,2.12,247649063.0,-1.83,LOSING,-0.05,False,2026-04-27_1540,2026-04-27_0509
ENVB,Long,T3-LONG_WATCH,94,BOUNCE,5.04,4.5881,5.9438,5.09,6.5,4.72,0.0,0.99,TARGET_HIT,2.0,False,2026-04-27_1540,2026-04-27_0509
SMCI,Long,T1-STRONG_LONG,86,PULLBACK,27.5,25.9475,33.22,28.05,29.49,27.46,0.0,2.0,WINNING,0.35,False,2026-04-27_1540,2026-04-27_0509
ATOM,Long,T3-LONG_WATCH,84,BOUNCE,8.6,8.1674,9.4652,7.77,8.9464,7.38,0.0,-9.65,STOPPED,-1.0,False,2026-04-27_1540,2026-04-27_0509
CLSK,Long,T1-STRONG_LONG,82,BOUNCE,12.76,11.8631,14.5538,12.29,12.7,11.97,0.0,-3.68,LOSING,-0.52,False,2026-04-27_1540,2026-04-27_0509
TTD,Long,T1-STRONG_LONG,100,PULLBACK,23.97,21.9705,27.969,23.17,23.91,22.86,1126592996.0,-3.34,LOSING,-0.4,False,2026-04-27_1540,2026-04-27_0509
ARM,Long,T1-STRONG_LONG,100,PULLBACK,219.25,197.68,262.39,214.06,227.3,210.0,1012379121.0,-2.37,LOSING,-0.24,False,2026-04-27_1540,2026-04-27_0509
INDI,Long,T1-STRONG_LONG,100,BOUNCE,3.66,3.3319,4.3161,4.11,4.22,3.75,1448691466.0,12.3,NO_FILL,0.0,False,2026-04-27_1540,2026-04-27_0509
CMPS,Long,T1-STRONG_LONG,100,PULLBACK,8.63,5.84,14.21,9.16,9.88,8.85,714508407.0,6.14,NO_FILL,0.0,False,2026-04-27_1540,2026-04-27_0509
SST,Long,T2-LONG,89,BREAKOUT,3.9,3.7151,4.2698,3.9601,4.35,3.6601,0.0,1.54,STOPPED,-1.0,False,2026-04-27_1540,2026-04-27_0509
WOLF,Long,T1-STRONG_LONG,100,PULLBACK,29.1,26.7138,33.8724,29.7,32.4,28.4,584931057.0,2.06,WINNING,0.25,False,2026-04-27_1540,2026-04-27_0509
KOPN,Long,T1-STRONG_LONG,95,BOUNCE,3.7,3.4435,4.213,3.67,3.95,3.56,881455552.0,-0.81,LOSING,-0.12,False,2026-04-27_1540,2026-04-27_0509
