ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
YYGH,Long,BOUNCE,T3-LONG_WATCH,75,1.47,1.39,1.63,,2.0,0.08,1.47,1.4,CLOSE,1,1,1m,1.45,1.44,OPEN_ROAD,EXCITED,9.97,32075,0.5,0.4,0,1,62.9,61,8,2.14,NANO,1.57,1.44,1.32,1.56,18.2,MID,MID,6,2,6,4.1,D,True,0.24109285714285714,0.33,N/A,
BTE,Long,BOUNCE,T1-STRONG_LONG,100,5.07,4.5978,6.0144,,2.0,0.4722,5.07,1.9,CLOSE,8,4,"1d,1h,30m,4h",4.975,4.74,HIGHWAY,EXCITED,1.42,266503975,1.2,1.2,0,0,9.5,51,8,696.21,MEGA,0.02,4.975,5.0,4.95,-1.0,PREMIUM,DISCOUNT,238,10,99,99.9,A,True,0.15809285714285717,2.99,N/A,
BAX,Long,BOUNCE,T1-STRONG_LONG,100,25.7,24.7156,27.6688,,2.0,0.9844,25.7,0.3,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",25.611,25.48,OPEN_ROAD,EXCITED,0.93,24628461,0.8,0.8,0,0,5.5,45,8,514.51,MEGA,0.01,25.515,25.48,25.55,0.3,FLAT,FLAT,903,10,477,4.5,B,False,0.6914285714285714,1.42,N/A,
TFC,Long,BOUNCE,T1-STRONG_LONG,99,50.81,47.9568,56.5164,,2.0,2.8532,50.81,0.8,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",50.39,49.44,HIGHWAY,EXCITED,1.22,466716945,1.1,1.2,0,0,4.7,13,8,1218.36,MEGA,0.01,49.665,49.44,49.89,0.9,PREMIUM,PREMIUM,619,3,533,99.9,B,False,0.9892071428571428,2.88,N/A,
TSCO,Long,BOUNCE,T3-LONG_WATCH,76,34.86,33.6687,37.945,,2.6,1.1913,34.86,0.2,CLOSE,1,1,4h,34.785,34.71,HIGHWAY,EXCITED,1.09,13147469,0.8,0.8,0,0,3.6,15,8,519.41,MEGA,0.02,34.665,34.71,34.62,-0.3,FLAT,FLAT,375,5,106,8.8,A,False,0.9227285714285703,1.29,N/A,
KEY,Long,BOUNCE,T1-STRONG_LONG,97,21.8,20.5737,24.2526,,2.0,1.2263,21.8,1.4,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",21.5,21.21,HIGHWAY,EXCITED,0.81,131874077,1.1,1.2,0,0,5.2,10,8,1062.6,MEGA,0.01,21.275,21.21,21.34,0.6,PREMIUM,PREMIUM,142,4,138,99.9,B,False,0.4315071428571426,2.84,N/A,
USB,Long,BOUNCE,T1-STRONG_LONG,100,62.77,59.3737,69.5626,,2.0,3.3963,62.77,1.3,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",61.96,61.21,OPEN_ROAD,EXCITED,1.31,192618715,1.2,1.3,0,0,3.9,23,8,1553.33,MEGA,0.0,61.445,61.21,61.68,0.8,PREMIUM,PREMIUM,1028,4,337,3.0,C,False,1.1412785714285703,2.98,N/A,
GTM,Long,PULLBACK,T2-LONG,51,3.84,3.6957,4.1286,4.09,2.0,0.1443,4.09,6.1,APPROACH,1,1,1d,3.84,3.81,HIGHWAY,EXCITED,0.86,18163714,0.6,0.8,0,0,12.8,36,8,229.39,MEGA,0.02,4.09,4.12,4.06,-1.5,MID,DISCOUNT,172,6,89,3.9,C,True,0.21506428571428565,0.67,N/A,
FHB,Long,BOUNCE,T3-LONG_WATCH,65,25.75,24.5604,28.1292,,2.0,1.1896,25.75,0.7,CLOSE,2,2,"1h,4h",25.58,25.32,OPEN_ROAD,EXCITED,1.09,14303146,0.9,1.0,0,0,3.3,17,8,120.38,HIGH,0.01,25.275,25.25,25.3,0.2,FLAT,FLAT,73,3,66,6.8,C,False,0.4667857142857143,2.55,N/A,
UBXG,Long,BOUNCE,T2-LONG,100,5.03,4.4621,8.7965,5.2,6.6,0.5679,5.03,3.0,CLOSE,1,1,4h,4.88,4.6014,HIGHWAY,EXCITED,1.32,9400005,0.2,0.6,0,1,195.8,9,3,0.59,NANO,0.46,5.2,5.04,5.36,6.3,DISCOUNT,DISCOUNT,40,2,1,74.9,C,True,,,N/A,
