ticker,setup,side,score,entry,stop,target,secondary_target,shares,rr,spy_regime,rel_vol,current_price,ath_status,pct_from_52w_high,high_52w,float_rotation,float_rotation_label,obv_macro_state,exhaustion_warning,primitives_json,reasons,notes,timestamp
NTSK,BULL_BOUNCE,LONG,77.6,14.35,13.39,16.24,,104,1.98,FAVORABLE,2.51,14.35,DEEP_BELOW,-0.4873,27.99,0.0317,3.2% (normal),RISING,False,"{""ascending_channel"": 18.0, ""at_lower_rail"": 14.0, ""anchor_eligible"": 12.0, ""anchor_high_genesis_rank"": 9.6, ""multiple_touches"": 16.0, ""rel_vol_normal+"": 3.0, ""regime_favorable"": 5.0}",ASC channel detected on 1h (score 84) | price at lower rail ($14.36) | anchor: daily 41tk @ $14.14 | 5 prior bull-rail touches | SPY FAVORABLE,"Channel: 1h ASC, rails $14.36-$15.45",2026-09-04T05:49:14
NTSK,BULL_BOUNCE_PENDING,LONG,75.4,15.66,14.23,16.44,,69,0.55,FAVORABLE,2.51,14.35,DEEP_BELOW,-0.4873,27.99,0.0317,3.2% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 14.4, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""float_rot_quiet"": -2.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0, ""breakout_follow_promotion"": 0.0}","BUY-STOP: tape already cleared the $14.14 anchor - enter on strength above today's high, no pullback | only 0.1% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | breakout volume surge — real demand active | SPY FAVORABLE | BREAKOUT_FOLLOW: open $15.51 cleared anchor $14.14, 2/4 strength, regime FAVORABLE — buy-stop $15.66, 1.5xATR stop","BUY-STOP @ $15.66 (above today's high $15.64). Stop $14.23 (1.5xATR). Score 75, strength=2/4, regime=FAVORABLE. BREAKOUT_FOLLOW.",2026-09-04T05:49:14
NTSK,BULL_BOUNCE_CONFIRMED,LONG,71.6,14.35,13.87,15.25,16.24,208,1.88,FAVORABLE,2.51,14.35,DEEP_BELOW,-0.4873,27.99,0.0317,3.2% (normal),RISING,False,"{""ascending_channel"": 14.0, ""confirmed_recovery"": 12.0, ""current_anchor_eligible"": 14.0, ""anchor_high_genesis_rank"": 9.6, ""multiple_touches"": 16.0, ""vol_normal+"": 4.0, ""regime_favorable"": 5.0, ""no_prior_staircase"": -3.0}",ASC channel detected on 1h (score 84) | recovered 2.7% from recent low $13.97 | bounce at daily 41tk @ $14.14 (COMPRESSION) | 5 prior bull-rail touches | SPY FAVORABLE | no prior distinct rejection — stop below current anchor,"Channel: 1h ASC, rails $14.36-$15.45. Recent low $13.97 → now $14.35 (+2.7%)",2026-09-04T05:49:14
AMC,BULL_BOUNCE_PENDING,LONG,66.9,2.77,2.46,2.91,,320,0.44,FAVORABLE,1.41,2.8287,BELOW,-0.1105,3.18,0.0275,2.7% (normal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 7.9, ""far_pullback"": 4.0, ""obv_rising"": 8.0, ""float_rot_quiet"": -2.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $2.50 (daily 3tk MINOR gap body) | 10.9% below — far pullback, patience required but edge is real (52% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $2.77 (2% pullback cap; anchor at $2.50 too far). Stop $2.46. Anchor: daily 3tk.,2026-09-04T05:49:13
SPRY,BULL_BOUNCE_PENDING,LONG,64.0,5.56,5.26,6.3,6.3,338,2.52,FAVORABLE,0.62,5.67,DEEP_BELOW,-0.5688,13.15,0.0109,1.1% (normal),FALLING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 8.0, ""moderate_pullback"": 8.0, ""obv_falling_pending"": -2.0, ""float_rot_quiet"": -2.0, ""sector_top_quartile"": 3.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $5.38 (1h 6tk MINOR gap body) | 4.8% below — moderate pullback, sweet spot (49% WR) | OBV softer near-term — normal during pullback wait | HEALTHCARE STRONG (STRONG) — sector tailwind | SPY FAVORABLE",LIMIT BUY @ $5.56 (2% pullback cap; anchor at $5.38 too far). Stop $5.26. Anchor: 1h 6tk.,2026-09-04T05:49:13
PLAG,BULL_BOUNCE_PENDING,LONG,77.4,0.88,0.76,0.93,,809,0.36,FAVORABLE,1.55,0.9026,DEEP_BELOW,-0.8675,6.81,1.7145,171.5% (FULL ROTATION — exhaustion signal),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 8.4, ""far_pullback"": 4.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""float_rot_in_play"": 4.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $0.79 (15m 1tk MINOR gap body) | 12.6% below — far pullback, patience required but edge is real (52% WR) | OBV rising — accumulation underneath | float rotation 1.71x — supply rotating, in play | SPY FAVORABLE",LIMIT BUY @ $0.88 (2% pullback cap; anchor at $0.79 too far). Stop $0.76. Anchor: 15m 1tk.,2026-09-04T05:49:13
BAOS,BULL_BOUNCE_PENDING,LONG,65.2,0.33,0.29,0.35,,2497,0.41,FAVORABLE,0.06,0.3358,DEEP_BELOW,-0.9378,5.4,0.3686,36.9% (active),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 13.2, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""rel_vol_quiet_pending"": -1.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $0.31 (4h 4tk COMPRESSION gap body) | only 2.1% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | SPY FAVORABLE",LIMIT BUY @ $0.33 (2% pullback cap; anchor at $0.31 too far). Stop $0.29. Anchor: 4h 4tk.,2026-09-04T05:49:14
WETO,BULL_BOUNCE_PENDING,LONG,78.4,4.07,3.74,4.27,,304,0.62,FAVORABLE,0.62,3.92,DEEP_BELOW,-0.9844,251.0,5.3936,539.4% (EXTREME — almost always reverts),RISING,False,"{""structural_anchor_below"": 14.0, ""high_genesis_rank"": 7.4, ""moderate_pullback"": 8.0, ""obv_rising"": 8.0, ""float_rot_parabolic"": 6.0, ""regime_favorable"": 5.0, ""breakout_follow_promotion"": 0.0}","BUY-STOP: tape already cleared the $3.77 anchor - enter on strength above today's high, no pullback | 3.6% below — moderate pullback, sweet spot (49% WR) | OBV rising — accumulation underneath | float rotation 5.39x — parabolic engagement | SPY FAVORABLE | BREAKOUT_FOLLOW: open $4.07 cleared anchor $3.77, 2/4 strength, regime FAVORABLE — buy-stop $4.07, 1.5xATR stop","BUY-STOP @ $4.07 (above today's high $4.07). Stop $3.74 (1.5xATR). Score 78, strength=2/4, regime=FAVORABLE. BREAKOUT_FOLLOW.",2026-09-04T05:49:14
SOAR,CHANNEL_GAP_BREAKOUT_LONG,LONG,80.3,0.25,0.24,0.27,,7911,1.0,FAVORABLE,0.18,0.2528,DEEP_BELOW,-0.942,4.36,0.2409,24.1% (active),RISING,False,"{""confluence_quality"": 26.3, ""confluence_dirty_anchor"": 10.0, ""confluence_high_genesis"": 6.0, ""bull_gaps_built_below"": 8.0, ""bear_distribution_above"": -8.0, ""prior_rejects_were_weak"": 7.0, ""prior_breaks_on_strong_vol"": 6.0, ""current_vol_expanding"": 5.0, ""level_well_tested"": 3.0, ""channel_gap_breakout_long"": 12.0, ""regime_favorable"": 5.0}",channel-gap confluence score 88 (co_aligned_breakout) | anchor gap is DIRTY (unfinished auction business) | anchor gap high genesis (1147710) | 8 fresh bull gap(s) below — demand staircase | 4 fresh bear gap(s) above — distribution overhead | prior rejects on weak vol (avg 0.51× — passive) | prior breaks on strong vol (avg 2.7×) | current vol 7.84× avg — expanding into the test | level tagged 118× before — established | ASC channel rising into gap floor @ $0.23 (~-1d ahead) | SPY FAVORABLE,"CHANNEL-GAP BREAKOUT: ASC 30m channel projecting into 4h gap floor @ $0.23 (~-1d). Long $0.25, target $0.27.",2026-09-04T05:49:13
AKAN,BULL_BOUNCE_PENDING,LONG,60.0,4.34,3.91,5.07,,229,1.67,FAVORABLE,1.42,4.43,DEEP_BELOW,-0.9788,209.03,4.2535,425.4% (EXTREME — almost always reverts),FALLING,False,"{""structural_anchor_below"": 14.0, ""far_pullback"": 4.0, ""obv_falling_pending"": -2.0, ""float_rot_parabolic"": 6.0, ""sector_top_quartile"": 3.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $4.08 (1m 3tk MINOR gap body) | 7.4% below — far pullback, patience required but edge is real (52% WR) | OBV softer near-term — normal during pullback wait | float rotation 4.25x — parabolic engagement | HEALTHCARE STRONG (STRONG) — sector tailwind | SPY FAVORABLE",LIMIT BUY @ $4.34 (2% pullback cap; anchor at $4.08 too far). Stop $3.91. Anchor: 1m 3tk.,2026-09-04T05:49:15
GPRO,BULL_BOUNCE_PENDING,LONG,65.0,1.46,1.41,1.57,1.63,1869,1.96,FAVORABLE,2.75,1.47,DEEP_BELOW,-0.518,3.05,0.8676,86.8% (heavy — watch parabolic),RISING,False,"{""structural_anchor_below"": 14.0, ""near_pullback"": -4.0, ""obv_rising"": 8.0, ""rel_vol_normal+"": 4.0, ""float_rot_active"": 2.0, ""breakout_volume_surge"": 6.0, ""regime_favorable"": 5.0}","PENDING: wait for pullback to $1.46 (1m 1tk MINOR gap body) | only 0.0% below — shallow entry, historically weak (22% WR) | OBV rising — accumulation underneath | breakout volume surge — real demand active | SPY FAVORABLE",LIMIT BUY @ $1.46 on pullback (0.0% below current $1.47). Stop $1.41. Anchor: 1m 1tk.,2026-09-04T05:49:14
