ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
TQQQ,Long,PULLBACK,T3-LONG_WATCH,67,70.13,67.2307,82.08,,4.1,2.8993,77.52,9.5,WAITING,1,1,30m,70.13,69.31,HIGHWAY,EXCITED,1275637720.0,1.2,1.3,3570438.0,0.0,18.8,45.0,8.0,,UNKNOWN,,76.175,76.01,76.34,0.4,FLAT,FLAT,3450,13,2244,5.9,B,,,,False,5.1963285714285705,0.56,N/A,
BATL,Long,BOUNCE,T2-LONG,89,1.4,1.26,1.68,,2.0,0.14,1.4,0.8,CLOSE,2,2,"10m,4h",1.3894,1.31,OPEN_ROAD,EXCITED,132367748.0,0.8,4.5,1290218.0,3.0,130.7,59.0,8.0,16.2,MED,0.95,1.4,1.42,1.38,-2.8,MID,DISCOUNT,24,4,6,2.1,D,,,,True,0.3175,0.44,N/A,
BYAH,Long,PULLBACK,T2-LONG,100,1.37,1.27,1.6303,,2.6,0.1,1.47,6.8,APPROACH,1,1,1d,1.37,1.32,HIGHWAY,EXCITED,525600435.0,13.4,5.7,7791128.0,3.0,533.2,28.0,8.0,0.1,NANO,1051.59,1.96,1.05,2.87,173.3,DISCOUNT,DISCOUNT,13,4,13,10.9,D,,,,True,0.7954142857142857,0.13,N/A,
CHAI,Long,BREAKOUT,T2-LONG,73,1.67,0.44,4.13,,2.0,1.23,1.32,0.0,INSIDE,1,1,,,,OPEN_ROAD,EXCITED,,,,,,,,,,LOW,0.33,1.495,1.5,1.49,-0.7,DISCOUNT,DISCOUNT,14,3,9,2.3,D,False,0.1,True,True,0.4283571428571428,2.87,N/A,
HKIT,Long,PULLBACK,T1-STRONG_LONG,100,0.5025,0.386,0.7355,0.5699,2.0,0.1165,0.5025,3.8,APPROACH,4,4,"1d,1h,30m,4h",0.4832,0.436,OPEN_ROAD,EXCITED,1777171494.0,1.1,4.0,2538401.0,3.0,265.2,35.0,8.0,0.79,NANO,57.62,0.5699,0.559,0.5809,3.9,DISCOUNT,DISCOUNT,62,4,2,9.7,C,,,,False,1.2001214285714283,0.1,N/A,
HLP,Long,BOUNCE,T2-LONG,100,0.5,0.4099,0.6802,0.5097,2.0,0.0901,0.5,2.0,CLOSE,2,2,"10m,30m",0.4901,0.4599,OPEN_ROAD,EXCITED,56970.0,13.0,4.4,18573823.0,1.0,43.7,44.0,8.0,48.75,MED,0.3,0.5097,0.5269,0.4925,-6.5,DISCOUNT,DISCOUNT,15,5,1,8.8,D,,,,False,0.08102857142857145,1.11,N/A,
MTEN,Long,PULLBACK,T2-LONG,100,2.23,1.45,3.79,2.35,2.0,0.78,2.47,9.7,WAITING,1,1,1d,2.23,1.71,OPEN_ROAD,EXCITED,1247714547.0,1.3,2.4,3303004.0,4.0,815.4,42.0,8.0,3.5,NANO,2.45,2.35,2.29,2.41,5.2,PREMIUM,DISCOUNT,286,9,21,6.9,B,,,,True,1.1107714285714285,0.7,N/A,
NOK,Long,PULLBACK,T2-LONG,70,13.57,12.998,14.714,14.215,2.0,0.572,14.8,8.3,WAITING,1,1,30m,13.57,13.4,OPEN_ROAD,EXCITED,242395720.0,1.0,0.8,7583759.0,0.0,14.3,60.0,8.0,4441.96,MEGA,0.03,14.215,14.09,14.34,1.8,PREMIUM,DISCOUNT,626,22,306,4.4,B,,,,True,1.1114285714285714,0.51,N/A,
SMR,Long,BOUNCE,T3-LONG_WATCH,35,9.89,9.2829,11.35,,2.4,0.6071,9.89,1.0,CLOSE,1,1,1d,9.795,9.57,HIGHWAY,EXCITED,800132495.0,0.9,0.9,1472175.0,0.0,20.8,22.0,8.0,339.31,MEGA,0.09,9.6825,9.57,9.795,2.4,PREMIUM,MID,22,1,22,14.8,D,,,,True,1.1781428571428572,0.52,N/A,
SPCX,Long,PULLBACK,T2-LONG,89,149.34,-41.61,531.24,,2.0,190.95,160.95,7.2,WAITING,3,3,"1d,1h,4h",149.34,22.04,HIGHWAY,EXCITED,10433431777609.0,20.0,6.7,8346410.0,1.0,707.5,9.0,8.0,2919.75,MEGA,0.18,85.99,21.98,150.0,582.4,PREMIUM,MID,38124,2,38060,99.9,C,,,,False,,,N/A,
SRXH,Long,PULLBACK,T3-LONG_WATCH,33,0.1334,0.083,0.2342,,2.0,0.0504,0.148,9.9,WAITING,1,1,4h,0.1334,0.133,OPEN_ROAD,EXCITED,0.0,3.0,1.5,22361301.0,1.0,32.1,17.0,8.0,549.21,MEGA,0.23,0.1266,0.1258,0.1274,1.3,PREMIUM,PREMIUM,0,5,0,101.4,D,,,,False,0.012571428571428572,4.01,N/A,
