ticker,convergence_score,n_scanners,scanners,sides,dominant_side,agreement_pct,best_rank,avg_rank,long_pts,short_pts,total_raw_pts,sector_mult,sector_label
SVC,26.9,3,A-Book#1;Analyst#5;Consumption#212,"LONG,NA",LONG,100.0,1,72.7,12.5,0.0,15.2,1.054,NEUTRAL
USDE,14.0,2,Momentum#1;Consumption#232,LONG,LONG,100.0,1,116.5,9.5,0.0,9.5,1.054,NEUTRAL
AA,12.0,2,Consumption#1;Analyst#5,"LONG,NA",LONG,100.0,1,3.0,7.0,0.0,9.7,0.886,WEAK
AHMA,10.5,3,Short#1;Momentum#3;Consumption#11,"LONG,SHORT",SHORT,55.0,1,5.0,7.3,9.0,16.3,0.898,STRONG
SURG,10.4,2,Momentum#2;Consumption#211,LONG,LONG,100.0,2,106.5,6.8,0.0,6.8,1.09,STRONG
ACN,8.3,2,Analyst#5;Consumption#6,"LONG,NA",LONG,100.0,5,5.5,2.9,0.0,5.5,1.066,NEUTRAL
ALKT,6.9,2,Analyst#5;Consumption#13,"LONG,NA",LONG,100.0,5,9.0,1.9,0.0,4.6,1.066,NEUTRAL
ALT,6.6,2,Analyst#5;Consumption#17,"LONG,NA",LONG,100.0,5,11.0,1.7,0.0,4.4,1.078,STRONG
AMPL,6.1,2,Analyst#5;Consumption#24,"LONG,NA",LONG,100.0,5,14.5,1.4,0.0,4.1,1.066,NEUTRAL
AMAT,5.9,2,Analyst#5;Consumption#19,"LONG,NA",LONG,100.0,5,12.0,1.6,0.0,4.3,0.982,NEUTRAL
BBBY,5.9,2,Analyst#5;Consumption#37,"LONG,NA",LONG,100.0,5,21.0,1.2,0.0,3.8,1.102,STRONG
AMD,5.7,2,Analyst#5;Consumption#22,"LONG,NA",LONG,100.0,5,13.5,1.5,0.0,4.2,0.982,NEUTRAL
BB,5.7,2,Analyst#5;Consumption#36,"LONG,NA",LONG,100.0,5,20.5,1.2,0.0,3.8,1.066,NEUTRAL
BE,5.7,2,Analyst#5;Consumption#38,"LONG,NA",LONG,100.0,5,21.5,1.1,0.0,3.8,1.066,NEUTRAL
BHVN,5.7,2,Analyst#5;Consumption#40,"LONG,NA",LONG,100.0,5,22.5,1.1,0.0,3.8,1.078,STRONG
BILL,5.6,2,Analyst#5;Consumption#41,"LONG,NA",LONG,100.0,5,23.0,1.1,0.0,3.8,1.066,NEUTRAL
BMNR,5.6,2,Analyst#5;Consumption#42,"LONG,NA",LONG,100.0,5,23.5,1.1,0.0,3.8,1.054,NEUTRAL
BSX,5.6,2,Analyst#5;Consumption#43,"LONG,NA",LONG,100.0,5,24.0,1.1,0.0,3.8,1.066,NEUTRAL
BTDR,5.6,2,Analyst#5;Consumption#44,"LONG,NA",LONG,100.0,5,24.5,1.1,0.0,3.7,1.066,NEUTRAL
CAI,5.6,2,Analyst#5;Consumption#46,"LONG,NA",LONG,100.0,5,25.5,1.0,0.0,3.7,1.078,STRONG
CANF,5.6,2,Analyst#5;Consumption#47,"LONG,NA",LONG,100.0,5,26.0,1.0,0.0,3.7,1.078,STRONG
CMCSA,5.5,2,Analyst#5;Consumption#58,"LONG,NA",LONG,100.0,5,31.5,0.9,0.0,3.6,1.09,STRONG
CPRT,5.5,2,Analyst#5;Consumption#65,"LONG,NA",LONG,100.0,5,35.0,0.9,0.0,3.6,1.102,STRONG
CIFR,5.4,2,Analyst#5;Consumption#55,"LONG,NA",LONG,100.0,5,30.0,0.9,0.0,3.6,1.066,NEUTRAL
DKNG,5.4,2,Analyst#5;Consumption#76,"LONG,NA",LONG,100.0,5,40.5,0.8,0.0,3.5,1.102,STRONG
CLSK,5.3,2,Analyst#5;Consumption#57,"LONG,NA",LONG,100.0,5,31.0,0.9,0.0,3.6,1.054,NEUTRAL
CRM,5.3,2,Analyst#5;Consumption#68,"LONG,NA",LONG,100.0,5,36.5,0.8,0.0,3.5,1.066,NEUTRAL
CRCL,5.2,2,Analyst#5;Consumption#66,"LONG,NA",LONG,100.0,5,35.5,0.9,0.0,3.5,1.054,NEUTRAL
CRWV,5.2,2,Analyst#5;Consumption#71,"LONG,NA",LONG,100.0,5,38.0,0.8,0.0,3.5,1.066,NEUTRAL
CTSH,5.2,2,Analyst#5;Consumption#72,"LONG,NA",LONG,100.0,5,38.5,0.8,0.0,3.5,1.066,NEUTRAL
CBRS,5.1,2,Analyst#5;Consumption#48,"LONG,NA",LONG,100.0,5,26.5,1.0,0.0,3.7,0.982,NEUTRAL
DOW,5.1,2,Analyst#5;Consumption#78,"LONG,NA",LONG,100.0,5,41.5,0.8,0.0,3.5,1.042,NEUTRAL
FLNC,5.1,2,Analyst#5;Consumption#88,"LONG,NA",LONG,100.0,5,46.5,0.7,0.0,3.4,1.066,NEUTRAL
FRMI,5.0,2,Analyst#5;Consumption#91,"LONG,NA",LONG,100.0,5,48.0,0.7,0.0,3.4,1.054,NEUTRAL
GH,5.0,2,Analyst#5;Consumption#95,"LONG,NA",LONG,100.0,5,50.0,0.7,0.0,3.4,1.042,NEUTRAL
GRND,5.0,2,Analyst#5;Consumption#100,"LONG,NA",LONG,100.0,5,52.5,0.7,0.0,3.4,1.066,NEUTRAL
HOOD,5.0,2,Analyst#5;Consumption#106,"LONG,NA",LONG,100.0,5,55.5,0.7,0.0,3.4,1.054,NEUTRAL
INFQ,5.0,2,Analyst#5;Consumption#111,"LONG,NA",LONG,100.0,5,58.0,0.7,0.0,3.3,1.066,NEUTRAL
INFY,5.0,2,Analyst#5;Consumption#112,"LONG,NA",LONG,100.0,5,58.5,0.7,0.0,3.3,1.066,NEUTRAL
IREN,5.0,2,Analyst#5;Consumption#118,"LONG,NA",LONG,100.0,5,61.5,0.6,0.0,3.3,1.066,NEUTRAL
MRNA,5.0,2,Analyst#5;Consumption#135,"LONG,NA",LONG,100.0,5,70.0,0.6,0.0,3.3,1.078,STRONG
PLTR,5.0,2,Analyst#5;Consumption#172,"LONG,NA",LONG,100.0,5,88.5,0.5,0.0,3.2,1.114,STRONG
RDDT,5.0,2,Analyst#5;Consumption#186,"LONG,NA",LONG,100.0,5,95.5,0.5,0.0,3.2,1.126,HOT
HIMS,4.9,2,Analyst#5;Consumption#101,"LONG,NA",LONG,100.0,5,53.0,0.7,0.0,3.4,1.042,NEUTRAL
KEEL,4.9,2,Analyst#5;Consumption#121,"LONG,NA",LONG,100.0,5,63.0,0.6,0.0,3.3,1.054,NEUTRAL
KLAR,4.9,2,Analyst#5;Consumption#123,"LONG,NA",LONG,100.0,5,64.0,0.6,0.0,3.3,1.054,NEUTRAL
MARA,4.9,2,Analyst#5;Consumption#130,"LONG,NA",LONG,100.0,5,67.5,0.6,0.0,3.3,1.066,NEUTRAL
MSFT,4.9,2,Analyst#5;Consumption#137,"LONG,NA",LONG,100.0,5,71.0,0.6,0.0,3.3,1.066,NEUTRAL
CELH,4.8,2,Analyst#5;Consumption#52,"LONG,NA",LONG,100.0,5,28.5,1.0,0.0,3.7,0.934,NEUTRAL
MOS,4.8,2,Analyst#5;Consumption#132,"LONG,NA",LONG,100.0,5,68.5,0.6,0.0,3.3,1.042,NEUTRAL
MSTR,4.8,2,Analyst#5;Consumption#138,"LONG,NA",LONG,100.0,5,71.5,0.6,0.0,3.3,1.054,NEUTRAL
