ticker,side,score,gap_tier,borrow_risk,float_m,sector_label,lifecycle_phase,entry,stop,target,last_px,high,low,volume,chg_short_pct,outcome,result_r,stop_adjusted,pm_gap_down_pct,rel_vol,checked_at,scan_date
TSLA,Short,30.3265,IN_BAND,LOW,3755.72,,SHORT_GENESIS,343.99,347.4299,337.1102,319.69,342.11,315.735,115347477,7.06,TARGET_HIT,1.0,True,8.22,4.68,2026-07-23_1736,2026-07-23
GOOGL,Short,19.901,IN_BAND,LOW,12202.57,,SHORT_GENESIS,323.58,326.8158,317.1084,317.69,324.49,314.9,69422093,1.82,TARGET_HIT,1.0,True,5.52,4.32,2026-07-23_1736,2026-07-23
