ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_sec,regime,_L1_notional,_L2_notional,_L3_notional,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
BMNR,Long,PULLBACK,T2-LONG,96,2.1,20.9784,20.0393,22.9299,9.2,MEGA,529.62,0.07,0.9,0.0,15.6,4.2,B,928,,1.515,0.875,1.0,0.25,0.875,20.0393,20.9784,21.1882,0,106,87,0.0,2.08,1.52,20.0393,22.9299,10:30,FINANCIAL,,STRONG,,0.8,,3.48,0.8,0.8,FAVORABLE,0.0,2223.71,1843.37,PULLBACK_LIMIT,,,,MID,LIMIT
INTC,Long,PULLBACK,T1-STRONG_LONG,93,2.0,100.08,92.9669,114.3061,7.5,MEGA,5016.85,0.04,1.4,0.0,28.7,99.9,A,6528,,0.9675,0.375,0.75,0.125,0.625,92.9669,100.08,101.0808,0,14,12,0.0,2.0,1.63,92.9669,114.3061,10:30,TECH,SEMIS,NEUTRAL,NEUTRAL,0.64,0.6,5.19,0.6,0.6,FAVORABLE,0.0,1401.12,1212.97,PULLBACK_LIMIT,,,,MID,LIMIT
WT,Long,PULLBACK,T1-STRONG_LONG,100,2.0,16.98,16.1214,18.6972,6.9,HIGH,132.77,0.03,1.1,0.0,14.4,99.9,A,359,,0.8588,0.375,0.625,0.688,0.438,16.1214,16.98,17.1498,0,116,97,0.0,2.0,1.5,16.1214,18.6972,10:30,FINANCIAL,,STRONG,,0.8,,3.48,0.8,0.8,FAVORABLE,0.0,1969.68,1663.53,PULLBACK_LIMIT,,,,MID,LIMIT
TRVI,Long,PULLBACK,T2-LONG,100,2.0,14.66,13.3472,17.2856,3.1,HIGH,105.98,0.01,0.6,0.0,12.7,4.3,B,153,,0.8332,0.375,0.25,0.688,0.062,13.3472,14.66,14.8066,0,76,68,0.0,2.0,1.7,13.3472,17.2856,10:30,HEALTHCARE,BIOTECH,WEAK,STRONG,0.2,0.84,-1.4,0.84,0.84,FAVORABLE,0.0,1114.16,1006.85,PULLBACK_LIMIT,,,,MID,LIMIT
TPG,Long,BOUNCE,T2-LONG,100,2.0,45.61,42.3114,52.2072,0.7,HIGH,114.34,0.03,1.1,0.0,12.8,5.9,B,624,,0.6713,0.375,0.0,0.688,0.438,42.3114,45.61,46.0661,0,30,26,0.0,2.0,1.64,42.3114,52.2072,10:30,FINANCIAL,,STRONG,,0.8,,3.48,0.8,0.8,FAVORABLE,0.0,1368.3,1197.72,PULLBACK_LIMIT,,,,MID,LIMIT
NOK,Long,BOUNCE,T1-STRONG_LONG,100,2.0,13.42,12.5227,15.2146,1.4,MEGA,4443.63,0.02,0.9,0.0,20.7,99.9,A,466,,0.5903,0.375,0.125,0.688,0.25,12.5227,13.42,13.5542,0,111,96,0.0,2.0,1.61,12.5227,15.2146,10:30,COMMS,,NEUTRAL,,0.28,,-1.63,0.28,0.28,FAVORABLE,0.0,1489.62,1301.2,PULLBACK_LIMIT,,,,MID,LIMIT
DGXX,Long,PULLBACK,T1-STRONG_LONG,100,2.0,5.11,3.525,8.28,4.9,HIGH,62.53,1.85,14.3,1.0,93.5,99.9,A,287,,0.5887,0.375,0.5,0.688,1.0,3.525,5.11,5.1611,0,63,61,0.0,2.0,1.91,3.525,8.28,10:30,TECH,CYBER,NEUTRAL,NEUTRAL,0.64,0.4,5.19,0.4,0.4,FAVORABLE,0.0,321.93,314.83,PULLBACK_LIMIT,,,,MID,LIMIT
