ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
ALMR,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,30.69,1h,log_regression,AT_LOWER,0.164,21,28.59,29.0,daily,5.51,100.0,nearest_support_gap_hi,30.065,True,True,2.04,2.08,25.58,25.58,6.55,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high | coiled/controlled short-term momentum",early_trigger_not_chase
ORKA,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,92.62,daily,log_regression,AT_LOWER,0.306,15,72.34,81.0,weekly,12.55,100.0,nearest_support_gap_hi,91.97,True,True,0.7,0.71,24.72,24.72,2.66,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 24.72% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,early_positive_momentum
AYA,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,26.55,daily,log_regression,MID,0.345,18,22.9,24.25,daily,8.66,98.89,nearest_support_gap_hi,26.5,True,False,0.19,0.19,15.25,15.25,4.6,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 15.25% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
WGS,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,84.85,1h,log_regression,AT_LOWER,0.274,16,65.11,65.39,weekly,22.93,92.52,nearest_support_gap_hi,84.64,True,False,0.25,0.25,8.17,8.17,3.83,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 8.17% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
FET,EARLY_RECLAIM_TRIGGER,100.0,98.0,98.0,EARLY_RECLAIM_TRIGGER,81.97,daily,log_regression,MID,0.636,34,51.43,61.42,daily,25.07,100.0,nearest_support_gap_hi,81.39,True,True,0.71,0.71,7.61,7.61,2.94,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 7.61% from recent high | just-triggered reclaim, still near shelf | coiled/controlled short-term momentum",mid_high_channel_location | early_trigger_not_chase
CBLL,EARLY_RECLAIM_TRIGGER,100.0,98.0,98.0,EARLY_RECLAIM_TRIGGER,23.98,daily,log_regression,MID,0.626,14,19.3,20.01,daily,16.56,98.37,nearest_support_gap_hi,23.54,True,True,1.83,1.87,5.63,5.63,2.5,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 5.63% from recent high | just-triggered reclaim, still near shelf | coiled/controlled short-term momentum",mid_high_channel_location | early_trigger_not_chase | overhead_gap_too_close
CRVS,EARLY_RECLAIM_TRIGGER,100.0,96.0,96.0,EARLY_RECLAIM_TRIGGER,13.81,daily,log_regression,AT_LOWER,0.185,7,8.05,13.51,weekly,2.17,100.0,nearest_support_gap_hi,13.51,True,True,2.17,2.22,29.54,29.54,2.03,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high | coiled/controlled short-term momentum",early_trigger_not_chase | overhead_gap_too_close
CLMT,HIGH_PRIORITY_PRE_TRIGGER,100.0,91.0,91.0,PRE_TRIGGER_COIL,48.93,daily,log_regression,MID,0.599,21,48.065,48.57,weekly,0.74,99.21,nearest_support_gap_hi,48.57,True,True,0.74,0.74,5.25,5.25,3.33,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 5.25% from recent high | pre-trigger coil near reload/reclaim level | coiled/controlled short-term momentum,
MGTX,EARLY_STRUCTURAL_MATCH,95.0,81.0,81.0,TOO_EARLY_OR_LOOSE,13.81,daily,log_regression,MID,0.459,15,9.59,9.78,weekly,29.18,100.0,nearest_support_gap_hi,13.35,True,True,3.33,3.45,12.82,12.82,2.39,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 12.82% from recent high | room back to recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger | overhead_gap_too_close
VIA,EARLY_STRUCTURAL_MATCH,95.5,78.0,78.0,TOO_EARLY_OR_LOOSE,27.54,1h,log_regression,AT_LOWER,0.308,23,17.69,18.03,weekly,34.53,100.0,nearest_support_gap_hi,27.35,True,True,0.69,0.69,5.7,5.7,2.21,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 5.7% from recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger | overhead_gap_too_close
