ticker,current_price,phase,consumed_pct,consumed_count,overhead_count,total_in_arc,next_major_top,next_major_bot,next_major_ticks,next_major_tf,next_major_dist_pct,sub_tf_status_str,has_recent_flip,total_bearish_gaps,est_open,stop,target,shares,expected_pct,rr,promoted
AIM,0.4401,BASING,0.0,0,5,5,0.5189,0.48,4,daily,9.07,4 bear-built-above · rel-vol 0.1x · regime HOSTILE,False,5,0.4401,0.4335,0.5189,15148,17.91,11.94,False
ALHC,20.68,BASING,0.0,0,5,5,23.46,20.96,250,daily,1.35,2 bear-built-above · rel-vol 1.7x · regime HOSTILE,True,5,20.68,20.3698,23.46,322,13.44,8.96,False
ALP,0.2489,BASING,0.0,0,5,5,0.3091,0.2844,3,daily,14.26,12 bear-built-above · rel-vol 0.3x · regime HOSTILE,False,5,0.2489,0.2452,0.3091,26784,24.19,16.12,False
ALTO,5.74,BASING,0.0,0,4,4,6.1,6.08,2,1h,5.92,3 bear-built-above · rel-vol 1.4x · regime HOSTILE,True,4,5.74,5.6539,6.1,1161,6.27,4.18,False
AMPG,8.0,BASING,0.0,0,3,3,8.04,8.01,3,5m,0.12,3 bear-built-above · rel-vol 1.6x · regime HOSTILE,True,3,8.0,7.88,8.04,833,0.5,0.33,False
AMZE,0.1295,BASING,0.0,0,5,5,0.1375,0.132,1,weekly,1.93,16 bear-built-above · rel-vol 0.3x · regime HOSTILE,False,5,0.1295,0.1276,0.1375,51480,6.18,4.12,False
AQMS,3.31,BASING,0.0,0,5,5,3.6,3.55,6,1h,7.25,22 bear-built-above · rel-vol 0.5x · regime HOSTILE,False,5,3.31,3.2603,3.6,2014,8.76,5.84,False
ATEX,62.03,BASING,0.0,0,5,5,67.77,65.0,277,15m,4.79,14 bear-built-above · rel-vol 1.9x · regime HOSTILE,False,5,62.03,61.0996,67.77,107,9.25,6.17,False
AXTI,89.85,BASING,0.0,0,5,5,103.16,95.0,816,weekly,5.73,12 bear-built-above · rel-vol 1.1x · regime HOSTILE,False,6,89.85,88.5022,103.16,74,14.81,9.88,False
BATL,1.7,BASING,0.0,0,4,4,2.3099,1.81,50,15m,6.47,1 bear-built-above · rel-vol 11.9x · regime HOSTILE,False,4,1.7,1.6745,2.3099,3921,35.88,23.92,False
BELFB,276.45,BASING,0.0,0,5,5,297.81,282.8,1501,daily,2.3,16 bear-built-above · rel-vol 0.9x · regime HOSTILE,False,5,276.45,272.3032,297.81,24,7.73,5.15,False
BFLY,5.42,BASING,0.0,0,1,1,5.455,5.45,1,1m,0.55,1 bear-built-above · rel-vol 1.7x · regime HOSTILE,True,1,5.42,5.3387,5.455,1230,0.65,0.43,False
BH.A,1640.19,BASING,0.0,0,5,5,1748.76,1742.65,611,weekly,6.25,11 bear-built-above · rel-vol 1.2x · regime HOSTILE,False,5,1640.19,1615.5872,1748.76,4,6.62,4.41,False
BIYA,1.08,BASING,0.0,0,5,5,1.18,1.17,2,1h,8.33,5 bear-built-above · rel-vol 3.0x · regime HOSTILE,False,5,1.08,1.0638,1.18,6172,9.26,6.17,False
BROS,60.89,BASING,0.0,0,4,4,65.98,65.66,33,weekly,7.83,1 bear-built-above · rel-vol 1.9x · regime HOSTILE,True,5,60.89,59.9766,65.98,109,8.36,5.57,False
BURU,0.1446,BASING,0.0,0,5,5,0.1624,0.1576,1,daily,8.99,15 bear-built-above · rel-vol 1.0x · regime HOSTILE,False,5,0.1446,0.1424,0.1624,46104,12.31,8.21,False
BYAH,1.12,BASING,0,0,0,0,,,,,0,rel-vol 0.3x · regime HOSTILE,False,0,1.12,1.1032,1.232,5952,10.0,6.67,False
CAVA,81.49,BASING,0.0,0,5,5,89.51,86.53,299,daily,6.18,9 bear-built-above · rel-vol 1.1x · regime HOSTILE,False,5,81.49,80.2676,89.51,81,9.84,6.56,False
CBRL,44.49,BASING,0.0,0,5,5,49.59,48.28,132,daily,8.52,14 bear-built-above · rel-vol 7.1x · regime HOSTILE,False,5,44.49,43.8227,49.59,149,11.46,7.64,False
CBRS,243.05,BASING,0.0,0,5,5,247.89,247.53,36,15m,1.84,15 bear-built-above · rel-vol 0.6x · regime HOSTILE,False,5,243.05,239.4043,247.89,27,1.99,1.33,False
CGTL,0.4152,BASING,0.0,0,5,5,0.45,0.4499,1,1h,8.36,30 bear-built-above · rel-vol 0.6x · regime HOSTILE,False,5,0.4152,0.409,0.45,16056,8.38,5.59,False
CHAI,1.27,BASING,0.0,0,4,4,1.86,1.37,49,daily,7.87,10 bear-built-above · rel-vol 0.6x · regime HOSTILE,False,4,1.27,1.251,1.86,5249,46.46,30.97,False
CLIK,1.6,BASING,0.0,0,5,5,1.7699,1.75,2,15m,9.37,4 bear-built-above · rel-vol 1.0x · regime HOSTILE,False,5,1.6,1.576,1.7699,4166,10.62,7.08,False
CLOV,5.2,BASING,0.0,0,4,4,5.27,5.25,2,1m,0.96,4 bear-built-above · rel-vol 2.8x · regime HOSTILE,False,4,5.2,5.122,5.27,1282,1.35,0.9,False
CNR,91.8,BASING,0.0,0,5,5,99.93,95.315,462,daily,3.83,23 bear-built-above · rel-vol 1.1x · regime HOSTILE,False,5,91.8,90.423,99.93,72,8.86,5.9,False
CRDO,247.0,BASING,0.0,0,5,5,248.04,247.3,74,1m,0.12,11 bear-built-above · rel-vol 1.5x · regime HOSTILE,True,5,247.0,243.295,248.04,26,0.42,0.28,False
CTNT,1.9004,BASING,0.0,0,5,5,2.025,2.02,1,1m,6.29,10 bear-built-above · rel-vol 1.3x · regime HOSTILE,True,5,1.9004,1.8719,2.025,3508,6.56,4.37,False
CVLT,124.3,BASING,0.0,0,5,5,135.82,134.42,141,daily,8.14,18 bear-built-above · rel-vol 1.4x · regime HOSTILE,False,5,124.3,122.4355,135.82,53,9.27,6.18,False
