ticker,side,mode,tier,fem,rr,entry,stop,t1,dist_pct,float_label,float_m,float_rotation,vol_ratio_today,hot_days,move_pct,clean_air_pct,va_grade,conviction_ticks,news,_score,_pr_rr,_pr_dist,_pr_fem,_pr_rot,_L1_px,_L2_px,_L3_px,_L1_shares,_L2_shares,_L3_shares,_L1_rr,_L2_rr,_L3_rr,_stop_px,_t1_px,_cutoff,_sector,_industry,_sector_label,_industry_label,_sector_strength,_industry_strength,_sector_ret_5d,_sector_pct,_pr_sec,regime,_L1_notional,_L2_notional,_L3_notional,entry_mode,_L4_px,_L4_shares,_L4_rr,_cohort,_entry_policy
CLVT,Long,PULLBACK,T2-LONG,64,6.6,2.5602,2.4735,3.13,7.6,MEGA,472.23,0.01,0.5,0.0,18.9,13.0,B,50,,1.792,1.0,0.875,0.0,0.062,2.4735,2.5602,2.5858,0,1153,890,0.0,6.57,4.85,2.4735,3.13,10:30,TECH,,NEUTRAL,,0.64,,5.19,0.64,0.64,FAVORABLE,0.0,2951.91,2301.36,PULLBACK_LIMIT,,,,PENNY,MARKET
PLUG,Long,PULLBACK,T1-STRONG_LONG,100,2.0,3.32,2.9391,4.0818,4.8,MEGA,1330.52,0.05,0.9,0.0,13.2,99.9,B,61,,0.5053,0.375,0.375,0.688,0.75,2.9391,3.32,3.3532,0,262,241,0.0,2.0,1.76,2.9391,4.0818,10:30,ENERGY,,COLD,,0.08,,-6.15,0.08,0.08,FAVORABLE,0.0,869.84,808.12,PULLBACK_LIMIT,,,,PENNY,MARKET
