ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,stop_adjusted,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,path,gap_quality,sponsorship,vol_ratio,vol_hot,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,tfs,cluster_top,cluster_bot,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
SOXL,Long,BREAKOUT,T1-STRONG_LONG,100,197.94,163.275,267.27,,2.0,34.665,False,197.09,0.0,INSIDE,5,5,OPEN_ROAD,EXCITED,4.01,0.5,True,UNKNOWN,,187.315,174.82,199.81,14.3,PREMIUM,MID,13076,15,6234,20.6,A,,,,,,,,,,,,,False,40.980792857142845,0.85,N/A,
BATL,Long,PULLBACK,T2-LONG,79,1.34,1.27,1.48,,2.0,0.07,,1.4465,7.4,WAITING,2,2,OPEN_ROAD,EXCITED,0.99,,,MED,0.65,1.57,1.64,1.5,-8.5,DISCOUNT,DISCOUNT,17,6,17,2.3,D,"1d,4h",1.34,1.32,16270578.0,0.4,2.2,3746326.0,1.0,96.7,62.0,8.0,16.17,True,0.21535714285714283,0.33,N/A,
CG,Long,BOUNCE,T1-STRONG_LONG,88,43.88,41.0601,49.5198,,2.0,2.8199,,43.88,0.8,CLOSE,6,6,OPEN_ROAD,EXCITED,0.48,,,MEGA,0.0,43.135,43.07,43.2,0.3,FLAT,FLAT,818,2,229,5.4,C,"15m,1d,1h,30m,4h,5m",43.54,42.33,159283366.0,0.0,0.5,0.0,0.0,5.8,34.0,8.0,261.67,False,1.697142857142856,1.66,N/A,
EDBL,Long,BOUNCE,T2-LONG,95,0.1097,0.0574,0.2143,,2.0,0.0523,,0.1097,0.7,CLOSE,5,5,OPEN_ROAD,EXCITED,0.89,,,LOW,31.55,0.108,0.116,0.1,-13.8,MID,MID,1,3,1,17.2,D,"10m,15m,1m,30m,5m",0.1089,0.1074,0.0,3.3,4.2,151350483.0,2.0,81.9,47.0,8.0,5.43,False,0.03994999999999999,1.31,N/A,
GPUS,Long,PULLBACK,T3-LONG_WATCH,29,0.1284,0.0781,0.229,,2.0,0.0503,,0.1353,5.1,APPROACH,1,1,OPEN_ROAD,EXCITED,0.92,,,MEGA,0.03,0.1316,0.1317,0.1316,-0.1,FLAT,FLAT,0,2,0,2.6,D,5m,0.1284,0.1281,0.0,0.1,0.2,3201998.0,0.0,24.8,32.0,8.0,460.43,False,0.0488357142857143,1.03,N/A,
INTC,Long,BREAKOUT,T1-STRONG_LONG,100,113.73,107.1365,126.917,,2.0,6.5935,False,112.63,0.0,INSIDE,5,5,OPEN_ROAD,EXCITED,4.62,0.3,True,MEGA,0.01,112.555,110.24,114.87,4.2,MID,MID,8503,20,2384,3.4,C,,,,,,,,,,,,,False,10.656378571428572,0.62,N/A,
KNSA,Long,BOUNCE,T3-LONG_WATCH,100,64.76,62.5262,69.2276,,2.0,2.2338,,64.76,0.2,CLOSE,2,2,OPEN_ROAD,EXCITED,5.51,,,MED,0.03,67.255,67.29,67.22,-0.1,FLAT,FLAT,4148,11,2023,3.0,C,"1m,5m",64.62,64.46,1836406.0,1.0,0.8,0.0,0.0,8.9,59.0,8.0,42.2,False,2.991564285714286,0.75,N/A,
ONFO,Long,BOUNCE,T2-LONG,91,0.2387,0.1835,0.3491,0.2628,2.0,0.0552,,0.2387,0.4,CLOSE,1,1,OPEN_ROAD,EXCITED,17.32,,,LOW,1.04,0.2628,0.2805,0.245,-12.7,DISCOUNT,DISCOUNT,0,2,0,2.6,D,1m,0.2378,0.2335,0.0,0.7,6.4,3069560.0,1.0,175.9,36.0,8.0,5.15,False,0.0714,0.77,N/A,
PRGO,Long,BOUNCE,T1-STRONG_LONG,62,10.67,10.1462,11.7176,,2.0,0.5238,,10.67,0.7,CLOSE,4,4,OPEN_ROAD,WAITING,0.51,,,HIGH,0.0,10.465,10.52,10.41,-1.0,PREMIUM,PREMIUM,202,3,52,2.1,C,"10m,1h,4h,5m",10.59,10.46,4231162.0,0.1,0.5,0.0,0.0,11.7,32.0,8.0,137.65,True,0.5173499999999999,1.01,N/A,
STGW,Long,BOUNCE,T2-LONG,83,7.715,7.3526,8.4398,,2.0,0.3624,,7.715,0.2,CLOSE,3,3,HIGHWAY,WAITING,0.53,,,HIGH,0.0,7.67,7.67,7.67,0.0,FLAT,FLAT,139,6,37,99.9,B,"1h,1m,4h",7.7,7.58,1012053.0,0.1,0.8,0.0,0.0,10.2,19.0,8.0,104.05,True,0.34499285714285705,1.05,N/A,
VIR,Long,BOUNCE,T3-LONG_WATCH,51,10.45,9.7194,11.9112,,2.0,0.7306,,10.45,2.7,CLOSE,1,1,OPEN_ROAD,EXCITED,0.67,,,HIGH,0.0,10.43,10.43,10.43,0.0,FLAT,FLAT,440,7,216,2.3,C,1d,10.17,10.02,23548221.0,0.1,0.5,0.0,0.0,10.4,29.0,8.0,128.76,True,0.5119500000000002,1.43,N/A,
