date,ticker,clock_hour,gap_above_size,gap_above_atr_mult,gap_above_conviction,gap_above_tick_width,gap_above_distance_pct,gap_below_size,gap_below_atr_mult,gap_below_conviction,gap_below_tick_width,gap_below_distance_pct,n_gaps_above,n_gaps_below,setup_fired,side,score,tier,spy_regime,atr_14_daily,obv_state
2026-07-09,BOBS,6.0,0.33,0.305,COMPRESSION,33,836.0,0.07,0.065,COMPRESSION,8,925.0,31,18,BULL_BOUNCE_PENDING,LONG,53.0,MARGINAL,CHOP,1.0803,RISING
2026-07-09,NTRA,6.0,4.68,0.347,CONVICTION,469,80.0,3.09,0.229,CONVICTION,309,342.0,30,30,BULL_BOUNCE_PENDING,LONG,50.0,MARGINAL,CHOP,13.486,RISING
2026-07-09,DASH,6.0,3.05,0.351,CONVICTION,306,1262.0,0.15,0.017,COMPRESSION,16,616.0,35,23,BULL_BOUNCE_PENDING,LONG,55.0,MARGINAL,CHOP,8.6789,RISING
2026-07-09,KNSA,,0.05,0.017,MINOR,5,380.0,1.15,0.384,CONVICTION,115,681.0,28,42,BEAR_REJECTION_PENDING,SHORT,60.0,CONVICTION,CHOP,2.9916,RISING
2026-07-09,TYRA,,0.58,0.314,COMPRESSION,58,754.0,0.31,0.168,COMPRESSION,31,1223.0,14,38,BULL_BOUNCE_PENDING,LONG,57.6,MARGINAL,CHOP,1.8496,RISING
2026-07-09,BLFS,6.0,0.43,0.308,COMPRESSION,43,114.0,0.5,0.359,COMPRESSION,50,412.0,32,16,BULL_BOUNCE_PENDING,LONG,73.0,CONVICTION,CHOP,1.3943,FALLING
2026-07-09,SWBI,6.0,0.03,0.03,MINOR,4,319.0,0.13,0.132,COMPRESSION,14,150.0,24,18,BEAR_REJECTION_PENDING,SHORT,46.0,MARGINAL,CHOP,0.9869,FALLING
2026-07-09,RPGL,6.0,0.009,0.052,COMPRESSION,1,407.0,0.03,0.174,COMPRESSION,3,621.0,7,8,BULL_BOUNCE_PENDING,LONG,60.4,CONVICTION,CHOP,0.1726,FALLING
2026-07-09,SRXH,6.0,1.88,0.966,VACUUM,188,95.0,0.005,0.003,COMPRESSION,1,1119.0,5,14,BEAR_REJECTION_PENDING,SHORT,84.3,CONVICTION,CHOP,1.9459,FALLING
2026-07-09,EDBL,6.0,0.0004,0.01,MINOR,1,190.0,0.006,0.153,COMPRESSION,1,418.0,5,11,BULL_BOUNCE_PENDING,LONG,86.2,CONVICTION,CHOP,0.0392,RISING
2026-07-09,MU,6.0,3.63,0.036,CONVICTION,363,1455.0,46.37,0.454,CONVICTION,4637,6.0,24,30,BULL_BOUNCE_PENDING,LONG,58.2,MARGINAL,CHOP,102.1329,NEUTRAL
2026-07-09,INTC,6.0,1.32,0.123,CONVICTION,132,1129.0,0.15,0.014,COMPRESSION,16,327.0,25,41,BEAR_REJECTION_PENDING,SHORT,78.1,CONVICTION,CHOP,10.7721,NEUTRAL
2026-07-09,BATL,6.0,0.3401,1.65,COMPRESSION,35,193.0,0.02,0.097,COMPRESSION,3,1244.0,15,24,BULL_BOUNCE_PENDING,LONG,76.6,CONVICTION,CHOP,0.2061,NEUTRAL
2026-07-09,NVDA,6.0,1.1,0.165,CONVICTION,110,837.0,1.53,0.229,CONVICTION,154,672.0,26,55,BULL_BOUNCE_PENDING,LONG,74.5,CONVICTION,CHOP,6.6704,NEUTRAL
2026-07-09,ONFO,,0.001,0.013,MINOR,1,840.0,0.0026,0.035,MINOR,1,40.0,1,7,BULL_BOUNCE_PENDING,LONG,63.0,CONVICTION,CHOP,0.075,NEUTRAL
2026-07-09,NUVB,6.0,0.09,0.207,MINOR,9,957.0,0.07,0.161,COMPRESSION,7,137.0,17,25,BULL_BOUNCE_PENDING,LONG,47.0,MARGINAL,CHOP,0.4357,FALLING
