ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
TGB,Long,BOUNCE,T1-STRONG_LONG,100,7.08,6.5087,8.2226,,2.0,0.5713,7.08,0.7,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",7.03,6.71,OPEN_ROAD,EXCITED,2.42,239617989.0,2.0,1.2,0.0,0.0,11.8,31.0,8.0,359.02,MEGA,0.03,6.87,6.71,7.03,4.8,PREMIUM,MID,192,4,34,4.1,B,,,,True,0.5102857142857145,1.12,N/A,
VSEE,Long,BOUNCE,T2-LONG,81,0.072,0.0205,0.175,0.0832,2.0,0.0515,0.072,1.7,CLOSE,1,1,1m,0.0708,0.0705,OPEN_ROAD,EXCITED,1.29,0.0,11.9,4.7,70414614.0,1.0,44.7,36.0,8.0,37.69,MED,3.27,0.0832,0.0731,0.0932,27.5,DISCOUNT,DISCOUNT,0,2,0,2.4,D,,,,False,0.012777857142857146,4.03,N/A,
ZBAO,Long,PULLBACK,T2-LONG,100,0.1725,0.1115,0.2945,,2.0,0.061,0.1725,3.1,APPROACH,5,5,"10m,1h,1m,30m,5m",0.1672,0.1615,OPEN_ROAD,EXCITED,5.45,0.0,0.1,0.1,2748816.0,0.0,58.3,38.0,8.0,9.13,LOW,0.65,0.158,0.159,0.157,-1.3,PREMIUM,PREMIUM,0,2,0,3.5,D,,,,False,0.07080714285714286,0.86,N/A,
ET,Long,BOUNCE,T3-LONG_WATCH,70,20.24,19.5293,21.6614,,2.0,0.7107,20.24,0.1,CLOSE,2,2,"10m,5m",20.22,20.1333,HIGHWAY,EXCITED,1.1,2940690.0,0.7,1.1,0.0,0.0,3.4,15.0,8.0,3090.37,MEGA,0.0,20.23,20.2,20.26,0.3,FLAT,FLAT,171,2,111,99.9,C,,,,False,0.32528571428571446,2.18,N/A,
NTSK,Long,BOUNCE,T3-LONG_WATCH,49,12.1,11.6012,13.0976,,2.0,0.4988,12.1,0.8,CLOSE,1,1,1d,12.0,11.96,OPEN_ROAD,EXCITED,0.7,13260876.0,0.7,0.6,0.0,0.0,11.0,23.0,8.0,172.01,HIGH,0.02,11.98,11.96,12.0,0.3,FLAT,FLAT,131,6,50,4.5,B,,,,True,1.0129214285714288,0.49,N/A,
CNQ,Long,PULLBACK,T1-STRONG_LONG,100,47.28,43.1941,55.4518,,2.0,4.0859,47.28,3.1,APPROACH,4,4,"1d,1h,30m,4h",45.81,44.53,OPEN_ROAD,EXCITED,1.38,625583594.0,0.5,0.9,0.0,0.0,7.1,51.0,8.0,2033.41,MEGA,0.0,46.225,46.45,46.0,-1.0,PREMIUM,DISCOUNT,2522,6,1266,99.9,A,,,,False,1.2430642857142853,3.29,N/A,
CCO,Long,BREAKOUT,T2-LONG,58,2.41,2.3328,2.5644,,2.0,0.0772,2.41,0.0,INSIDE,3,3,,,,OPEN_ROAD,EXCITED,1.01,,,,,,,,,,MEGA,0.01,2.405,2.4,2.41,0.4,FLAT,FLAT,17,4,5,99.9,D,False,1.0,True,True,0.01571428571428573,4.91,N/A,
INTC,Long,PULLBACK,T1-STRONG_LONG,91,85.97,79.5303,100.98,,2.3,6.4397,91.13,5.7,APPROACH,4,4,"10m,15m,30m,5m",85.97,81.99,HIGHWAY,EXCITED,3.11,21073154180.0,1.2,1.3,1253113.0,0.0,24.4,42.0,8.0,4601.09,MEGA,0.03,84.195,81.88,86.51,5.7,PREMIUM,MID,4216,14,3670,10.8,A,,,,False,7.978928571428569,0.81,N/A,
MGRX,Long,PULLBACK,T2-LONG,100,0.2936,0.232,0.4168,,2.0,0.0616,0.2936,3.6,APPROACH,1,1,1m,0.2829,0.282,OPEN_ROAD,EXCITED,4.99,0.0,17.5,5.9,23541256.0,1.0,128.7,24.0,8.0,13.43,LOW,6.0,0.4863,0.5527,0.42,-24.0,DISCOUNT,DISCOUNT,0,3,0,8.4,D,,,,False,0.07178571428571427,0.86,N/A,
GOSS,Long,BOUNCE,T2-LONG,66,0.1783,0.0949,0.3451,0.2054,2.0,0.0834,0.1783,2.7,CLOSE,1,1,1d,0.1735,0.1449,OPEN_ROAD,EXCITED,18.66,1071336726.0,0.7,1.9,6285135.0,2.0,103.0,28.0,8.0,150.35,HIGH,0.2,0.2054,0.2067,0.2042,-1.2,DISCOUNT,DISCOUNT,10,5,0,8.3,D,,,,False,0.03275642857142857,2.55,N/A,
