idea_id,day,source,ticker,setup,side,tier,score,score_band,entry_type,entry,stop,target,shares,rr,first_seen,last_seen,outcome,result_r,mfe_r,mae_r,current_r,fill_time,exit_time,last_px,spy_regime,relative_volume_today,obv_state,notes
0b7b4ab96e57e019,2026-08-20,live_state_lookup,POST,BEAR_REJECTION_PENDING,SHORT,CONVICTION,77.0,70-79,LIMIT,80.43,90.68,76.41,9,0.39,2026-08-20T04:02:52,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.833,RISING,LIMIT SHORT @ $80.43 (2% rally cap; anchor at $85.44 too far). Stop $90.68. Anchor: daily 480tk bear.
7dfd3e7cd13aaded,2026-08-20,live_state_lookup,CALM,BULL_BOUNCE_PENDING,LONG,CONVICTION,76.9,70-79,STOP,78.94,74.09,92.0,47,2.69,2026-08-20T04:02:54,2026-08-20T10:18:06,NOT_EVALUATED,,,,,,,,CHOP,0.031,FALLING,"BUY-STOP @ $81.30 (above today's high $81.22). Stop $79.18 (1.0xATR). Score 77, strength=2/4, regime=CHOP. BREAKOUT_FOLLOW."
432565be026b6c3b,2026-08-20,live_state_lookup,SITE,BEAR_REJECTION_PENDING,SHORT,CONVICTION,76.2,70-79,LIMIT,98.57,101.07,91.17,39,2.96,2026-08-20T04:02:58,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.602,RISING,LIMIT SHORT @ $98.57 on rally (0.5% above current $98.10). Stop $101.07. Anchor: 30m 200tk bear.
a096bff1ff171869,2026-08-20,live_state_lookup,ESAB,BEAR_REJECTION_PENDING,SHORT,CONVICTION,75.9,70-79,LIMIT,80.02,81.24,76.02,83,3.28,2026-08-20T05:08:09,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,HOSTILE,0.3,FALLING,LIMIT SHORT @ $78.08 on rally (0.3% above current $77.85). Stop $79.28. Anchor: daily 82tk bear.
85d625d3e6cf0abd,2026-08-20,live_state_lookup,RYAN,BEAR_REJECTION_PENDING,SHORT,CONVICTION,75.0,70-79,LIMIT,43.78,44.69,40.14,109,3.99,2026-08-20T04:02:38,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.524,FALLING,LIMIT SHORT @ $43.78 on rally (1.7% above current $43.06). Stop $44.69. Anchor: daily 69tk bear.
147b354ca607817f,2026-08-20,live_state_lookup,HII,BEAR_REJECTION_PENDING,SHORT,CONVICTION,74.9,70-79,LIMIT,316.16,318.92,307.01,33,3.32,2026-08-20T04:03:04,2026-08-20T09:31:06,NOT_EVALUATED,,,,,,,,HOSTILE,0.197,FALLING,LIMIT SHORT @ $310.32 on rally (0.1% above current $310.00). Stop $313.32. Anchor: daily 144tk bear.
9f4c09a8324ce8de,2026-08-20,live_state_lookup,CHRW,BEAR_REJECTION_PENDING,SHORT,CONVICTION,74.8,70-79,LIMIT,147.41,154.37,123.22,14,3.48,2026-08-20T04:02:40,2026-08-20T12:42:32,NOT_EVALUATED,,,,,,,,CHOP,0.476,FALLING,LIMIT SHORT @ $147.41 (2% rally cap; anchor at $152.58 too far). Stop $154.37. Anchor: daily 102tk bear.
8c808b874175fd46,2026-08-20,live_state_lookup,CALM,BULL_BOUNCE_PENDING,LONG,CONVICTION,74.7,70-79,LIMIT,78.94,74.09,92.0,20,2.69,2026-08-20T04:02:54,2026-08-20T08:00:42,NOT_EVALUATED,,,,,,,,CHOP,0.953,FALLING,LIMIT BUY @ $78.94 (2% pullback cap; anchor at $75.10 too far). Stop $74.09. Anchor: 1h 129tk.
f83919af05388a9c,2026-08-20,live_state_lookup,GXO,BULL_BOUNCE_PENDING,LONG,CONVICTION,74.5,70-79,LIMIT,45.07,42.62,52.26,10,2.93,2026-08-20T09:27:13,2026-08-20T10:18:06,NOT_EVALUATED,,,,,,,,CHOP,0.174,FALLING,LIMIT BUY @ $45.07 (2% pullback cap; anchor at $43.77 too far). Stop $42.62. Anchor: daily 189tk.
2aad00003c3f3efd,2026-08-20,live_state_lookup,LGN,BULL_BOUNCE_PENDING,LONG,CONVICTION,74.3,70-79,LIMIT,61.31,59.1,65.21,21,1.76,2026-08-20T04:02:39,2026-08-20T10:18:06,NOT_EVALUATED,,,,,,,,CHOP,0.257,RISING,LIMIT BUY @ $59.57 (2% pullback cap; anchor at $56.52 too far). Stop $55.02. Anchor: 1h 245tk.
