ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
MBGL,Long,BOUNCE,T2-LONG,53,20.27,19.109,22.592,20.485,2.0,1.161,20.27,2.4,CLOSE,1,1,4h,19.79,19.7,OPEN_ROAD,EXCITED,1.08,10456064,0.9,0.8,0,0,7.4,12,8,294.73,MEGA,0.01,20.485,20.55,20.42,-0.6,DISCOUNT,DISCOUNT,50,3,32,4.1,C,False,0.8279785714285711,1.4,N/A,
BTE,Long,BOUNCE,T3-LONG_WATCH,62,4.82,4.5396,5.3808,,2.0,0.2804,4.82,0.4,CLOSE,2,2,"4h,5m",4.8,4.68,OPEN_ROAD,EXCITED,2.71,33904913,0.8,0.9,0,0,8.8,43,8,696.21,MEGA,0.02,4.68,4.68,4.68,0.0,FLAT,FLAT,165,10,82,2.8,C,True,0.152807142857143,1.83,N/A,
REI,Long,BOUNCE,T1-STRONG_LONG,83,1.47,1.375,1.88,,4.3,0.095,1.47,0.0,CLOSE,6,4,"10m,1h,30m,5m",1.4697,1.425,OPEN_ROAD,EXCITED,2.55,0,1.3,1.0,0,0,8.3,33,8,220.27,MEGA,0.02,1.4,1.4,1.4,0.0,FLAT,FLAT,32,7,23,27.9,C,True,0.05999285714285718,1.58,N/A,
INIO,Long,BOUNCE,T2-LONG,77,22.54,21.3012,25.0176,23.51,2.0,1.2388,22.54,0.8,CLOSE,2,2,"1h,4h",22.35,21.96,OPEN_ROAD,EXCITED,0.62,36759351,0.6,0.8,0,0,12.1,34,8,414.97,MEGA,0.01,23.51,23.36,23.66,1.3,DISCOUNT,DISCOUNT,118,1,0,4.7,D,False,1.575514285714286,0.79,N/A,
PTEN,Long,PULLBACK,T3-LONG_WATCH,75,12.26,11.3975,13.985,,2.0,0.8625,12.26,3.9,APPROACH,2,2,"1h,4h",11.78,11.75,HIGHWAY,EXCITED,2.88,19554419,1.4,1.3,0,0,13.7,31,8,373.52,MEGA,0.03,11.685,11.75,11.62,-1.1,PREMIUM,PREMIUM,599,13,464,99.9,A,True,0.5506785714285715,1.57,N/A,
BMNR,Long,BOUNCE,T1-STRONG_LONG,100,25.63,24.2597,28.73,,2.3,1.3703,25.63,1.2,CLOSE,6,6,"10m,15m,1h,30m,4h,5m",25.32,25.01,HIGHWAY,EXCITED,4.02,1097589060,1.5,1.3,1568274,0,22.9,48,8,594.47,MEGA,0.1,25.41,24.91,25.91,4.0,PREMIUM,DISCOUNT,1511,9,652,12.1,A,False,1.3489357142857143,1.02,N/A,
IREN,Long,BOUNCE,T3-LONG_WATCH,81,40.53,38.5866,44.4168,,2.0,1.9434,40.53,0.5,CLOSE,2,2,"10m,5m",40.31,39.78,OPEN_ROAD,EXCITED,4.12,209766518,1.1,0.9,1096365,0,16.7,36,8,357.38,MEGA,0.14,40.115,39.58,40.65,2.7,PREMIUM,MID,3473,5,1255,2.6,C,False,3.2607428571428585,0.6,N/A,
GTM,Long,PULLBACK,T1-STRONG_LONG,100,3.84,3.6763,4.185,,2.1,0.1637,4.08,5.9,APPROACH,7,6,"10m,15m,1d,30m,4h,5m",3.84,3.79,HIGHWAY,EXCITED,2.98,25172654,0.9,0.6,0,0,11.4,44,8,229.39,MEGA,0.03,3.82,3.8,3.84,1.1,PREMIUM,MID,206,6,171,2.6,C,True,0.2503714285714285,0.65,N/A,
NVDA,Long,BOUNCE,T1-STRONG_LONG,100,227.98,203.9425,276.055,,2.0,24.0375,227.98,3.0,CLOSE,5,5,"10m,15m,1d,30m,5m",221.22,210.25,HIGHWAY,EXCITED,8.99,370271080365,2.4,1.6,1368488,1,11.2,31,8,23226.19,MEGA,0.01,216.26,209.66,222.86,6.3,PREMIUM,MID,11853,5,4869,99.9,A,False,6.512692857142857,3.69,N/A,
UBXG,Long,BOUNCE,T2-LONG,100,5.03,4.4621,8.7965,5.2,6.6,0.5679,5.03,3.0,CLOSE,1,1,4h,4.88,4.6014,HIGHWAY,EXCITED,1.32,9400005,0.2,0.6,0,1,195.8,9,3,0.59,NANO,0.46,5.2,5.04,5.36,6.3,DISCOUNT,DISCOUNT,40,2,1,74.9,C,True,,,N/A,
