ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
DFNS,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,35.9,1h,log_regression,MID,0.368,6,24.0,33.88,daily,5.63,98.72,nearest_support_gap_hi,35.75,True,False,0.42,0.42,258.6,258.6,5.85,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,deep_damage_pullback
WAY,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,24.02,1h,log_regression,MID,0.498,29,22.51,23.15,weekly,3.62,98.33,nearest_support_gap_hi,23.69,True,True,1.37,1.39,13.12,13.12,5.04,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 13.12% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
DXC,EARLY_STRUCTURAL_MATCH,100.0,71.0,71.0,TOO_EARLY_OR_LOOSE,11.3,1h,log_regression,AT_UPPER,0.709,25,8.82,8.97,weekly,20.62,100.0,upper,11.87,True,False,-5.04,-4.8,19.8,19.8,10.62,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 19.8% from recent high | room back to recent high,mid_high_channel_location | too_early_or_loose_for_trigger | early_positive_momentum
