ticker,side,tier,fem,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
NVDA,Long,T2-LONG,21,180.3,178.23,203.97,198.37,200.4,195.74,123604755.0,10.02,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
META,Long,T1-STRONG_LONG,58,639.37,635.0,687.99,672.4,678.5,664.22,0.0,5.17,NO_FILL,0.0,True,2026-04-15_1437,2026-04-12_2000
XOM,Short,T3-SHORT,95,165.77,169.66,147.61,149.0,150.23,146.9,1490583833.0,10.12,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
COST,Short,T3-SHORT,80,1029.0,1049.58,944.42,984.0,985.38,968.3,0.0,4.37,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
ORCL,Long,T2-LONG,100,164.62,155.91,182.04,170.79,172.56,166.21,2096324741.0,3.75,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
MU,Long,T1-STRONG_LONG,91,434.51,426.49,504.83,454.01,463.95,439.32,0.0,4.49,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
CVX,Short,T2-SHORT,95,201.99,206.9,181.98,184.7,187.24,184.04,549282668.0,8.56,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
ABBV,Short,T3-SHORT,95,213.99,218.2698,199.76,208.38,209.82,205.54,592359130.0,2.62,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
AMD,Long,T1-STRONG_LONG,55,238.95,237.1,273.04,257.58,258.18,251.85,1477588755.0,7.8,NO_FILL,0.0,True,2026-04-15_1437,2026-04-12_2000
BAC,Long,T2-LONG,31,51.37,50.48,56.69,54.25,55.4,53.7,0.0,5.61,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
PLTR,Long,T1-STRONG_LONG,76,130.23,128.33,139.4,142.02,142.58,134.93,0.0,9.05,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
CAT,Long,T1-STRONG_LONG,34,753.1,725.73,862.77,769.65,789.97,756.65,0.0,2.2,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
AMAT,Long,T1-STRONG_LONG,35,377.78,356.0,435.28,393.38,394.61,379.68,0.0,4.13,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
LRCX,Long,T1-STRONG_LONG,36,248.33,246.49,298.33,264.99,267.99,255.48,1298634560.0,6.71,NO_FILL,0.0,True,2026-04-15_1437,2026-04-12_2000
WFC,Short,T3-SHORT,80,83.16,84.8232,77.45,80.46,81.69,80.15,1421819559.0,3.25,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
PM,Short,T2-SHORT,95,162.47,165.7194,145.74,157.14,159.55,157.11,0.0,3.28,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
GEV,Long,T1-STRONG_LONG,35,930.55,910.94,1064.06,989.0,1003.99,973.68,1747497525.0,6.28,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
TMUS,Short,T3-SHORT,95,191.21,195.0342,179.7374,190.48,192.13,188.8,1834039775.0,0.38,WINNING,0.19,False,2026-04-15_1437,2026-04-12_2000
VZ,Short,T2-SHORT,95,48.16,49.1232,41.38,45.03,45.38,44.93,0.0,6.5,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
AXP,Long,T2-LONG,35,314.94,307.12,343.35,329.18,332.4,327.24,0.0,4.52,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
C,Long,T1-STRONG_LONG,37,121.73,117.7,141.46,131.87,132.86,130.57,1265003527.0,8.33,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
KLAC,Long,T1-STRONG_LONG,40,1635.33,1548.91,2042.91,1748.11,1770.32,1680.51,0.0,6.9,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
T,Short,T2-SHORT,95,26.63,27.1626,24.43,25.45,25.77,25.42,0.0,4.43,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
ABT,Short,T2-SHORT,95,103.0,105.06,96.82,101.55,102.48,100.63,135212199.0,1.41,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
TXN,Long,T1-STRONG_LONG,35,206.16,200.38,237.36,216.38,218.31,211.7,1633495972.0,4.96,NO_FILL,0.0,False,2026-04-15_1437,2026-04-12_2000
CRM,Long,T2-LONG,51,165.77,165.31,192.14,177.89,179.62,172.88,0.0,7.31,NO_FILL,0.0,True,2026-04-15_1437,2026-04-12_2000
DIS,Long,T2-LONG,35,97.69,96.79,104.79,102.97,103.37,101.79,1603442698.0,5.4,NO_FILL,0.0,True,2026-04-15_1437,2026-04-12_2000
SCHW,Long,T1-STRONG_LONG,53,94.5,93.73,103.03,101.1,100.76,99.09,0.0,6.98,NO_FILL,0.0,True,2026-04-15_1437,2026-04-12_2000
