ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
MBGL,Long,BOUNCE,T1-STRONG_LONG,88,20.69,19.1284,23.8132,,2.0,1.5616,20.69,0.7,CLOSE,9,7,"10m,15m,1d,1h,30m,4h,5m",20.535,19.72,OPEN_ROAD,EXCITED,1.2,213481202.0,1.4,1.2,0.0,0.0,9.1,16.0,8.0,294.73,MEGA,0.02,19.88,19.82,19.94,0.6,PREMIUM,PREMIUM,245,2,72,2.0,C,,,,False,0.9333928571428574,1.67,N/A,
ZBAO,Long,PULLBACK,T2-LONG,100,0.185,0.1262,0.3026,0.2052,2.0,0.0588,0.185,3.5,APPROACH,3,3,"10m,1m,30m",0.1786,0.1762,OPEN_ROAD,EXCITED,1.73,0.0,0.5,0.2,7624289.0,0.0,54.7,32.0,8.0,8.14,LOW,2.24,0.2052,0.2084,0.2021,-3.0,DISCOUNT,DISCOUNT,0,2,0,7.6,D,,,,False,0.05193571428571429,1.13,N/A,
TSHA,Long,BOUNCE,T1-STRONG_LONG,100,6.43,6.0043,7.2814,,2.0,0.4257,6.43,1.3,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",6.345,6.19,HIGHWAY,EXCITED,1.11,15092882.0,1.6,1.1,0.0,0.0,14.1,16.0,8.0,232.62,MEGA,0.02,6.295,6.19,6.4,3.4,PREMIUM,MID,174,6,52,3.3,C,,,,True,0.36091428571428547,1.18,N/A,
BULL,Long,PULLBACK,T1-STRONG_LONG,100,8.015,7.6921,9.85,,5.7,0.3229,8.64,7.2,WAITING,7,7,"10m,15m,1d,1h,30m,4h,5m",8.015,7.93,HIGHWAY,EXCITED,2.21,194527837.0,3.9,2.1,1497899.0,1.0,13.6,31.0,8.0,319.31,MEGA,0.12,7.97,7.93,8.01,1.0,PREMIUM,MID,260,6,137,14.0,A,,,,True,0.34357142857142847,0.94,N/A,
PCG,Long,BREAKOUT,T2-LONG,100,17.845,16.9847,19.5656,17.885,2.0,0.8603,17.65,0.0,INSIDE,3,3,,,,HIGHWAY,EXCITED,0.87,,,,,,,,,,MEGA,0.01,17.885,17.82,17.95,0.7,DISCOUNT,DISCOUNT,78,1,30,99.9,D,False,0.7,True,True,0.5060357142857147,1.7,N/A,
MSTR,Long,PULLBACK,T1-STRONG_LONG,92,96.9,90.0645,110.571,,2.0,6.8355,104.25,7.1,WAITING,6,6,"10m,15m,1h,30m,4h,5m",96.9,92.85,OPEN_ROAD,EXCITED,4.49,12294409383.0,2.8,1.6,2913956.0,1.0,16.6,31.0,8.0,363.65,MEGA,0.14,93.53,92.52,94.54,2.2,PREMIUM,PREMIUM,3632,4,1598,2.2,C,,,,False,5.723535714285714,1.19,N/A,
AVTR,Long,BOUNCE,T1-STRONG_LONG,88,13.96,12.9301,16.0198,,2.0,1.0299,13.96,0.5,CLOSE,5,5,"10m,15m,30m,4h,5m",13.89,13.33,OPEN_ROAD,EXCITED,1.37,114764744.0,0.6,0.5,0.0,0.0,5.9,55.0,8.0,657.84,MEGA,0.01,13.445,13.33,13.56,1.7,PREMIUM,PREMIUM,1541,9,403,99.9,A,,,,True,0.43314285714285716,2.38,N/A,
ARI,Long,BREAKOUT,T3-LONG_WATCH,79,6.925,6.6445,7.486,,2.0,0.2805,6.9,0.0,INSIDE,2,2,,,,MIXED,EXCITED,2.78,,,,,,,,,,HIGH,0.03,6.835,6.82,6.85,0.4,FLAT,FLAT,69,2,23,2.8,C,False,0.9,True,True,0.141992857142857,1.98,N/A,
EW,Long,BOUNCE,T1-STRONG_LONG,93,92.28,88.0857,100.6686,,2.0,4.1943,92.28,0.1,CLOSE,8,7,"10m,15m,1d,1h,30m,4h,5m",92.19,90.81,OPEN_ROAD,EXCITED,1.73,266722919.0,0.8,0.7,0.0,0.0,3.7,26.0,8.0,574.49,MEGA,0.01,91.225,90.98,91.47,0.5,PREMIUM,PREMIUM,1235,2,354,2.1,C,,,,False,1.9653571428571428,2.13,N/A,
BMNR,Long,PULLBACK,T1-STRONG_LONG,100,18.53,17.5376,24.08,,5.6,0.9924,20.24,8.4,WAITING,8,6,"10m,15m,1d,1h,30m,4h",18.53,18.08,HIGHWAY,EXCITED,3.14,2602353485.0,2.3,1.3,2253454.0,1.0,20.1,33.0,8.0,594.47,MEGA,0.13,18.405,18.28,18.53,1.4,PREMIUM,DISCOUNT,1172,6,215,19.0,A,,,,False,1.0385642857142865,0.96,N/A,
CTSH,Long,BOUNCE,T3-LONG_WATCH,71,60.93,56.0466,70.6968,,2.0,4.8834,60.93,1.9,CLOSE,2,2,"1h,4h",59.76,57.78,HIGHWAY,EXCITED,1.07,454251792.0,0.7,0.6,0.0,0.0,8.8,45.0,8.0,449.16,MEGA,0.02,57.78,57.78,57.78,0.0,FLAT,FLAT,3849,10,2713,15.8,A,,,,False,2.521142857142857,1.94,N/A,
CRCL,Long,PULLBACK,T1-STRONG_LONG,100,78.59,70.2242,95.3216,,2.0,8.3658,78.59,3.9,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",75.5,72.3961,OPEN_ROAD,EXCITED,9.52,7826153461.0,2.0,1.2,1331354.0,1.0,16.0,37.0,8.0,201.43,MEGA,0.12,72.7475,71.73,73.765,2.8,PREMIUM,PREMIUM,3285,4,1535,8.0,A,,,,False,5.090242857142856,1.64,N/A,
XP,Long,BOUNCE,T2-LONG,91,16.53,15.3648,18.8604,,2.0,1.1652,16.53,1.2,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",16.33,15.84,OPEN_ROAD,EXCITED,1.59,450282313.0,1.3,1.6,0.0,1.0,8.2,15.0,8.0,405.51,MEGA,0.01,16.04,15.84,16.24,2.5,PREMIUM,MID,247,1,124,2.5,D,,,,True,0.5440500000000005,2.14,N/A,
LGHL,Long,PULLBACK,T3-LONG_WATCH,82,0.65,0.5899,0.7976,,2.5,0.0601,0.701,7.3,WAITING,1,1,1m,0.65,0.6399,HIGHWAY,EXCITED,3.75,126527.0,3.4,1.3,1097082.0,1.0,87.8,50.0,8.0,0.46,NANO,59.45,0.5594,0.5584,0.5604,0.3,FLAT,FLAT,6,4,2,13.8,D,,,,False,0.1395357142857143,0.43,N/A,
UBXG,Long,BOUNCE,T2-LONG,96,5.03,4.4621,8.7965,5.2,6.6,0.5679,5.03,3.0,CLOSE,1,1,4h,4.88,4.6014,HIGHWAY,EXCITED,1.32,9400005.0,0.2,0.6,0.0,1.0,195.8,10.0,3.0,0.59,NANO,0.46,5.2,5.04,5.36,6.3,DISCOUNT,DISCOUNT,40,2,1,74.9,C,,,,True,,,N/A,
