date,picks,scored,wins,stops,closes,no_data,wr,pnl_day,pnl_cumulative,top7_picks,top7_wins,top7_stops,top7_wr,top7_pnl,top7_cum,b60_69_n,b60_69_wr,b60_69_pnl,b70_79_n,b70_79_wr,b70_79_pnl,b80_89_n,b80_89_wr,b80_89_pnl,b90p_n,b90p_wr,b90p_pnl
2026-05-21,106,98,14,44,40,8,14.3,-1176.0,-1176.0,7,2,4,33.3,-100.0,-100.0,53,10.4,62.0,32,12.9,-1426.0,18,25.0,238.0,3,33.3,-50.0
2026-05-22,124,117,20,58,39,7,17.1,-2103.0,-3279.0,7,1,3,14.3,-283.0,-383.0,41,30.6,582.0,45,11.4,-1516.0,25,12.5,-629.0,13,7.7,-540.0
2026-05-26,163,159,35,75,49,4,22.0,-1250.0,-4529.0,7,0,4,0.0,-349.0,-732.0,64,36.1,1734.0,57,15.8,-1648.0,25,12.0,-634.0,17,6.2,-702.0
