ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
AVGO,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,369.56,381.9,350.63,315.06,8,1.53,HOSTILE,362.31,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:37:07.677846
VSXY,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,73.51,75.94,69.83,,41,1.51,HOSTILE,73.28,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:43:06.511890
BRKR,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,54.07,62.4,51.37,,12,0.32,HOSTILE,53.56,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:43:27.061473
BRZE,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,25.0,30.46,23.75,,18,0.23,HOSTILE,24.51,LIMIT,12,CONVICTION,2026-09-11,2026-09-11T04:43:28.100476
DDOG,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,227.09,284.59,215.74,,1,0.2,HOSTILE,222.64,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T04:43:48.267514
DPZ,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,320.22,323.57,312.32,310.51,29,2.36,HOSTILE,317.3,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:46:31.632841
KKR,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,102.51,104.61,94.64,86.1,47,3.75,HOSTILE,100.5,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:46:48.264871
SRPT,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,20.94,36.36,19.89,,6,0.07,HOSTILE,20.53,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:47:21.662043
TPG,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,47.0,48.63,44.23,43.0,61,1.7,HOSTILE,46.93,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T04:51:00.868672
PODD,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,136.74,138.61,131.21,132.14,53,2.96,HOSTILE,134.7972,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:54:09.283930
TDC,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,27.52,32.08,26.14,,21,0.3,HOSTILE,27.21,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T04:54:15.288474
BTC,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,34.52,37.27,30.04,,36,1.63,HOSTILE,34.2,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:54:53.418154
IBIT,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,44.25,47.73,37.85,,28,1.84,HOSTILE,43.78,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:55:30.405834
RVTY,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,122.72,124.47,116.02,114.86,57,3.82,HOSTILE,120.31,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:56:54.253751
LULU,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,98.71,100.53,95.82,,54,1.59,HOSTILE,96.94,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T04:57:35.637379
ESAB,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,70.68,73.17,67.14,,40,1.41,HOSTILE,69.29,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T04:58:42.319136
BBY,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,88.48,93.34,79.36,75.88,20,1.87,HOSTILE,88.09,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T05:01:03.933839
AMZU,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,35.62,36.85,31.48,31.95,81,3.37,HOSTILE,35.59,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T05:01:42.467980
ALMS,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,10.25,21.43,9.74,,8,0.05,HOSTILE,10.08,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T05:04:40.620556
ENTG,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,137.64,141.19,117.11,128.71,28,5.78,HOSTILE,137.42,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T05:05:37.223436
DYN,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,18.42,24.4,17.5,,16,0.15,HOSTILE,18.35,LIMIT,5,CONVICTION,2026-09-11,2026-09-11T05:06:25.330044
NXPI,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,229.56,233.88,196.41,204.27,23,7.67,HOSTILE,227.7,LIMIT,15,CONVICTION,2026-09-11,2026-09-11T05:07:13.583349
KMB,SHORT,CONVICTION,100.0,BEAR_REJECTION_PENDING,100.95,103.44,96.31,93.91,40,1.86,HOSTILE,98.97,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T05:07:36.514037
MHK,SHORT,CONVICTION,99.5,BEAR_REJECTION_PENDING,125.75,128.58,115.66,115.08,35,3.57,HOSTILE,124.63,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T05:03:24.256716
CEG,SHORT,CONVICTION,99.3,BEAR_REJECTION_PENDING,290.16,295.37,255.42,253.5,19,6.66,HOSTILE,288.34,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T05:02:40.705301
AAPL,SHORT,CONVICTION,99.2,BEAR_REJECTION_PENDING,332.13,339.88,311.47,307.58,12,2.67,HOSTILE,325.62,LIMIT,12,CONVICTION,2026-09-11,2026-09-11T04:34:11.059300
XXRP,SHORT,CONVICTION,97.1,BEAR_REJECTION_PENDING,30.84,33.08,27.21,,44,1.62,HOSTILE,30.73,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:58:12.772070
FSK,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,12.1,13.2,10.12,,91,1.81,HOSTILE,11.9,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T04:41:49.942183
ARKB,SHORT,CONVICTION,97.0,BEAR_REJECTION_PENDING,25.8,28.04,21.88,,44,1.75,HOSTILE,25.65,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:54:31.161570
PYPL,SHORT,CONVICTION,96.8,BEAR_REJECTION_PENDING,53.73,61.78,51.05,,12,0.33,HOSTILE,53.32,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:33:54.627182
NEBX,SHORT,CONVICTION,96.8,BEAR_REJECTION_PENDING,27.6,32.53,26.22,,20,0.28,HOSTILE,27.06,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:46:55.247295
WMG,SHORT,CONVICTION,96.7,BEAR_REJECTION_PENDING,27.89,29.25,24.5,23.82,73,2.5,HOSTILE,27.84,LIMIT,20,COMPRESSION,2026-09-11,2026-09-11T04:53:42.469328
DXCM,SHORT,CONVICTION,96.7,BEAR_REJECTION_PENDING,86.59,88.34,79.88,74.31,57,3.84,HOSTILE,85.9351,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:57:18.260332
AEO,SHORT,CONVICTION,96.5,BEAR_REJECTION_PENDING,14.69,16.97,13.95,,43,0.32,HOSTILE,14.53,LIMIT,11,CONVICTION,2026-09-11,2026-09-11T04:58:19.180081
SITE,SHORT,CONVICTION,96.5,BEAR_REJECTION_PENDING,96.32,98.3,91.5,,50,2.43,HOSTILE,94.78,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T05:05:52.817958
KSPI,SHORT,CONVICTION,96.4,BEAR_REJECTION_PENDING,97.99,100.5,91.45,90.3,39,2.61,HOSTILE,97.79,LIMIT,20,CONVICTION,2026-09-11,2026-09-11T04:48:35.533423
