ticker,side,tier,fem,mode,entry,stop,t1,last_px,high,low,volume,chg_pct,outcome,result_r,stop_adjusted,checked_at,scan_date
NOK,Long,T1-STRONG_LONG,100,PULLBACK,11.645,10.9707,12.9936,13.3,13.89,12.87,141887740,14.21,NO_FILL,0.0,False,2026-05-01_1351,2026-05-01_0525
NVDA,Long,T3-LONG_WATCH,75,BREAKOUT,199.7957,192.9842,213.4187,198.45,203.0,197.12,127559572,-0.67,LOSING,-0.2,False,2026-05-01_1351,2026-05-01_0525
INTC,Long,T1-STRONG_LONG,92,PULLBACK,86.1,82.0523,94.1954,99.62,100.45,92.61,156331979,15.7,NO_FILL,0.0,False,2026-05-01_1351,2026-05-01_0525
SLNH,Long,T3-LONG_WATCH,59,BOUNCE,1.66,1.545,2.51,1.58,1.68,1.49,25109755,-4.82,STOPPED,-1.0,False,2026-05-01_1351,2026-05-01_0525
AIXI,Long,T3-LONG_WATCH,75,BOUNCE,0.9737,0.855,1.2111,0.8149,0.8653,0.77,10505639,-16.31,STOPPED,-1.0,False,2026-05-01_1351,2026-05-01_0525
FNMA,Long,T3-LONG_WATCH,63,PULLBACK,8.18,7.5078,9.5244,8.15,8.44,8.1,4816121,-0.37,LOSING,-0.04,False,2026-05-01_1351,2026-05-01_0525
MIR,Long,T3-LONG_WATCH,32,PULLBACK,19.75,18.1002,23.0496,19.63,19.97,18.95,3715228,-0.61,LOSING,-0.07,False,2026-05-01_1351,2026-05-01_0525
BRBR,Long,T2-LONG,70,PULLBACK,16.79,15.8886,18.5928,17.2,18.43,17.15,3800235,2.44,NO_FILL,0.0,False,2026-05-01_1351,2026-05-01_0525
TVTX,Long,T1-STRONG_LONG,100,PULLBACK,42.12,38.897,48.566,44.12,44.7,42.085,2187859,4.75,WINNING,0.62,False,2026-05-01_1351,2026-05-01_0525
HGV,Long,T1-STRONG_LONG,100,PULLBACK,46.97,42.098,56.714,45.94,48.0,45.8201,942199,-2.19,LOSING,-0.21,False,2026-05-01_1351,2026-05-01_0525
NTRA,Long,T1-STRONG_LONG,83,PULLBACK,206.16,188.9075,240.665,207.28,208.6621,200.07,945626,0.54,WINNING,0.06,False,2026-05-01_1351,2026-05-01_0525
PI,Long,T1-STRONG_LONG,100,BOUNCE,144.92,109.465,215.83,147.21,151.1,139.36,649910,1.58,WINNING,0.06,False,2026-05-01_1351,2026-05-01_0525
UCTT,Long,T1-STRONG_LONG,100,PULLBACK,73.1,69.9758,79.3484,74.61,77.66,73.61,1275635,2.07,NO_FILL,0.0,False,2026-05-01_1351,2026-05-01_0525
HNGE,Long,T3-LONG_WATCH,69,BOUNCE,44.6,42.6897,48.4206,45.43,45.74,44.6,636243,1.86,WINNING,0.43,False,2026-05-01_1351,2026-05-01_0525
CECO,Long,T1-STRONG_LONG,100,PULLBACK,67.74,62.9724,77.2752,74.3,75.095,72.67,499173,9.68,NO_FILL,0.0,False,2026-05-01_1351,2026-05-01_0525
