ticker,side,pm_gap_down_pct,pm_last_drop_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_weak,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase,gap_tier,atr_14,float_m,borrow_risk
DXF,SHORT,30.11,19.07,1.25,0.479,0.6845,0.5547,8007082,21547,371.61,0.1,True,0.6854,0.5547,0.5602,0.5436,18027,100.0,314.8079,1.078,WEAK,SHORT_GENESIS,SHORT_GENESIS,EXTREME,0.329,3.24,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
CRE,SHORT,16.67,-26.14,5.6697,2.2,3.15,3.33,5555494,397513,13.98,0.33,True,2.64,3.33,3.3633,3.2634,3003,100.0,73.3254,1.03,NEUTRAL,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.2189,2.01,MEDIUM
ELAB,SHORT,5.65,-2.84,2.3199,1.67,1.71,1.8202,3880791,107538,36.09,0.23,True,1.77,1.8202,1.8384,1.7838,5493,99.98,31.1007,0.946,NEUTRAL,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.2054,4.54,HIGH (low-priced low-float — verify locate before entering)
SMMT,SHORT,4.33,3.93,19.69,16.78,19.51,16.85,1524710,91616,16.64,0.02,True,17.54,16.85,17.0185,16.513,593,99.92,23.0618,0.946,NEUTRAL,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,1.1167,776.16,LOW
INTC,SHORT,7.73,5.76,114.44,105.81,113.46,108.07,7797307,3822902,2.04,0.26,True,114.68,108.07,109.1507,105.9086,92,99.42,15.1227,0.922,STRONG,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,9.3379,5026.0,LOW
HOOD,SHORT,4.94,3.31,94.98,89.6411,94.98,91.1784,1361411,676638,2.01,0.29,True,94.3,91.1784,92.0902,89.3548,109,99.38,10.9684,1.078,WEAK,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,4.9275,900.51,LOW
SUUN,SHORT,3.81,-11.0,1.04,0.8316,0.8645,0.9596,1495013,331260,4.51,0.61,False,0.8645,0.9596,0.9692,0.9404,10421,100.0,9.516,1.126,COLD,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,0.1089,46.96,"EXTREME (sub-$1.50, locate often unavailable or > $5/share/day)"
