ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,stop_adjusted,vol_ratio,vol_hot,news
NOK,Long,PULLBACK,T1-STRONG_LONG,100,11.645,10.9707,12.9936,12.38,2.0,0.6743,12.91,9.8,WAITING,4,4,"1d,1h,30m,4h",11.645,11.31,HIGHWAY,EXCITED,6301456187.0,1.3,1.4,1488250.0,0.0,25.3,62.0,8.0,4443.63,MEGA,0.03,12.38,12.46,12.3,-1.3,PREMIUM,DISCOUNT,987,17,471,99.9,A,,,,
NVDA,Long,BREAKOUT,T3-LONG_WATCH,75,199.7957,192.9842,213.4187,,2.0,6.8115,199.57,0.0,INSIDE,2,2,,,,OPEN_ROAD,EXCITED,,,,,,,,,,MEGA,0.01,209.59,209.25,209.93,0.3,FLAT,FLAT,5645,11,3759,5.1,B,False,1.5,True,
INTC,Long,PULLBACK,T1-STRONG_LONG,92,86.1,82.0523,94.1954,,2.0,4.0477,94.48,8.9,WAITING,2,2,"1d,30m",86.1,84.59,HIGHWAY,EXCITED,31633780094.0,1.2,1.3,1203731.0,1.0,20.2,53.0,8.0,5016.85,MEGA,0.03,95.175,94.75,95.6,0.9,DISCOUNT,DISCOUNT,7207,20,4533,99.9,A,,,,
SLNH,Long,BOUNCE,T3-LONG_WATCH,59,1.66,1.545,2.51,,7.4,0.115,1.66,2.4,CLOSE,2,1,5m,1.62,1.595,HIGHWAY,EXCITED,1711528.0,2.7,1.8,1432601.0,2.0,88.5,58.0,8.0,78.81,HIGH,0.62,1.3475,1.28,1.415,10.5,PREMIUM,PREMIUM,84,16,40,51.2,C,,,,
AIXI,Long,BOUNCE,T3-LONG_WATCH,75,0.9737,0.855,1.2111,,2.0,0.1187,0.9737,2.3,CLOSE,2,2,"1d,1m",0.9514,0.905,HIGHWAY,EXCITED,694691028.0,0.2,0.4,1647023.0,0.0,99.4,40.0,8.0,28.67,MED,1.12,0.9252,0.899,0.9514,5.8,PREMIUM,MID,171,10,91,3.7,C,,,,
FNMA,Long,PULLBACK,T3-LONG_WATCH,63,8.18,7.5078,9.5244,,2.0,0.6722,8.18,4.5,APPROACH,2,2,"1h,4h",7.81,7.74,OPEN_ROAD,EXCITED,14178843.0,1.1,0.9,0.0,0.0,22.4,14.0,8.0,1158.1,MEGA,0.01,7.67,7.69,7.65,-0.5,PREMIUM,PREMIUM,277,6,240,7.2,B,,,,
MIR,Long,PULLBACK,T3-LONG_WATCH,32,19.75,18.1002,23.0496,,2.0,1.6498,19.75,4.9,APPROACH,1,1,1d,18.79,18.66,OPEN_ROAD,EXCITED,129517392.0,1.5,1.9,0.0,1.0,18.0,11.0,8.0,226.48,MEGA,0.03,18.725,18.66,18.79,0.7,PREMIUM,MID,53,2,13,8.5,C,,,,
BRBR,Long,PULLBACK,T2-LONG,70,16.79,15.8886,18.5928,17.45,2.0,0.9014,17.8,5.7,APPROACH,1,1,1d,16.79,16.38,OPEN_ROAD,EXCITED,168278532.0,1.1,1.1,0.0,0.0,12.3,26.0,8.0,108.37,HIGH,0.03,17.45,17.54,17.36,-1.0,PREMIUM,DISCOUNT,402,4,73,2.1,C,,,,
TVTX,Long,PULLBACK,T1-STRONG_LONG,100,42.12,38.897,48.566,,2.0,3.223,42.12,3.1,APPROACH,7,7,"10m,15m,1d,1h,30m,4h,5m",40.82,40.1,HIGHWAY,EXCITED,280409423.0,0.9,0.6,0.0,0.0,7.4,23.0,8.0,91.24,HIGH,0.03,40.46,40.1,40.82,1.8,PREMIUM,MID,7343,7,305,99.9,A,,,,
HGV,Long,PULLBACK,T1-STRONG_LONG,100,46.97,42.098,56.714,,2.0,4.872,46.97,4.3,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",44.94,43.4,OPEN_ROAD,EXCITED,193670720.0,2.7,1.6,0.0,1.0,12.2,30.0,8.0,44.26,MED,0.05,44.2,43.4,45.0,3.7,PREMIUM,MID,1963,3,936,2.2,C,,,,
