ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
QXO,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,18.05,weekly,log_regression,AT_LOWER,0.146,8,16.93,17.2,daily,4.71,90.7,nearest_support_gap_hi,17.84,True,True,1.16,1.18,45.71,45.71,2.24,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high,deep_damage_pullback | overhead_gap_too_close
TSLA,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,410.9,weekly,log_regression,AT_LOWER,0.317,16,329.36,334.09,daily,18.69,93.48,nearest_support_gap_hi,406.0,True,True,1.19,1.21,10.34,10.34,3.47,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 10.34% from recent high | pre-trigger coil near reload/reclaim level | room back to recent high,
ONDS,EARLY_RECLAIM_TRIGGER,66.4,76.0,76.0,EARLY_RECLAIM_TRIGGER,8.33,weekly,log_regression,OUTSIDE_DOWN,-0.097,4,7.83,8.02,daily,3.72,95.92,nearest_support_gap_hi,8.25,True,True,0.96,0.97,69.99,69.99,3.12,OPTIONS_MISSING,"ascending channel/control | higher-timeframe channel participates | bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf | room back to recent high",late_or_far_from_channel_envelope | deep_damage_pullback | early_trigger_not_chase
