ticker,side,pm_gap_down_pct,pm_last_drop_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_weak,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase,gap_tier,atr_14,float_m,borrow_risk
IOVA,SHORT,23.47,12.96,4.2,3.13,4.11,3.56,5176418,168305,30.76,0.4,True,4.09,3.56,3.5956,3.4888,2808,99.96,114.0832,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.2479,446.5,MEDIUM
RXT,SHORT,16.3,-75.11,4.24,1.9,2.32,3.975,46291665,135857,340.74,0.89,False,2.27,3.975,4.0148,3.8955,2515,99.97,68.2815,SHORT_GENESIS,SHORT_GENESIS,STRETCHED,0.3488,249.22,MEDIUM
VEEE,SHORT,8.49,-8.69,8.0,5.5,6.17,6.5325,1439620,462816,3.11,0.41,True,6.01,6.5325,6.5978,6.4018,1530,99.95,19.6917,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,1.0222,0.53,LOW
APP,SHORT,4.21,3.16,490.0,449.11,477.0,454.0,451166,48267,9.35,0.12,True,468.83,454.0,458.54,444.92,22,99.88,18.7839,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,22.6986,336.26,LOW
COHR,SHORT,5.82,4.54,336.0,324.6,327.0,329.01,565222,213096,2.65,0.39,True,344.67,329.01,332.3001,322.4298,30,98.7,12.8048,SHORT_GENESIS,SHORT_GENESIS,IN_BAND,22.6122,187.48,LOW
