ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,scan_date,asof
CIFR,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,24.45,23.23,25.67,,81,1.0,FAVORABLE,24.45,MARKET,2026-05-28,2026-05-28T05:31:50.960193
IREN,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,65.91,59.48,69.21,,15,0.51,FAVORABLE,65.91,MARKET,2026-05-28,2026-05-28T05:33:07.082985
PL,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,49.2,46.74,53.33,,40,1.68,FAVORABLE,49.2,MARKET,2026-05-28,2026-05-28T05:33:56.427912
RDW,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,22.58,21.45,25.53,,88,2.61,FAVORABLE,22.58,MARKET,2026-05-28,2026-05-28T05:34:17.627300
VCIG,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,3.67,3.49,4.01,4.16,544,1.85,FAVORABLE,3.67,MARKET,2026-05-28,2026-05-28T05:35:04.845066
FLY,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,56.01,53.21,60.76,62.93,35,1.7,FAVORABLE,56.01,MARKET,2026-05-28,2026-05-28T05:36:01.893935
DIOD,LONG,CONVICTION,99.0,BULL_BOUNCE_PENDING,109.13,101.43,114.59,,12,0.71,FAVORABLE,109.13,MARKET,2026-05-28,2026-05-28T05:32:23.454001
APGE,LONG,CONVICTION,98.0,BULL_BOUNCE_PENDING,77.75,71.65,89.0,,16,1.84,FAVORABLE,77.75,MARKET,2026-05-28,2026-05-28T05:35:35.063765
POET,LONG,CONVICTION,98.0,BULL_BOUNCE_PENDING,13.07,12.42,13.72,,153,1.0,FAVORABLE,13.07,MARKET,2026-05-28,2026-05-28T05:36:49.326547
CLFD,LONG,CONVICTION,96.7,BULL_BOUNCE_PENDING,51.3,46.82,53.87,,22,0.57,FAVORABLE,51.3,MARKET,2026-05-28,2026-05-28T05:31:52.889641
VSAT,LONG,CONVICTION,96.1,BULL_BOUNCE_CONFIRMED,84.2,74.19,88.41,,9,0.42,FAVORABLE,84.2,LIMIT,2026-05-28,2026-05-28T05:35:13.184555
MDA,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,45.31,42.89,49.3,,41,1.65,FAVORABLE,45.31,MARKET,2026-05-28,2026-05-28T05:33:24.448193
VSCO,LONG,CONVICTION,95.2,BULL_BOUNCE_PENDING,57.0,52.19,64.63,,20,1.59,FAVORABLE,57.0,MARKET,2026-05-28,2026-05-28T05:35:15.775518
GH,LONG,CONVICTION,94.9,BULL_BOUNCE_PENDING,128.0,119.25,134.4,,11,0.73,FAVORABLE,128.0,MARKET,2026-05-28,2026-05-28T05:32:44.552470
AOSL,LONG,CONVICTION,94.7,BULL_BOUNCE_PENDING,48.48,46.06,53.0,,41,1.86,FAVORABLE,48.48,MARKET,2026-05-28,2026-05-28T05:31:05.421202
AIM,LONG,CONVICTION,91.5,BULL_BOUNCE_PENDING,0.33,0.31,0.37,0.37,6119,2.41,FAVORABLE,0.3268,MARKET,2026-05-28,2026-05-28T05:30:56.603254
STGW,LONG,CONVICTION,91.0,BULL_BOUNCE_PENDING,6.6,6.27,7.21,,303,1.85,FAVORABLE,6.6,MARKET,2026-05-28,2026-05-28T05:34:48.935270
DGXX,LONG,CONVICTION,89.0,BULL_BOUNCE_PENDING,8.21,6.6,8.62,,61,0.25,FAVORABLE,7.8023,STOP,2026-05-28,2026-05-28T05:35:51.609612
BH,LONG,CONVICTION,88.0,BULL_BOUNCE_CONFIRMED,284.25,272.38,324.26,318.94,8,3.37,FAVORABLE,284.25,LIMIT,2026-05-28,2026-05-28T05:31:35.022287
NCPL,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,1.37,1.06,1.44,,325,0.22,FAVORABLE,1.3997,LIMIT,2026-05-28,2026-05-28T05:36:30.739779
EVER,LONG,CONVICTION,87.0,BULL_BOUNCE_PENDING,19.09,14.79,20.04,,23,0.22,FAVORABLE,19.25,LIMIT,2026-05-28,2026-05-28T05:32:30.523793
WULF,LONG,CONVICTION,86.9,BULL_BOUNCE_PENDING,26.19,25.05,27.5,,88,1.15,FAVORABLE,26.38,LIMIT,2026-05-28,2026-05-28T05:35:24.668416
COHU,LONG,CONVICTION,86.8,BULL_BOUNCE_PENDING,52.92,50.55,55.56,,42,1.12,FAVORABLE,53.9979,LIMIT,2026-05-28,2026-05-28T05:31:56.157105
CRSR,LONG,CONVICTION,86.8,BULL_BOUNCE_PENDING,12.02,11.42,12.63,,165,1.0,FAVORABLE,12.27,LIMIT,2026-05-28,2026-05-28T05:32:07.684792
ANF,LONG,CONVICTION,86.5,BULL_BOUNCE_PENDING,80.7,77.41,93.4,92.17,30,3.86,FAVORABLE,82.141,LIMIT,2026-05-28,2026-05-28T05:31:05.256781
PRKS,LONG,CONVICTION,86.4,BULL_BOUNCE_PENDING,38.83,37.21,40.77,,61,1.2,FAVORABLE,39.62,LIMIT,2026-05-28,2026-05-28T05:34:03.797456
RIOT,LONG,CONVICTION,86.4,BULL_BOUNCE_PENDING,27.42,25.26,28.79,,46,0.64,FAVORABLE,26.48,STOP,2026-05-28,2026-05-28T05:34:20.391317
ADTN,LONG,CONVICTION,86.1,BULL_BOUNCE_PENDING,18.86,16.41,19.8,,40,0.39,FAVORABLE,19.24,LIMIT,2026-05-28,2026-05-28T05:30:44.759479
APLD,LONG,CONVICTION,85.9,BULL_BOUNCE_PENDING,48.76,45.64,51.19,,32,0.78,FAVORABLE,49.75,LIMIT,2026-05-28,2026-05-28T05:31:05.839254
BBAR,LONG,CONVICTION,85.8,BULL_BOUNCE_PENDING,17.15,16.56,19.7,19.14,169,4.32,FAVORABLE,17.5,LIMIT,2026-05-28,2026-05-28T05:31:29.059103
ATPC,LONG,CONVICTION,85.0,BULL_BOUNCE_PENDING,6.12,5.72,6.8,,247,1.67,FAVORABLE,6.2492,LIMIT,2026-05-28,2026-05-28T05:31:20.356806
LNKS,LONG,CONVICTION,85.0,BULL_BOUNCE_PENDING,1.48,1.36,1.55,,844,0.62,FAVORABLE,1.4703,STOP,2026-05-28,2026-05-28T05:33:17.177059
NCT,LONG,CONVICTION,85.0,BULL_BOUNCE_PENDING,5.66,5.44,6.1,,435,1.9,FAVORABLE,5.78,LIMIT,2026-05-28,2026-05-28T05:33:32.770692
ELF,LONG,CONVICTION,84.8,BULL_BOUNCE_PENDING,56.05,53.86,60.0,62.22,45,1.8,FAVORABLE,57.1932,LIMIT,2026-05-28,2026-05-28T05:35:59.486114
HZO,LONG,CONVICTION,84.6,BULL_BOUNCE_PENDING,35.86,33.28,37.65,,38,0.7,FAVORABLE,34.9,STOP,2026-05-28,2026-05-28T05:32:59.757209
SIDU,LONG,CONVICTION,84.3,BULL_BOUNCE_PENDING,6.8,5.74,7.14,,94,0.32,FAVORABLE,4.9599,STOP,2026-05-28,2026-05-28T05:34:38.199642
BIYA,LONG,CONVICTION,84.0,BULL_BOUNCE_PENDING,1.74,1.31,1.83,,231,0.2,FAVORABLE,1.19,STOP,2026-05-28,2026-05-28T05:35:41.597190
DXYZ,LONG,CONVICTION,84.0,BULL_BOUNCE_PENDING,59.71,48.36,62.7,,8,0.26,FAVORABLE,54.5,STOP,2026-05-28,2026-05-28T05:35:57.333628
PTCT,LONG,CONVICTION,83.7,BULL_BOUNCE_PENDING,69.99,68.52,72.45,75.0,67,1.67,FAVORABLE,70.66,LIMIT,2026-05-28,2026-05-28T05:34:10.944240
