ticker,side,mode,tier,fem,entry,stop,t1,t_partial,rr,risk,last_close,dist_pct,proximity,cluster_gaps,cluster_tfs,tfs,cluster_top,cluster_bot,path,gap_quality,sponsorship,total_genesis,vol_ratio_today,vol_ratio_3d,premkt_vol,hot_days,move_pct,total_gaps,n_timeframes,float_m,float_label,float_rotation,fractal_50,prev_close,today_open,gap_pct,price_zone_50,cluster_zone_50,va_depth,va_layers,conviction_ticks,clean_air_pct,va_grade,warrior_price_band,atr_14,atr_to_stop_ratio,borrow_risk,news
BOBS,Long,BOUNCE,T1-STRONG_LONG,78,15.33,14.162,17.666,,2.0,1.168,15.33,1.0,CLOSE,12,7,"10m,15m,1h,1m,30m,4h,5m",15.17,14.6,OPEN_ROAD,WAITING,0.41,5000022,0.4,0.7,0,0,16.5,52,8,28.29,MED,0.02,14.645,14.6,14.69,0.6,PREMIUM,PREMIUM,611,8,532,2.5,C,True,1.07035,1.09,N/A,
CORT,Long,PULLBACK,T1-STRONG_LONG,100,93.25,85.8256,108.0988,,2.0,7.4244,93.25,3.3,APPROACH,1,1,1d,90.21,88.48,HIGHWAY,EXCITED,1.04,181064751,1.1,1.1,0,0,9.5,42,8,89.94,HIGH,0.01,92.575,92.94,92.21,-0.8,PREMIUM,DISCOUNT,4217,11,2457,99.9,A,False,3.783157142857142,1.96,N/A,
EVC,Long,BOUNCE,T2-LONG,88,12.08,11.5818,13.0764,,2.0,0.4982,12.08,0.9,CLOSE,3,3,"1h,4h,5m",11.97,11.94,OPEN_ROAD,EXCITED,1.27,3341381,0.6,0.8,0,0,24.3,46,8,69.74,HIGH,0.02,11.73,11.71,11.75,0.3,FLAT,FLAT,729,15,193,2.0,C,True,0.9235714285714286,0.54,N/A,
FROG,Long,BOUNCE,T1-STRONG_LONG,100,95.5,89.9481,106.6038,,2.0,5.5519,95.5,0.4,CLOSE,3,3,"1h,4h,5m",95.1,92.73,HIGHWAY,EXCITED,0.61,93314160,0.5,0.6,0,0,9.3,33,8,107.38,HIGH,0.02,92.34,92.73,91.95,-0.8,PREMIUM,PREMIUM,3080,13,2186,99.9,A,False,5.240828571428571,1.06,N/A,
GH,Long,BOUNCE,T3-LONG_WATCH,100,164.08,157.9209,176.3983,,2.0,6.1592,164.08,0.5,CLOSE,2,2,"10m,5m",163.3,162.805,HIGHWAY,EXCITED,1.87,15687625,1.1,0.9,0,0,14.0,48,8,127.84,HIGH,0.03,155.285,156.17,154.4,-1.1,PREMIUM,PREMIUM,11988,12,4953,99.9,A,False,9.028428571428568,0.68,N/A,
PACB,Long,PULLBACK,T1-STRONG_LONG,100,1.51,1.44,1.65,,2.0,0.07,1.61,6.2,APPROACH,6,6,"10m,15m,1h,30m,4h,5m",1.51,1.49,HIGHWAY,EXCITED,2.03,1271988,1.0,0.8,0,0,24.0,37,8,303.83,MEGA,0.02,1.505,1.5,1.51,0.7,PREMIUM,DISCOUNT,49,7,20,3.1,C,True,0.13654285714285713,0.51,N/A,
STGW,Long,BOUNCE,T3-LONG_WATCH,86,7.75,7.4399,8.3702,,2.0,0.3101,7.75,0.6,CLOSE,2,2,"1h,4h",7.7,7.67,HIGHWAY,EXCITED,0.98,1441182,0.8,1.0,0,0,10.2,19,8,104.05,HIGH,0.01,7.67,7.67,7.67,0.0,FLAT,FLAT,139,6,37,99.9,B,True,0.35677857142857133,0.87,N/A,
SWBI,Long,BOUNCE,T3-LONG_WATCH,51,15.51,14.5597,17.4106,,2.0,0.9503,15.51,2.4,CLOSE,1,1,1d,15.14,15.01,OPEN_ROAD,EXCITED,0.64,9450195,0.4,0.4,0,0,4.8,15,8,43.34,MED,0.01,15.37,15.37,15.37,0.0,FLAT,FLAT,183,5,114,3.6,C,True,0.9854642857142857,0.96,N/A,
SYM,Long,BOUNCE,T2-LONG,90,43.15,40.4393,48.5714,,2.0,2.7107,43.15,1.6,CLOSE,3,3,"1d,1h,4h",42.45,41.69,OPEN_ROAD,EXCITED,0.86,162431462,0.8,0.8,0,0,14.5,28,8,111.46,HIGH,0.01,42.07,41.69,42.45,1.8,PREMIUM,MID,136,2,89,2.1,C,False,2.334900000000001,1.16,N/A,
SYRE,Long,BOUNCE,T1-STRONG_LONG,100,98.75,92.538,111.174,,2.0,6.212,98.75,1.6,CLOSE,7,7,"10m,15m,1d,1h,30m,4h,5m",97.15,95.4,HIGHWAY,EXCITED,0.86,122737557,0.7,0.7,0,0,16.2,45,8,80.98,HIGH,0.02,95.88,95.4,96.36,1.0,PREMIUM,PREMIUM,3837,16,2192,99.9,A,False,6.358199999999999,0.98,N/A,
TXG,Long,PULLBACK,T3-LONG_WATCH,89,40.9,35.77,51.16,,2.0,5.13,43.1,5.1,APPROACH,2,2,"1h,4h",40.9,37.48,HIGHWAY,EXCITED,1.72,494233537,0.9,0.8,0,0,22.7,42,8,114.82,HIGH,0.03,37.9,37.47,38.33,2.3,PREMIUM,PREMIUM,3108,14,2696,99.9,A,False,2.8674142857142866,1.79,N/A,
TYRA,Long,BOUNCE,T1-STRONG_LONG,100,33.01,30.6423,37.7454,,2.0,2.3677,33.01,2.4,CLOSE,4,4,"15m,1m,30m,5m",32.22,31.59,OPEN_ROAD,EXCITED,0.8,425292,0.6,0.6,0,0,12.9,36,8,30.88,MED,0.02,32.4,32.57,32.23,-1.0,PREMIUM,DISCOUNT,645,9,547,6.3,B,False,1.8357142857142854,1.29,N/A,
VIR,Long,BOUNCE,T3-LONG_WATCH,64,10.34,9.7194,11.5812,,2.0,0.6206,10.34,1.6,CLOSE,1,1,1d,10.17,10.02,OPEN_ROAD,EXCITED,0.67,23548221,0.5,0.6,0,0,10.4,29,8,128.76,HIGH,0.01,10.43,10.43,10.43,0.0,FLAT,FLAT,440,7,216,3.4,C,True,0.5190928571428574,1.2,N/A,
