ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,sector_mult,sector_label,state,lifecycle_phase
HKIT,551.37,104.79,9.51,1.65,1.65,2.99,7696451,89621,85.88,0.17,False,1.46,2.99,2.9452,3.0797,2229,99.97,2221.479,1.102,STRONG,GENESIS,GENESIS
GNTA,233.98,114.56,3.44,1.23,1.23,2.21,43905713,121470,361.45,0.44,False,1.03,2.21,2.1768,2.2763,3016,99.98,1603.1043,1.054,NEUTRAL,GENESIS,GENESIS
NAMM,97.37,41.45,3.0,2.07,2.6,2.15,14107481,7633,1848.17,0.09,False,1.52,2.15,2.1178,2.2145,3100,99.97,506.6856,1.042,NEUTRAL,GENESIS,GENESIS
CRE,114.76,28.79,5.6697,2.2,3.15,3.4001,5533172,397513,13.92,0.35,False,2.64,3.4001,3.3491,3.5021,1960,99.96,342.118,0.97,NEUTRAL,GENESIS,GENESIS
DXF,82.38,-23.61,1.25,0.479,0.6845,0.5236,7987321,21547,370.69,0.06,False,0.6854,0.5236,0.5157,0.5393,12732,100.0,292.9934,0.922,WEAK,GENESIS,GENESIS
AIIO,66.24,32.07,3.94,2.32,2.37,3.13,23814987,1941901,12.26,0.5,True,2.37,3.13,3.0831,3.2239,2129,99.96,233.6907,1.006,NEUTRAL,GENESIS,GENESIS
SPCE,32.04,31.73,8.16,6.6505,7.35,8.1407,18215141,2484501,7.33,0.99,True,6.18,8.1407,8.0186,8.3849,818,99.89,138.2961,0.97,NEUTRAL,GENESIS,GENESIS
ELAB,31.07,3.39,2.3199,1.67,1.71,1.83,3875178,107538,36.04,0.25,False,1.77,1.83,1.8026,1.8849,3642,99.97,112.0195,1.054,NEUTRAL,GENESIS,GENESIS
PURR,23.06,20.12,12.2932,11.47,11.58,12.0,1664434,375039,4.44,0.64,True,9.99,12.0,11.82,12.36,555,99.9,60.5472,0.922,WEAK,GENESIS,GENESIS
SUUN,20.3,11.05,1.04,0.8316,0.8645,0.96,1493763,331260,4.51,0.62,True,0.8645,0.96,0.9456,0.9888,6944,99.99,49.6298,0.874,COLD,GENESIS,GENESIS
XTIA,24.31,10.5,2.25,1.86,1.86,2.0,1258168,447725,2.81,0.36,False,1.81,2.0,1.97,2.06,3333,99.99,46.7868,1.102,STRONG,GENESIS,GENESIS
IBM,14.51,10.44,341.0,311.22,312.0,328.9,2848978,811478,3.51,0.59,True,297.8,328.9,323.9665,338.767,20,98.67,34.7165,0.97,NEUTRAL,GENESIS,GENESIS
SMMT,12.26,-3.65,19.69,16.86,19.51,16.9,1498913,91616,16.36,0.01,False,17.54,16.9,16.6465,17.407,394,99.88,25.2072,1.054,NEUTRAL,GENESIS,GENESIS
ASAN,9.87,6.45,8.46,7.89,7.95,8.1963,432705,150344,2.88,0.54,True,7.7,8.1963,8.0734,8.4422,813,99.95,23.2113,1.102,STRONG,GENESIS,GENESIS
NOW,11.81,8.07,139.06,131.56,133.4,134.41,3429344,1468441,2.34,0.38,False,124.37,134.41,132.3938,138.4423,49,98.79,21.1696,1.102,STRONG,GENESIS,GENESIS
ZETA,5.94,4.67,24.25,23.1,23.52,23.96,550619,216194,2.55,0.75,True,22.89,23.96,23.6006,24.6788,278,99.91,15.8081,1.102,STRONG,GENESIS,GENESIS
AI,5.29,3.53,11.34,10.9,10.95,11.15,357311,89259,4.0,0.57,True,10.77,11.15,10.9827,11.4845,597,99.85,14.8713,1.102,STRONG,GENESIS,GENESIS
HPE,8.57,5.48,46.7274,44.84,45.4,45.4,2028537,731421,2.77,0.3,False,43.04,45.4,44.719,46.762,146,99.43,13.3747,0.97,NEUTRAL,GENESIS,GENESIS
