ticker,stage,stage_pct,conviction,today_vol_pct_of_avg,recent_8bar_green_count,recent_8bar_move_pct,first_consumption_recent,days_since_advance,rej_tf,rej_tf_weight,rej_ticks,rej_wicked,bounce_tf,bounce_ticks,bounce_wicked,oh_fresh_w,oh_wicked_w,oh_effective_w,oh_n_fresh,oh_n_wicked,top_overhead,rejection_dt,rejection_price,bounce_dt,snapshot_price,target,stop,rr,n_bearish_total,n_bearish_consumed,risk_climax,risk_vol_ratio,av20_volume,fresh_bull_5m_below,n_overhead_remaining
BDTX,BOUNCED_WAITING,0,0,2.0,2,0.4,False,4.7,1d,20,40,True,4h,3,False,1008,1171,1593.5,50,18,1d.40t~ | 1d.34t | 1d.11t,2026-05-22T09:00:00.000,3.06,2026-05-22T15:00:00.000,2.33,3.0742,2.2555,9.99,17,0,False,0.02,1885653,0,68
GILT,BOUNCED_WAITING,0,1,4.6,4,0.1,False,1.2,15m,5,51,False,1m,26,False,4207,207,4310.5,40,5,1d.31t | 1d.31t | 1d.21t~,2026-05-12T07:00:00.000,20.22,2026-05-26T04:30:00.000,17.8902,20.42,16.2674,1.56,32,0,False,0.05,992197,0,45
GILT,BOUNCED_WAITING,0,1,4.6,4,0.1,False,1.2,15m,5,49,False,1m,26,False,4207,207,4310.5,40,5,1d.31t | 1d.31t | 1d.21t~,2026-05-13T04:30:00.000,19.48,2026-05-26T04:30:00.000,17.8902,19.52,16.2674,1.0,17,0,False,0.05,992197,0,45
AAP,BOUNCED_WAITING,0,0,0.1,2,-0.6,False,0.8,15m,5,52,False,3m,99,True,2172,1945,3144.5,7,12,1d.161t | 1d.128t | 1d.96t,2026-05-26T09:15:00.000,57.67,2026-05-26T11:45:00.000,54.4201,57.73,53.902,6.39,6,0,False,0.0,1876476,0,19
NNE,BOUNCED_CLEAN,0,0,2.9,3,-2.1,False,1.0,1d,20,26,False,1m,22,True,29804,5023,32315.5,46,7,1d.224t | 1d.101t~ | 1d.100t,2026-05-26T08:00:00.000,30.15,2026-05-26T09:45:00.000,29.36,31.9,28.7524,4.18,0,0,False,0.03,2400744,0,53
CSW,BOUNCED_WAITING,0,4,212.9,4,0.5,False,0.2,4h,12,204,False,1m,143,False,45189,5604,47991.0,25,1,1d.896t | 1d.798t | 1d.429t,2026-05-26T09:30:00.000,290.0,2026-05-26T10:30:00.000,279.59,319.16,262.8234,2.36,5,0,False,2.28,101110,0,26
SNOW,BOUNCED_CLEAN,0,1,1.0,5,-0.4,False,1.2,4h,12,75,True,1m,35,True,141650,1416,142358.0,38,5,1d.1265t | 1d.810t | 1d.674t,2026-05-19T09:45:00.000,175.5,2026-05-26T04:30:00.000,175.0288,181.0,172.654,2.51,0,0,False,0.01,6582718,0,43
CSW,BOUNCED_WAITING,0,4,212.9,4,0.5,False,0.2,1h,8,263,False,1m,143,False,45189,5604,47991.0,25,1,1d.896t | 1d.798t | 1d.429t,2026-04-27T09:45:00.000,298.065,2026-05-26T10:30:00.000,279.59,304.39,262.8234,1.48,9,0,False,2.28,101110,0,26
BELFA,BOUNCED_WAITING,0,4,208.9,4,-0.2,False,0.1,15m,5,98,False,1m,290,True,27891,15220,35501.0,29,8,1d.582t~ | 4h.416t | 4h.166t,2026-05-26T12:00:00.000,255.44,2026-05-26T12:45:00.000,253.88,257.12,250.977,1.12,1,0,False,2.24,48513,0,37
CSW,BOUNCED_WAITING,0,4,212.9,4,0.5,False,0.2,15m,5,270,False,1m,143,False,45189,5604,47991.0,25,1,1d.896t | 1d.798t | 1d.429t,2026-04-28T10:00:00.000,293.825,2026-05-26T10:30:00.000,279.59,296.51,262.8234,1.01,4,0,False,2.28,101110,0,26
HPQ,BOUNCED_WAITING,0,0,0.9,2,-0.7,False,0.6,1d,20,130,False,1m,14,True,7123,83,7164.5,22,8,1d.130t | 1d.49t | 1d.34t,2026-05-22T10:15:00.000,25.12,2026-05-26T19:15:00.000,24.3796,25.9,24.2514,11.86,13,0,False,0.01,15335168,0,30
HPQ,BOUNCED_WAITING,0,0,0.9,2,-0.7,False,0.6,1d,20,32,False,1m,14,True,7123,83,7164.5,22,8,1d.130t | 1d.49t | 1d.34t,2026-05-26T04:00:00.000,25.67,2026-05-26T19:15:00.000,24.3796,27.14,24.2514,21.53,13,0,False,0.01,15335168,0,30
CRBP,BOUNCED_WAITING,0,0,14.2,2,-2.5,False,0.7,1d,20,343,False,4h,18,False,8992,629,9306.5,56,26,1d.343t | 1d.126t | 1d.26t,2026-05-14T10:00:00.000,12.24,2026-05-26T15:15:00.000,8.1387,12.88,7.6547,9.8,45,0,False,0.14,474853,0,82
LAES,BOUNCED_WAITING,0,0,7.6,1,-2.8,False,0.9,1d,20,31,False,1d,13,True,7195,615,7502.5,74,16,1d.40t | 1d.37t | 1d.36t,2026-05-26T10:00:00.000,3.705,2026-05-26T12:15:00.000,3.47,3.94,3.3732,4.86,2,0,False,0.07,12715027,0,90
