ticker,pm_gap_pct,pm_last_gap_pct,pm_high,pm_low,pm_open,pm_last,pm_vol,avg_pm_vol_5d,rel_vol,position_in_range,holding_strong,prev_close,est_open,stop,target,shares,risk_dollars,score,state,lifecycle_phase
AEHL,100.04,93.84,1.02,0.507,0.5099,0.9884,27557262,10871,2534.79,0.94,True,0.5099,0.9884,0.9736,1.0181,6744,99.99,1271.7389,GENESIS,GENESIS
AIIO,85.0,69.7,1.09,0.75,0.8,0.9999,72618754,11237,6462.01,0.73,True,0.5892,0.9999,0.9849,1.0299,6667,99.99,1025.9527,GENESIS,GENESIS
TRAW,51.76,17.66,2.58,1.74,1.74,2.0002,35089868,1948,18011.43,0.31,False,1.7,2.0002,1.9702,2.0602,3333,100.0,452.6526,GENESIS,GENESIS
CTM,24.93,17.21,0.8203,0.6556,0.6612,0.7696,10923635,39344,277.64,0.69,True,0.6566,0.7696,0.7581,0.7927,8662,99.99,196.9507,GENESIS,GENESIS
ARTV,27.8,0.64,16.0,10.23,13.0,12.6,1735778,2872,604.38,0.41,False,12.52,12.6,12.411,12.978,529,99.98,187.4347,GENESIS,GENESIS
CTNT,37.65,10.02,3.4,2.5,2.5,2.7174,5211041,68880,75.65,0.24,False,2.47,2.7174,2.6766,2.7989,2453,99.99,148.7113,GENESIS,GENESIS
TDIC,38.53,-14.39,1.6347,1.0,1.28,1.0102,2923638,5941,492.11,0.02,False,1.18,1.0102,0.995,1.0405,6599,99.99,143.155,GENESIS,GENESIS
BCDA,22.02,4.27,1.33,1.09,1.12,1.1365,3543121,1837,1928.54,0.19,False,1.09,1.1365,1.1195,1.1706,5865,99.98,130.825,GENESIS,GENESIS
FLNC,28.1,21.3,24.3,19.34,19.5,23.0103,3470247,502553,6.91,0.74,True,18.97,23.0103,22.6651,23.7006,289,99.75,102.1598,GENESIS,GENESIS
GMEX,24.42,-17.05,2.7,1.62,2.25,1.8,1237437,173188,7.15,0.17,False,2.17,1.8,1.773,1.854,3703,99.98,48.3011,GENESIS,GENESIS
IREN,14.92,13.72,65.33,60.88,62.0,64.6488,5579959,1949101,2.86,0.85,True,56.85,64.6488,63.6791,66.5883,103,99.88,41.2235,GENESIS,GENESIS
PMAX,29.52,-4.69,5.44,3.9,4.045,4.003,5145220,1514355,3.4,0.07,False,4.2,4.003,3.943,4.1231,1665,99.97,37.2067,GENESIS,GENESIS
