ticker,phase,score,nbis_similarity_score,pre_move_score,timing_bucket,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_gap_distance_pct,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,reclaim_dist_pct,extension_from_reclaim_pct,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
DOCN,HIGH_PRIORITY_PRE_TRIGGER,100.0,100.0,100.0,PRE_TRIGGER_COIL,147.73,daily,log_regression,AT_LOWER,0.297,42,130.14,131.5,weekly,10.99,98.12,nearest_support_gap_hi,147.7,True,False,0.02,0.02,26.92,26.92,7.26,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | pre-trigger coil near reload/reclaim level | room back to recent high | coiled/controlled short-term momentum,
TENB,EARLY_RECLAIM_TRIGGER,100.0,100.0,100.0,EARLY_RECLAIM_TRIGGER,36.2,daily,log_regression,AT_LOWER,0.308,14,35.43,35.59,weekly,1.69,100.0,nearest_support_gap_hi,35.59,True,True,1.69,1.71,20.64,20.64,3.65,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | low channel location before expansion | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 20.64% from recent high | just-triggered reclaim, still near shelf | room back to recent high",early_trigger_not_chase
FIVN,EARLY_RECLAIM_TRIGGER,85.5,83.0,83.0,EARLY_RECLAIM_TRIGGER,37.25,daily,log_regression,AT_UPPER,0.682,14,27.51,28.27,weekly,24.11,99.34,nearest_support_gap_hi,37.0,True,True,0.67,0.68,0.0,0.0,11.19,OPTIONS_NOT_CHECKED,"ascending channel/control | higher-timeframe channel participates | deep bullish shelf stack underneath | high-genesis parent shelf | just-triggered reclaim, still near shelf",mid_high_channel_location | not_pulled_back | early_trigger_not_chase | room_to_high_unknown | early_positive_momentum
SGMT,EARLY_STRUCTURAL_MATCH,100.0,80.0,80.0,TOO_EARLY_OR_LOOSE,10.7599,daily,log_regression,MID,0.571,9,5.86,7.21,daily,32.99,100.0,nearest_support_gap_hi,10.69,True,True,0.65,0.65,7.44,7.44,2.7,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | mid-low channel location | deep bullish shelf stack underneath | high-genesis parent shelf | controlled pullback 7.44% from recent high | coiled/controlled short-term momentum,too_early_or_loose_for_trigger
